process,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,1002,74,928,4,0,0,0,0,0,5,4
1,1002,50,952,0,0,0,0,11,11,0,11
2,1002,923,79,105,105,0,0,0,0,0,105
0,1502,106,1396,6,0,0,0,0,0,7,6
1,1502,85,1417,0,0,0,0,16,16,0,16
2,1502,1388,114,158,158,0,0,0,0,0,158
0,2002,145,1857,8,0,0,0,0,0,9,8
1,2002,104,1898,0,0,0,0,22,22,0,22
2,2002,1853,149,210,210,0,0,0,0,0,210
0,2502,180,2322,10,0,0,0,0,0,11,10
1,2502,134,2368,0,0,0,0,27,27,0,27
2,2502,2321,181,263,263,0,0,0,0,0,263
0,3002,55,2947,12,0,0,0,0,0,13,12
1,3002,228,2774,0,0,0,0,32,32,0,32
2,3002,2796,206,316,316,0,0,0,0,0,316
0,3502,258,3244,14,0,0,0,0,0,15,14
1,3502,182,3320,0,0,0,0,38,38,0,38
2,3502,3250,252,368,368,0,0,0,0,0,368
0,4002,296,3706,16,0,0,0,0,0,17,16
1,4002,200,3802,0,0,0,0,43,43,0,43
2,4002,3726,276,421,421,0,0,0,0,0,421
0,4502,81,4421,19,0,0,0,0,0,20,19
1,4502,295,4207,0,0,0,0,48,48,0,48
2,4502,4200,302,474,474,0,0,0,0,0,474
0,5002,97,4905,21,0,0,0,0,0,22,21
1,5002,262,4740,0,0,0,0,54,54,0,54
2,5002,4646,356,526,526,0,0,0,0,0,526
0,5502,107,5395,23,0,0,0,0,0,24,23
1,5502,307,5195,0,0,0,0,59,59,0,59
2,5502,5125,377,579,579,0,0,0,0,0,579
0,6002,119,5883,25,0,0,0,0,0,26,25
1,6002,291,5711,0,0,0,0,64,64,0,64
2,6002,5592,410,632,632,0,0,0,0,0,632
0,6502,133,6369,27,0,0,0,0,0,28,27
2,6502,6051,451,684,684,0,0,0,0,0,684
0,7002,139,6863,29,0,0,0,0,0,30,29
1,7002,382,6620,0,0,0,0,75,75,0,75
2,7002,6514,488,737,737,0,0,0,0,0,737
0,7502,157,7345,31,0,0,0,0,0,32,31
1,7502,360,7142,0,0,0,0,80,80,0,80
2,7502,6985,517,789,789,0,0,0,0,0,789
0,8002,388,7614,33,0,0,0,0,0,34,33
2,8002,7433,569,842,842,0,0,0,0,0,842
0,8502,193,8309,36,0,0,0,0,0,37,36
1,8502,414,8088,0,0,0,0,91,91,0,91
2,8502,7906,596,895,895,0,0,0,0,0,895
0,9002,189,8813,38,0,0,0,0,0,39,38
1,9002,444,8558,0,0,0,0,96,96,0,96
2,9002,8369,633,947,947,0,0,0,0,0,947
0,9502,199,9303,40,0,0,0,0,0,41,40
1,9502,458,9044,0,0,0,0,101,101,0,101
2,9502,8845,657,1000,1000,0,0,0,0,0,1000
0,10002,212,9790,42,0,0,0,0,0,43,42
1,10002,489,9513,0,0,0,0,107,107,0,107
2,10002,9301,701,1053,1053,0,0,0,0,0,1053
0,10502,218,10284,44,0,0,0,0,0,45,44
1,10502,507,9995,0,0,0,0,112,112,0,112
2,10502,9777,725,1105,1105,0,0,0,0,0,1105
0,11002,393,10609,46,0,0,0,0,0,47,46
1,11002,527,10475,0,0,0,0,117,117,0,117
2,11002,10236,766,1158,1158,0,0,0,0,0,1158
0,11502,245,11257,48,0,0,0,0,0,49,48
1,11502,584,10918,0,0,0,0,123,123,0,123
2,11502,10694,808,1211,1211,0,0,0,0,0,1211
0,12002,248,11754,50,0,0,0,0,0,51,50
1,12002,634,11368,0,0,0,0,128,128,0,128
2,12002,11165,837,1263,1263,0,0,0,0,0,1263
0,12502,268,12234,53,0,0,0,0,0,54,53
1,12502,606,11896,0,0,0,0,133,133,0,133
2,12502,11628,874,1316,1316,0,0,0,0,0,1316
0,13002,309,12693,55,0,0,0,0,0,56,55
1,13002,628,12374,0,0,0,0,139,139,0,139
2,13002,12102,900,1369,1369,0,0,0,0,0,1369
0,13502,354,13148,57,0,0,0,0,0,58,57
1,13502,663,12839,0,0,0,0,144,144,0,144
2,13502,12544,958,1421,1421,0,0,0,0,0,1421
0,14002,297,13705,59,0,0,0,0,0,60,59
1,14002,683,13319,0,0,0,0,149,149,0,149
2,14002,13022,980,1474,1474,0,0,0,0,0,1474
0,14502,307,14195,61,0,0,0,0,0,62,61
1,14502,710,13792,0,0,0,0,155,155,0,155
2,14502,13486,1017,1527,1527,0,0,0,0,0,1526
0,15002,320,14682,63,0,0,0,0,0,64,63
1,15002,768,14234,0,0,0,0,160,160,0,160
2,15002,13951,1051,1579,1579,0,0,0,0,0,1579
0,15502,507,14995,65,0,0,0,0,0,66,65
1,15502,753,14749,0,0,0,0,165,165,0,165
2,15502,14421,1081,1632,1632,0,0,0,0,0,1632
0,16002,341,15661,67,0,0,0,0,0,68,67
2,16002,14884,1118,1684,1684,0,0,0,0,0,1684
0,17002,362,16640,72,0,0,0,0,0,73,72
1,17002,814,16188,0,0,0,0,181,181,0,181
2,17002,15826,1176,1790,1790,0,0,0,0,0,1790
0,17502,373,17129,74,0,0,0,0,0,75,74
2,17502,16275,1227,1842,1842,0,0,0,0,0,1842
0,18002,376,17626,76,0,0,0,0,0,77,76
1,18002,912,17090,0,0,0,0,192,192,0,192
2,18002,16743,1259,1895,1895,0,0,0,0,0,1895
0,18502,390,18112,78,0,0,0,0,0,79,78
1,18502,972,17530,0,0,0,0,197,197,0,197
2,18502,17202,1300,1948,1948,0,0,0,0,0,1948
0,19002,397,18605,80,0,0,0,0,0,81,80
1,19002,1019,17983,0,0,0,0,202,202,0,202
2,19002,17672,1330,2000,2000,0,0,0,0,0,2000
0,19502,406,19096,82,0,0,0,0,0,83,82
1,19502,958,18544,0,0,0,0,208,208,0,208
2,19502,18138,1364,2053,2053,0,0,0,0,0,2053
0,20002,417,19585,84,0,0,0,0,0,85,84
1,20002,980,19022,0,0,0,0,213,213,0,213
2,20002,18605,1397,2106,2106,0,0,0,0,0,2106
0,20502,420,20082,86,0,0,0,0,0,87,86
