process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
parser,31002,884,30118,2350,2350,0,0,0,0,0,2350
1,stepper,31002,42,30960,0,0,0,0,237,237,0,237
2,safety,31002,30038,964,0,0,0,0,0,258180,86060,86060
3,temp_monitor,31002,38,30964,94,0,0,0,0,0,95,94
0,network,1002,998,4,155,156,0,0,311,0,0,39888
1,temp_monitor,1002,4,998,5,0,0,0,0,0,6,5
0,gcode_parser,1502,43,1459,74,74,0,0,0,0,0,74
1,power,1502,266,1236,91,92,0,0,183,0,0,23636
2,stepper,1502,0,1502,0,0,0,0,8,8,0,8
3,safety,1502,937,565,0,0,0,0,0,8118,2706,2706
4,network,1502,256,1246,91,92,0,0,183,0,0,23635
0,status_led,2002,13,1989,0,0,0,0,0,1,0,1
1,safety,2002,1987,15,0,0,0,0,0,21759,7253,7253
2,stepper,2002,95,1907,0,0,0,0,20,20,0,20
0,power,2502,1851,651,325,325,0,0,649,0,0,83524
1,network,2502,651,1851,325,325,0,0,649,0,0,83524
0,temp_monitor,3002,15,2987,11,0,0,0,0,0,12,11
1,status_led,3002,497,2505,0,0,0,0,0,2,0,2
2,safety,3002,2986,16,0,0,0,0,0,32709,10903,10903
0,stepper,3502,94,3408,0,0,0,0,22,22,0,22
1,network,3502,2868,634,260,260,0,0,519,0,0,66819
2,gcode_parser,3502,547,2955,211,211,0,0,0,0,0,211
3,temp_monitor,3502,22,3480,8,0,0,0,0,0,9,8
4,status_led,3502,0,3502,0,0,0,0,0,2,0,1
0,network,4002,3301,701,392,392,0,0,784,0,0,100744
1,power,4002,700,3302,392,392,0,0,784,0,0,100744
2,status_led,4002,1,4001,0,0,0,0,0,3,0,2
0,network,4502,4502,0,1176,1177,0,0,2352,0,0,302232
0,network,5002,1102,3900,305,305,0,0,609,0,0,78384
1,temp_monitor,5002,2,5000,9,0,0,0,0,0,10,9
2,power,5002,713,4289,305,305,0,0,609,0,0,78384
3,status_led,5002,4988,14,0,0,0,0,0,1,0,1
4,safety,5002,3185,1817,0,0,0,0,0,27078,9025,9025
0,stepper,5502,5502,0,0,0,0,0,179,180,0,179
0,status_led,6002,16,5986,0,0,0,0,0,2,0,2
1,network,6002,4809,1193,386,386,0,0,772,0,0,99202
2,stepper,6002,73,5929,0,0,0,0,32,32,0,32
3,temp_monitor,6002,326,5676,12,0,0,0,0,0,13,12
4,power,6002,1059,4943,386,386,0,0,772,0,0,99202
0,status_led,6502,15,6487,0,0,0,0,0,2,0,2
1,network,6502,1833,4669,446,446,0,0,892,0,0,114622
2,stepper,6502,6,6496,0,0,0,0,37,37,0,37
3,safety,6502,4644,1858,0,0,0,0,0,39669,13223,13223
4,temp_monitor,6502,231,6271,14,0,0,0,0,0,15,14
0,power,7002,5855,1147,806,807,0,0,1613,0,0,207239
1,temp_monitor,7002,49,6953,26,0,0,0,0,0,27,26
2,gcode_parser,7002,1098,5904,653,654,0,0,0,0,0,653
0,status_led,7502,7502,0,0,0,0,0,0,11,0,10
0,power,8002,7921,81,1304,1304,0,0,2607,0,0,335127
1,stepper,8002,110,7892,0,0,0,0,107,108,0,107
0,temp_monitor,8502,457,8045,18,0,0,0,0,0,19,18
1,power,8502,2367,6135,583,583,0,0,1166,0,0,149831
2,status_led,8502,0,8502,0,0,0,0,0,2,0,2
3,stepper,8502,6,8496,0,0,0,0,48,48,0,48
4,safety,8502,6106,2396,0,0,0,0,0,51858,17286,17286
0,power,9002,8999,3,1468,1469,0,0,2937,0,0,377508
1,status_led,9002,3,8999,0,0,0,0,0,6,0,5
0,temp_monitor,9502,2499,7003,41,0,0,0,0,0,42,41
1,stepper,9502,6666,2836,0,0,0,0,104,104,0,104
2,status_led,9502,641,8861,0,0,0,0,0,6,0,5
0,power,10002,10002,0,2617,2618,0,0,5233,0,0,672568
0,status_led,10502,19,10483,0,0,0,0,0,6,0,6
1,network,10502,10483,19,1714,1714,0,0,3427,0,0,440497
0,gcode_parser,11002,1561,9441,1383,1383,0,0,0,0,0,1383
1,power,11002,9442,1560,1707,1707,0,0,3414,0,0,438699
0,status_led,11502,14,11488,0,0,0,0,0,3,0,3
1,network,11502,3164,8338,783,783,0,0,1566,0,0,201231
2,gcode_parser,11502,233,11269,634,634,0,0,0,0,0,634
3,stepper,11502,14,11488,0,0,0,0,64,64,0,64
4,safety,11502,8077,3425,0,0,0,0,0,69636,23212,23212
0,temp_monitor,12002,257,11745,38,0,0,0,0,0,39,38
1,status_led,12002,2708,9294,0,0,0,0,0,4,0,4
2,stepper,12002,557,11445,0,0,0,0,97,97,0,97
3,gcode_parser,12002,11151,851,958,958,0,0,0,0,0,958
0,network,12502,10475,2027,1441,1441,0,0,2882,0,0,370337
1,gcode_parser,12502,1956,10546,1166,1166,0,0,0,0,0,1166
2,temp_monitor,12502,305,12197,46,0,0,0,0,0,47,46
0,stepper,13002,131,12871,0,0,0,0,72,72,0,72
1,safety,13002,8932,4070,0,0,0,0,0,78126,26042,26042
2,gcode_parser,13002,264,12738,711,711,0,0,0,0,0,711
3,network,13002,3763,9239,878,879,0,0,1757,0,0,225788
4,temp_monitor,13002,22,12980,28,0,0,0,0,0,29,28
0,temp_monitor,13502,13502,0,175,0,0,0,0,0,177,175
0,status_led,14002,19,13983,0,0,0,0,0,4,0,4
1,temp_monitor,14002,394,13608,35,0,0,0,0,0,36,35
2,network,14002,11915,2087,1100,1100,0,0,2200,0,0,282700
3,power,14002,1977,12025,1100,1100,0,0,2200,0,0,282700
0,temp_monitor,14502,107,14395,55,0,0,0,0,0,56,55
1,network,14502,14206,296,1704,1704,0,0,3408,0,0,437928
2,stepper,14502,189,14313,0,0,0,0,139,140,0,139
0,network,15002,14998,4,2449,2449,0,0,4898,0,0,629393
1,status_led,15002,1871,13131,0,0,0,0,0,9,0,8
0,stepper,15502,35,15467,0,0,0,0,120,120,0,120
1,temp_monitor,15502,253,15249,47,0,0,0,0,0,48,47
2,safety,15502,15446,56,0,0,0,0,0,130455,43485,43485
3,status_led,15502,1,15501,0,0,0,0,0,5,0,5
0,power,16002,16002,0,4188,4190,0,0,8377,0,0,1076457
0,status_led,16502,16502,0,0,0,0,0,0,23,0,22
