process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,stepper,1002,23,979,0,0,0,0,8,8,0,8
1,gcode_parser,1002,157,845,73,73,0,0,0,0,0,73
2,status_led,1002,1,1001,0,0,0,0,0,1,0,1
3,power,1002,821,181,89,90,0,0,179,0,0,23080
0,network,1502,1502,0,390,391,0,0,780,0,0,100230
0,status_led,2002,13,1989,0,0,0,0,0,2,0,2
1,power,2002,1989,13,325,325,0,0,650,0,0,83525
0,safety,2502,1641,861,0,0,0,0,0,31797,10599,10599
1,power,2502,861,1641,358,358,0,0,716,0,0,92006
0,stepper,3002,47,2955,0,0,0,0,29,29,0,29
1,temp_monitor,3002,18,2984,11,0,0,0,0,0,12,11
2,network,3002,2937,65,346,347,0,0,693,0,0,89088
0,stepper,3502,3502,0,0,0,0,0,114,115,0,114
0,safety,4002,2717,1285,0,0,0,0,0,36957,12319,12319
1,power,4002,1284,2718,416,416,0,0,832,0,0,106911
2,status_led,4002,1,4001,0,0,0,0,0,2,0,2
0,safety,4502,2945,1557,0,0,0,0,0,25338,8445,8445
1,network,4502,849,3653,285,285,0,0,570,0,0,73245
2,status_led,4502,0,4502,0,0,0,0,0,1,0,1
3,stepper,4502,50,4452,0,0,0,0,24,24,0,24
4,power,4502,702,3800,285,285,0,0,570,0,0,73245
0,power,5002,5002,0,1307,1308,0,0,2614,0,0,335899
0,temp_monitor,5502,166,5336,35,0,0,0,0,0,36,35
1,gcode_parser,5502,5369,133,876,877,0,0,0,0,0,876
0,safety,6002,5995,7,0,0,0,0,0,94836,31612,31612
1,temp_monitor,6002,125,5877,34,0,0,0,0,0,35,34
0,stepper,6502,109,6393,0,0,0,0,40,40,0,40
1,temp_monitor,6502,31,6471,15,0,0,0,0,0,16,15
2,gcode_parser,6502,1021,5481,389,389,0,0,0,0,0,389
3,network,6502,5358,1144,479,479,0,0,958,0,0,123103
4,status_led,6502,0,6502,0,0,0,0,0,3,0,2
0,network,7002,1972,5030,481,481,0,0,962,0,0,123617
1,stepper,7002,16,6986,0,0,0,0,40,40,0,40
2,safety,7002,4879,2123,0,0,0,0,0,42771,14257,14257
3,gcode_parser,7002,135,6867,390,390,0,0,0,0,0,390
