process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,power,1002,993,9,161,162,0,0,323,0,0,41488
1,stepper,1002,9,993,0,0,0,0,14,15,0,14
0,power,1502,466,1036,125,125,0,0,250,0,0,32125
1,safety,1502,1036,466,0,0,0,0,0,11100,3700,3700
2,temp_monitor,1502,2,1500,4,0,0,0,0,0,5,4
3,status_led,1502,1,1501,0,0,0,0,0,1,0,1
0,stepper,2002,2002,0,0,0,0,0,65,66,0,65
0,network,2502,1851,651,325,325,0,0,649,0,0,83524
1,power,2502,651,1851,325,325,0,0,649,0,0,83524
0,power,3002,943,2059,248,249,0,0,497,0,0,63907
1,safety,3002,2055,947,0,0,0,0,0,22083,7361,7361
2,status_led,3002,1,3001,0,0,0,0,0,1,0,1
3,stepper,3002,4,2998,0,0,0,0,21,21,0,21
0,status_led,3502,13,3489,0,0,0,0,0,1,0,1
1,stepper,3502,70,3432,0,0,0,0,24,24,0,24
2,network,3502,1069,2433,288,288,0,0,575,0,0,74015
3,safety,3502,2414,1088,0,0,0,0,0,25557,8519,8519
0,stepper,4002,222,3780,0,0,0,0,44,44,0,44
1,gcode_parser,4002,3777,225,427,427,0,0,0,0,0,427
2,status_led,4002,3,3999,0,0,0,0,0,3,0,2
0,status_led,4502,14,4488,0,0,0,0,0,1,0,1
1,gcode_parser,4502,104,4398,246,246,0,0,0,0,0,246
2,network,4502,1293,3209,304,304,0,0,607,0,0,78127
3,safety,4502,3097,1405,0,0,0,0,0,26982,8994,8994
4,temp_monitor,4502,3,4499,9,0,0,0,0,0,10,9
0,gcode_parser,5002,784,4218,466,466,0,0,0,0,0,466
1,network,5002,4184,818,576,576,0,0,1152,0,0,148032
2,temp_monitor,5002,34,4968,18,0,0,0,0,0,19,18
0,status_led,5502,13,5489,0,0,0,0,0,2,0,2
1,temp_monitor,5502,230,5272,16,0,0,0,0,0,17,16
2,network,5502,5343,159,509,509,0,0,1018,0,0,130812
3,stepper,5502,103,5399,0,0,0,0,42,42,0,42
0,status_led,6002,23,5979,0,0,0,0,0,3,0,3
1,gcode_parser,6002,5687,315,641,641,0,0,0,0,0,641
2,stepper,6002,353,5649,0,0,0,0,65,65,0,65
0,power,6502,6501,1,1060,1060,0,0,2120,0,0,272420
1,status_led,6502,1,6501,0,0,0,0,0,5,0,4
0,status_led,7002,31,6971,0,0,0,0,0,5,0,5
1,gcode_parser,7002,6971,31,1115,1115,0,0,0,0,0,1115
0,status_led,7502,7502,0,0,0,0,0,0,11,0,10
0,status_led,8002,16,7986,0,0,0,0,0,5,0,5
1,power,8002,7986,16,1305,1306,0,0,2611,0,0,335385
0,network,8502,2241,6261,558,558,0,0,1116,0,0,143406
1,stepper,8502,86,8416,0,0,0,0,46,46,0,46
2,gcode_parser,8502,1150,7352,452,452,0,0,0,0,0,452
3,power,8502,4990,3512,558,558,0,0,1116,0,0,143406
4,temp_monitor,8502,41,8461,18,0,0,0,0,0,19,18
0,gcode_parser,9002,9002,0,2779,2781,0,0,0,0,0,2779
0,gcode_parser,9502,1541,7961,887,887,0,0,0,0,0,887
1,network,9502,7962,1540,1095,1095,0,0,2190,0,0,281415
2,status_led,9502,2,9500,0,0,0,0,0,5,0,4
0,power,10002,8359,1643,908,909,0,0,1817,0,0,233491
1,status_led,10002,2,10000,0,0,0,0,0,3,0,3
2,temp_monitor,10002,248,9754,29,0,0,0,0,0,30,29
3,gcode_parser,10002,1589,8413,736,736,0,0,0,0,0,736
0,network,10502,10360,142,1219,1219,0,0,2438,0,0,313283
1,status_led,10502,2577,7925,0,0,0,0,0,4,0,4
2,stepper,10502,137,10365,0,0,0,0,100,100,0,100
0,network,11002,11002,0,2878,2880,0,0,5757,0,0,739895
0,network,11502,11502,0,3009,3011,0,0,6019,0,0,773546
0,network,12002,10011,1991,1382,1382,0,0,2764,0,0,355174
1,stepper,12002,131,11871,0,0,0,0,113,113,0,113
2,gcode_parser,12002,1860,10142,1119,1119,0,0,0,0,0,1119
0,network,12502,10217,2285,1227,1228,0,0,2455,0,0,315413
1,power,12502,2138,10364,1227,1228,0,0,2455,0,0,315412
2,stepper,12502,147,12355,0,0,0,0,101,102,0,101
0,gcode_parser,13002,1990,11012,959,959,0,0,0,0,0,959
1,power,13002,10863,2139,1183,1184,0,0,2367,0,0,304141
2,status_led,13002,4,12998,0,0,0,0,0,4,0,4
3,stepper,13002,149,12853,0,0,0,0,97,97,0,97
0,network,13502,2630,10872,843,843,0,0,1686,0,0,216651
1,temp_monitor,13502,220,13282,27,0,0,0,0,0,28,27
2,gcode_parser,13502,259,13243,683,683,0,0,0,0,0,683
3,safety,13502,8055,5447,0,0,0,0,0,74997,24999,24999
4,power,13502,2550,10952,843,843,0,0,1686,0,0,216651
0,network,14002,13915,87,2197,2197,0,0,4394,0,0,564629
1,temp_monitor,14002,195,13807,71,0,0,0,0,0,72,71
0,temp_monitor,14502,29,14473,39,0,0,0,0,0,40,39
1,status_led,14502,3428,11074,0,0,0,0,0,4,0,4
2,power,14502,4327,10175,1205,1205,0,0,2410,0,0,309685
3,safety,14502,10145,4357,0,0,0,0,0,107175,35725,35725
0,stepper,15002,178,14824,0,0,0,0,200,200,0,200
1,network,15002,14824,178,2446,2446,0,0,4892,0,0,628622
0,safety,15502,15480,22,0,0,0,0,0,245307,81769,81769
1,stepper,15502,22,15480,0,0,0,0,225,225,0,225
0,network,16002,15902,100,2511,2511,0,0,5022,0,0,645327
1,temp_monitor,16002,253,15749,81,0,0,0,0,0,82,81
0,network,16502,16277,225,1916,1916,0,0,3832,0,0,492412
1,stepper,16502,215,16287,0,0,0,0,157,157,0,157
2,status_led,16502,664,15838,0,0,0,0,0,8,0,7
0,network,17002,16815,187,2772,2773,0,0,5545,0,0,712590
1,stepper,17002,210,16792,0,0,0,0,227,228,0,227
0,status_led,17502,18,17484,0,0,0,0,0,4,0,4
1,power,17502,3976,13526,1148,1149,0,0,2297,0,0,295113
2,gcode_parser,17502,2446,15056,930,930,0,0,0,0,0,930
3,network,17502,10886,6616,1148,1149,0,0,2297,0,0,295113
4,stepper,17502,176,17326,0,0,0,0,94,94,0,94
0,safety,18002,12402,5600,0,0,0,0,0,133107,44369,44369
1,network,18002,5207,12795,1496,1497,0,0,2993,0,0,384607
2,temp_monitor,18002,11,17991,48,0,0,0,0,0,49,48
3,gcode_parser,18002,382,17620,1212,1212,0,0,0,0,0,1212
0,stepper,18502,221,18281,0,0,0,0,137,137,0,137
1,status_led,18502,6,18496,0,0,0,0,0,6,0,6
2,gcode_parser,18502,2869,15633,1354,1354,0,0,0,0,0,1354
3,power,18502,15406,3096,1671,1672,0,0,3343,0,0,429522
0,safety,19002,19002,0,0,0,0,0,0,537208,179069,179068
0,status_led,19502,19502,0,0,0,0,0,0,27,0,26
0,stepper,20002,34,19968,0,0,0,0,104,104,0,104
1,status_led,20002,0,20002,0,0,0,0,0,5,0,5
2,safety,20002,13136,6866,0,0,0,0,0,112824,37608,37608
3,power,20002,4609,15393,1268,1269,0,0,2537,0,0,326023
4,network,20002,2223,17779,1268,1269,0,0,2537,0,0,326023
0,temp_monitor,20502,157,20345,118,0,0,0,0,0,119,118
1,safety,20502,20462,40,0,0,0,0,0,324460,108153,108153
0,status_led,21002,15,20987,0,0,0,0,0,6,0,6
1,stepper,21002,251,20751,0,0,0,0,127,127,0,127
2,temp_monitor,21002,134,20868,50,0,0,0,0,0,51,50
3,gcode_parser,21002,3255,17747,1253,1253,0,0,0,0,0,1253
4,power,21002,17347,3655,1545,1545,0,0,3090,0,0,397065
0,status_led,21502,19,21483,0,0,0,0,0,7,0,7
1,stepper,21502,311,21191,0,0,0,0,159,159,0,159
2,gcode_parser,21502,3305,18197,1574,1574,0,0,0,0,0,1574
3,network,21502,17940,3562,1943,1943,0,0,3886,0,0,499351
0,temp_monitor,22002,22002,0,285,0,0,0,0,0,287,285
0,network,22502,18496,4006,1783,1784,0,0,3567,0,0,458412
1,status_led,22502,11,22491,0,0,0,0,0,6,0,6
2,power,22502,3715,18787,1783,1784,0,0,3567,0,0,458412
3,stepper,22502,280,22222,0,0,0,0,146,146,0,146
0,temp_monitor,23002,147,22855,49,0,0,0,0,0,50,49
1,network,23002,7215,15787,1506,1506,0,0,3012,0,0,387042
2,status_led,23002,5,22997,0,0,0,0,0,5,0,5
3,gcode_parser,23002,3190,19812,1220,1220,0,0,0,0,0,1220
4,power,23002,12445,10557,1506,1506,0,0,3012,0,0,387042
0,temp_monitor,23502,261,23241,122,0,0,0,0,0,123,122
1,power,23502,23339,163,3761,3762,0,0,7521,0,0,966576
0,status_led,24002,1461,22541,0,0,0,0,0,16,0,16
1,temp_monitor,24002,22541,1461,156,0,0,0,0,0,157,156
0,temp_monitor,24502,24502,0,317,0,0,0,0,0,319,317
0,temp_monitor,25002,43,24959,76,0,0,0,0,0,77,76
1,gcode_parser,25002,718,24284,1895,1895,0,0,0,0,0,1895
2,safety,25002,24211,791,0,0,0,0,0,208203,69401,69401
3,stepper,25002,30,24972,0,0,0,0,191,191,0,191
