process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,status_led,1002,1002,0,0,0,0,0,0,1,0,1
1,temp_monitor,1002,918,84,6,0,0,0,0,0,7,6
0,safety,1502,1502,0,0,0,0,0,0,42104,14034,14034
0,status_led,2002,14,1988,0,0,0,0,0,1,0,1
1,power,2002,1299,703,130,130,0,0,260,0,0,33410
2,temp_monitor,2002,11,1991,4,0,0,0,0,0,5,4
3,gcode_parser,2002,270,1732,106,106,0,0,0,0,0,106
4,network,2002,408,1594,130,130,0,0,260,0,0,33410
0,temp_monitor,2502,117,2385,9,0,0,0,0,0,10,9
1,network,2502,2078,424,287,288,0,0,574,0,0,73759
2,gcode_parser,2502,398,2104,233,234,0,0,0,0,0,233
0,network,3002,3002,0,488,489,0,0,977,0,0,125495
1,status_led,3002,0,3002,0,0,0,0,0,3,0,2
0,safety,3502,2213,1289,0,0,0,0,0,19500,6500,6500
1,gcode_parser,3502,63,3439,178,178,0,0,0,0,0,178
2,network,3502,733,2769,219,220,0,0,439,0,0,56430
3,stepper,3502,5,3497,0,0,0,0,18,18,0,18
4,power,3502,488,3014,219,220,0,0,439,0,0,56429
0,power,4002,4002,0,1045,1046,0,0,2090,0,0,268565
0,power,4502,1298,3204,301,302,0,0,602,0,0,77357
1,gcode_parser,4502,96,4406,244,244,0,0,0,0,0,244
2,temp_monitor,4502,2,4500,9,0,0,0,0,0,10,9
3,safety,4502,3100,1402,0,0,0,0,0,26784,8928,8928
4,stepper,4502,104,4398,0,0,0,0,25,25,0,25
0,power,5002,4301,701,775,775,0,0,1550,0,0,199175
1,gcode_parser,5002,701,4301,628,629,0,0,0,0,0,628
0,stepper,5502,18,5484,0,0,0,0,29,29,0,29
1,power,5502,1215,4287,345,346,0,0,691,0,0,88737
2,safety,5502,3476,2026,0,0,0,0,0,30705,10235,10235
3,network,5502,695,4807,345,346,0,0,691,0,0,88737
4,gcode_parser,5502,98,5404,280,280,0,0,0,0,0,280
0,power,6002,5049,953,691,691,0,0,1382,0,0,177587
1,gcode_parser,6002,921,5081,560,560,0,0,0,0,0,560
2,temp_monitor,6002,34,5968,22,0,0,0,0,0,23,22
0,gcode_parser,6502,173,6329,437,437,0,0,0,0,0,437
1,temp_monitor,6502,6,6496,17,0,0,0,0,0,18,17
2,safety,6502,4454,2048,0,0,0,0,0,48018,16006,16006
3,power,6502,1881,4621,540,540,0,0,1080,0,0,138780
0,power,7002,1454,5548,524,524,0,0,1048,0,0,134667
1,temp_monitor,7002,8,6994,17,0,0,0,0,0,18,17
2,network,7002,1131,5871,524,524,0,0,1048,0,0,134667
3,safety,7002,4409,2593,0,0,0,0,0,46564,15521,15521
0,temp_monitor,7502,7502,0,97,0,0,0,0,0,99,97
0,power,8002,8002,0,2093,2094,0,0,4186,0,0,537900
0,power,8502,8499,3,1387,1387,0,0,2774,0,0,356459
