process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,status_led,1002,14,988,0,0,0,0,0,1,0,1
1,temp_monitor,1002,50,952,2,0,0,0,0,0,3,2
2,gcode_parser,1002,133,869,53,53,0,0,0,0,0,53
3,power,1002,737,265,65,65,0,0,129,0,0,16704
4,network,1002,112,890,65,65,0,0,129,0,0,16704
0,status_led,1502,1502,0,0,0,0,0,0,1,0,1
1,safety,1502,1050,452,0,0,0,0,0,11100,3700,3700
2,power,1502,436,1066,125,125,0,0,250,0,0,32125
3,temp_monitor,1502,2,1500,4,0,0,0,0,0,5,4
0,safety,2002,1943,59,0,0,0,0,0,21456,7152,7151
1,status_led,2002,0,2002,0,0,0,0,0,1,0,1
2,gcode_parser,2002,61,1941,196,196,0,0,0,0,0,196
0,gcode_parser,2502,2502,0,770,771,0,0,0,0,0,770
0,status_led,3002,13,2989,0,0,0,0,0,2,0,2
1,gcode_parser,3002,481,2521,280,280,0,0,0,0,0,280
2,power,3002,2508,494,345,345,0,0,690,0,0,88665
0,network,3502,3502,0,914,915,0,0,1828,0,0,234898
0,status_led,4002,1242,2760,0,0,0,0,0,3,0,3
1,temp_monitor,4002,3691,311,26,0,0,0,0,0,27,26
0,gcode_parser,4502,4502,0,1388,1389,0,0,0,0,0,1388
0,power,5002,862,4140,312,312,0,0,623,0,0,80183
1,safety,5002,3149,1853,0,0,0,0,0,27696,9232,9232
2,stepper,5002,3,4999,0,0,0,0,26,26,0,26
3,gcode_parser,5002,93,4909,252,252,0,0,0,0,0,252
4,network,5002,895,4107,312,312,0,0,623,0,0,80183
0,network,5502,1119,4383,343,343,0,0,686,0,0,88151
1,temp_monitor,5502,4,5498,11,0,0,0,0,0,12,11
2,safety,5502,3225,2277,0,0,0,0,0,30516,10172,10172
3,status_led,5502,0,5502,0,0,0,0,0,2,0,2
4,power,5502,1161,4341,343,343,0,0,686,0,0,88151
0,stepper,6002,5252,750,0,0,0,0,99,99,0,99
1,temp_monitor,6002,780,5222,39,0,0,0,0,0,40,39
0,power,6502,4515,1987,423,423,0,0,846,0,0,108711
1,temp_monitor,6502,33,6469,13,0,0,0,0,0,14,13
2,status_led,6502,3,6499,0,0,0,0,0,2,0,2
3,network,6502,1048,5454,423,423,0,0,846,0,0,108711
4,gcode_parser,6502,907,5595,343,343,0,0,0,0,0,343
0,stepper,7002,19,6983,0,0,0,0,40,40,0,40
1,power,7002,1954,5048,480,480,0,0,960,0,0,123360
2,temp_monitor,7002,285,6717,15,0,0,0,0,0,16,15
3,status_led,7002,0,7002,0,0,0,0,0,2,0,2
4,safety,7002,5019,1983,0,0,0,0,0,42693,14231,14231
0,network,7502,5548,1954,977,977,0,0,1954,0,0,251089
1,power,7502,1954,5548,977,977,0,0,1954,0,0,251089
0,status_led,8002,16,7986,0,0,0,0,0,5,0,5
1,power,8002,7986,16,1305,1306,0,0,2611,0,0,335385
0,status_led,8502,14,8488,0,0,0,0,0,2,0,2
1,network,8502,2434,6068,589,589,0,0,1178,0,0,151373
2,safety,8502,6042,2460,0,0,0,0,0,52380,17460,17460
3,stepper,8502,7,8495,0,0,0,0,49,49,0,49
4,temp_monitor,8502,75,8427,19,0,0,0,0,0,20,19
0,network,9002,2377,6625,864,864,0,0,1728,0,0,222048
1,gcode_parser,9002,1151,7851,699,699,0,0,0,0,0,699
2,power,9002,5474,3528,864,864,0,0,1728,0,0,222048
0,stepper,9502,9502,0,0,0,0,0,309,310,0,309
0,stepper,10002,113,9889,0,0,0,0,74,74,0,74
1,temp_monitor,10002,187,9815,29,0,0,0,0,0,30,29
2,gcode_parser,10002,1550,8452,732,732,0,0,0,0,0,732
3,network,10002,8287,1715,903,903,0,0,1806,0,0,232071
0,network,10502,2340,8162,641,641,0,0,1282,0,0,164736
1,status_led,10502,1,10501,0,0,0,0,0,3,0,3
2,power,10502,1496,9006,641,641,0,0,1282,0,0,164736
3,safety,10502,6639,3863,0,0,0,0,0,56973,18991,18991
4,temp_monitor,10502,26,10476,20,0,0,0,0,0,21,20
0,gcode_parser,11002,256,10746,611,611,0,0,0,0,0,611
1,safety,11002,7657,3345,0,0,0,0,0,67110,22370,22370
2,stepper,11002,11,10991,0,0,0,0,62,62,0,62
3,status_led,11002,0,11002,0,0,0,0,0,3,0,3
4,power,11002,3078,7924,755,755,0,0,1510,0,0,194034
0,stepper,11502,33,11469,0,0,0,0,71,71,0,71
1,gcode_parser,11502,303,11199,696,696,0,0,0,0,0,696
2,status_led,11502,0,11502,0,0,0,0,0,3,0,3
3,temp_monitor,11502,400,11102,27,0,0,0,0,0,28,27
4,safety,11502,11153,349,0,0,0,0,0,76392,25464,25464
0,status_led,12002,19,11983,0,0,0,0,0,7,0,7
1,network,12002,11983,19,1959,1959,0,0,3918,0,0,503463
0,gcode_parser,12502,283,12219,696,696,0,0,0,0,0,696
1,power,12502,3541,8961,859,860,0,0,1719,0,0,220933
2,safety,12502,8673,3829,0,0,0,0,0,76440,25480,25479
3,stepper,12502,13,12489,0,0,0,0,71,71,0,71
4,status_led,12502,1,12501,0,0,0,0,0,3,0,3
0,power,13002,13002,0,3402,3404,0,0,6805,0,0,874513
0,status_led,13502,2443,11059,0,0,0,0,0,4,0,4
1,safety,13502,9378,4124,0,0,0,0,0,99798,33266,33266
2,power,13502,3839,9663,1122,1122,0,0,2244,0,0,288354
3,gcode_parser,13502,271,13231,908,908,0,0,0,0,0,908
0,network,14002,11751,2251,1275,1276,0,0,2551,0,0,327763
1,temp_monitor,14002,89,13913,41,0,0,0,0,0,42,41
2,gcode_parser,14002,2155,11847,1033,1033,0,0,0,0,0,1033
3,status_led,14002,554,13448,0,0,0,0,0,6,0,5
0,network,14502,10722,3780,1890,1890,0,0,3780,0,0,485730
1,power,14502,3780,10722,1890,1890,0,0,3780,0,0,485730
0,safety,15002,10843,4159,0,0,0,0,0,92493,30831,30831
1,power,15002,4138,10864,1040,1040,0,0,2080,0,0,267280
2,stepper,15002,14,14988,0,0,0,0,85,85,0,85
3,status_led,15002,0,15002,0,0,0,0,0,4,0,4
4,temp_monitor,15002,7,14995,33,0,0,0,0,0,34,33
0,network,15502,15502,0,4057,4059,0,0,8115,0,0,1042794
0,safety,16002,10183,5819,0,0,0,0,0,89409,29803,29803
1,gcode_parser,16002,285,15717,814,814,0,0,0,0,0,814
2,network,16002,3341,12661,1005,1005,0,0,2010,0,0,258285
3,stepper,16002,16,15986,0,0,0,0,82,82,0,82
4,power,16002,2177,13825,1005,1005,0,0,2010,0,0,258285
0,network,16502,3171,13331,1021,1022,0,0,2043,0,0,262487
1,gcode_parser,16502,318,16184,827,827,0,0,0,0,0,827
2,safety,16502,10314,6188,0,0,0,0,0,90846,30282,30282
3,power,16502,2698,13804,1021,1022,0,0,2043,0,0,262486
4,status_led,16502,2,16500,0,0,0,0,0,4,0,4
0,stepper,17002,17002,0,0,0,0,0,553,554,0,553
0,temp_monitor,17502,37,17465,70,0,0,0,0,0,71,70
1,status_led,17502,1,17501,0,0,0,0,0,8,0,8
2,safety,17502,17469,33,0,0,0,0,0,191430,63810,63810
0,gcode_parser,18002,2895,15107,1680,1680,0,0,0,0,0,1680
1,network,18002,15098,2904,2076,2076,0,0,4152,0,0,533532
2,status_led,18002,2059,15943,0,0,0,0,0,8,0,7
0,status_led,18502,14,18488,0,0,0,0,0,6,0,6
1,temp_monitor,18502,15,18487,49,0,0,0,0,0,50,49
2,safety,18502,12908,5594,0,0,0,0,0,136563,45521,45521
3,network,18502,5565,12937,1535,1536,0,0,3070,0,0,394495
0,power,19002,5173,13829,1294,1294,0,0,2588,0,0,332558
1,status_led,19002,1,19001,0,0,0,0,0,5,0,5
2,stepper,19002,105,18897,0,0,0,0,106,106,0,106
3,gcode_parser,19002,418,18584,1048,1048,0,0,0,0,0,1048
4,safety,19002,13390,5612,0,0,0,0,0,115077,38359,38359
0,stepper,19502,19107,395,0,0,0,0,320,320,0,320
1,status_led,19502,1609,17893,0,0,0,0,0,14,0,13
0,power,20002,4797,15205,1481,1481,0,0,2962,0,0,380617
1,network,20002,2643,17359,1481,1481,0,0,2962,0,0,380617
2,safety,20002,12199,7803,0,0,0,0,0,131745,43915,43915
3,gcode_parser,20002,368,19634,1199,1199,0,0,0,0,0,1199
0,network,20502,20496,6,3347,3348,0,0,6695,0,0,860215
1,status_led,20502,6,20496,0,0,0,0,0,12,0,11
0,gcode_parser,21002,21002,0,6490,6491,0,0,0,0,0,6490
0,temp_monitor,21502,167,21335,63,0,0,0,0,0,64,63
1,status_led,21502,1,21501,0,0,0,0,0,7,0,7
2,stepper,21502,353,21149,0,0,0,0,160,160,0,160
3,network,21502,21009,493,1950,1950,0,0,3899,0,0,501149
0,status_led,22002,18,21984,0,0,0,0,0,9,0,9
1,network,22002,18447,3555,2537,2538,0,0,5075,0,0,652145
2,gcode_parser,22002,3537,18465,2054,2054,0,0,0,0,0,2054
0,gcode_parser,22502,585,21917,1515,1515,0,0,0,0,0,1515
1,safety,22502,15408,7094,0,0,0,0,0,166413,55471,55471
2,stepper,22502,19,22483,0,0,0,0,153,153,0,153
3,network,22502,6490,16012,1871,1871,0,0,3742,0,0,480847
0,gcode_parser,23002,3650,19352,2147,2147,0,0,0,0,0,2147
1,network,23002,19215,3787,2652,2652,0,0,5304,0,0,681564
2,temp_monitor,23002,220,22782,86,0,0,0,0,0,87,86
0,network,23502,23502,0,6153,6155,0,0,12307,0,0,1581321
0,gcode_parser,24002,669,23333,1473,1473,0,0,0,0,0,1473
1,safety,24002,23274,728,0,0,0,0,0,161793,53931,53931
2,stepper,24002,32,23970,0,0,0,0,149,149,0,149
3,temp_monitor,24002,25,23977,59,0,0,0,0,0,60,59
4,status_led,24002,2,24000,0,0,0,0,0,6,0,6
0,network,24502,5669,18833,1606,1607,0,0,3213,0,0,412757
1,stepper,24502,264,24238,0,0,0,0,132,132,0,132
2,temp_monitor,24502,161,24341,52,0,0,0,0,0,53,52
3,gcode_parser,24502,3329,21173,1301,1301,0,0,0,0,0,1301
4,power,24502,15079,9423,1606,1607,0,0,3213,0,0,412758
0,power,25002,18256,6746,1640,1640,0,0,3280,0,0,421480
1,network,25002,2851,22151,1640,1640,0,0,3280,0,0,421480
2,stepper,25002,268,24734,0,0,0,0,134,134,0,134
3,temp_monitor,25002,155,24847,53,0,0,0,0,0,54,53
4,gcode_parser,25002,3480,21522,1327,1327,0,0,0,0,0,1327
0,temp_monitor,25502,157,25345,147,0,0,0,0,0,148,147
1,safety,25502,25456,46,0,0,0,0,0,403642,134547,134547
0,power,26002,5358,20644,2403,2404,0,0,4807,0,0,617644
1,safety,26002,15513,10489,0,0,0,0,0,213792,71264,71264
2,network,26002,5131,20871,2403,2404,0,0,4807,0,0,617643
0,status_led,26502,26502,0,0,0,0,0,0,36,0,35
