process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,power,1002,1002,0,259,260,0,0,518,0,0,66563
0,gcode_parser,1502,48,1454,100,100,0,0,0,0,0,100
1,temp_monitor,1502,0,1502,3,0,0,0,0,0,4,3
2,network,1502,439,1063,123,123,0,0,246,0,0,31611
3,safety,1502,1015,487,0,0,0,0,0,10918,3639,3639
0,temp_monitor,2002,28,1974,4,0,0,0,0,0,5,4
1,stepper,2002,28,1974,0,0,0,0,12,12,0,12
2,status_led,2002,1988,14,0,0,0,0,0,1,0,1
3,network,2002,1636,366,147,147,0,0,294,0,0,37779
4,gcode_parser,2002,309,1693,119,119,0,0,0,0,0,119
0,network,2502,2479,23,406,406,0,0,812,0,0,104342
1,stepper,2502,23,2479,0,0,0,0,34,35,0,34
0,status_led,3002,3002,0,0,0,0,0,0,5,0,4
0,gcode_parser,3502,147,3355,493,493,0,0,0,0,0,493
1,safety,3502,3358,144,0,0,0,0,0,54130,18043,18043
0,safety,4002,3999,3,0,0,0,0,0,43653,14551,14551
1,temp_monitor,4002,3,3999,15,0,0,0,0,0,16,15
2,status_led,4002,0,4002,0,0,0,0,0,2,0,2
0,safety,4502,3081,1421,0,0,0,0,0,27183,9061,9061
1,temp_monitor,4502,3,4499,9,0,0,0,0,0,10,9
2,stepper,4502,5,4497,0,0,0,0,25,25,0,25
3,gcode_parser,4502,83,4419,248,248,0,0,0,0,0,248
4,power,4502,1332,3170,306,306,0,0,612,0,0,78642
0,safety,5002,2995,2007,0,0,0,0,0,41028,13676,13676
1,network,5002,1239,3763,461,462,0,0,923,0,0,118591
2,power,5002,768,4234,461,462,0,0,923,0,0,118591
0,safety,5502,5501,1,0,0,0,0,0,86940,28980,28980
1,status_led,5502,324,5178,0,0,0,0,0,4,0,4
0,gcode_parser,6002,775,5227,466,466,0,0,0,0,0,466
1,power,6002,4138,1864,575,576,0,0,1151,0,0,147947
2,network,6002,1089,4913,575,576,0,0,1151,0,0,147946
0,temp_monitor,6502,6502,0,84,0,0,0,0,0,86,84
0,gcode_parser,7002,6472,530,747,747,0,0,0,0,0,747
1,temp_monitor,7002,148,6854,30,0,0,0,0,0,31,30
2,stepper,7002,382,6620,0,0,0,0,76,77,0,76
0,status_led,7502,7502,0,0,0,0,0,0,11,0,10
0,gcode_parser,8002,1262,6740,746,746,0,0,0,0,0,746
1,power,8002,6687,1315,922,922,0,0,1844,0,0,236954
2,temp_monitor,8002,54,7948,30,0,0,0,0,0,30,30
0,network,8502,7144,1358,980,980,0,0,1960,0,0,251860
1,status_led,8502,2,8500,0,0,0,0,0,4,0,4
2,gcode_parser,8502,1356,7146,793,793,0,0,0,0,0,793
0,status_led,9002,14,8988,0,0,0,0,0,3,0,3
1,stepper,9002,123,8879,0,0,0,0,55,55,0,55
2,gcode_parser,9002,1430,7572,537,537,0,0,0,0,0,537
3,temp_monitor,9002,56,8946,21,0,0,0,0,0,22,21
4,power,9002,7392,1610,663,663,0,0,1326,0,0,170391
0,temp_monitor,9502,23,9479,28,0,0,0,0,0,29,28
1,stepper,9502,13,9489,0,0,0,0,72,72,0,72
2,gcode_parser,9502,259,9243,711,711,0,0,0,0,0,711
3,safety,9502,9207,295,0,0,0,0,0,78076,26025,26025
0,stepper,10002,29,9973,0,0,0,0,62,62,0,62
1,status_led,10002,0,10002,0,0,0,0,0,3,0,3
2,safety,10002,9726,276,0,0,0,0,0,67350,22450,22450
3,temp_monitor,10002,10,9992,24,0,0,0,0,0,25,24
4,gcode_parser,10002,237,9765,613,613,0,0,0,0,0,613
0,safety,10502,10121,381,0,0,0,0,0,162756,54252,54252
1,gcode_parser,10502,381,10121,1481,1481,0,0,0,0,0,1481
0,safety,11002,11000,2,0,0,0,0,0,174066,58022,58022
1,status_led,11002,660,10342,0,0,0,0,0,7,0,7
0,power,11502,2842,8660,718,718,0,0,1436,0,0,184526
1,network,11502,1332,10170,718,718,0,0,1436,0,0,184526
2,safety,11502,7321,4181,0,0,0,0,0,63861,21287,21287
3,temp_monitor,11502,182,11320,23,0,0,0,0,0,24,23
4,status_led,11502,1,11501,0,0,0,0,0,3,0,3
0,network,12002,8873,3129,1564,1564,0,0,3128,0,0,401948
1,power,12002,3129,8873,1564,1564,0,0,3128,0,0,401948
0,network,12502,3003,9499,1200,1200,0,0,2400,0,0,308400
1,gcode_parser,12502,1609,10893,972,972,0,0,0,0,0,972
2,power,12502,7893,4609,1200,1200,0,0,2400,0,0,308400
0,stepper,13002,147,12855,0,0,0,0,69,69,0,69
1,gcode_parser,13002,1801,11201,685,685,0,0,0,0,0,685
2,power,13002,9344,3658,846,846,0,0,1692,0,0,217422
3,status_led,13002,5,12997,0,0,0,0,0,3,0,3
4,network,13002,1705,11297,846,846,0,0,1692,0,0,217422
0,power,13502,4008,9494,1122,1122,0,0,2244,0,0,288354
1,safety,13502,9217,4285,0,0,0,0,0,99799,33266,33266
2,status_led,13502,0,13502,0,0,0,0,0,4,0,4
3,gcode_parser,13502,277,13225,908,909,0,0,0,0,0,908
0,network,14002,2273,11729,1102,1102,0,0,2204,0,0,283214
1,gcode_parser,14002,1886,12116,892,892,0,0,0,0,0,892
2,temp_monitor,14002,75,13927,35,0,0,0,0,0,36,35
3,power,14002,9768,4234,1102,1102,0,0,2204,0,0,283214
0,safety,14502,8672,5830,0,0,0,0,0,119175,39725,39725
1,network,14502,3557,10945,1340,1340,0,0,2680,0,0,344380
2,power,14502,2273,12229,1340,1340,0,0,2680,0,0,344380
0,gcode_parser,15002,410,14592,1010,1010,0,0,0,0,0,1010
1,safety,15002,10321,4681,0,0,0,0,0,110913,36971,36971
2,network,15002,4259,10743,1247,1247,0,0,2494,0,0,320479
3,stepper,15002,12,14990,0,0,0,0,102,102,0,102
0,gcode_parser,15502,368,15134,1035,1035,0,0,0,0,0,1035
1,stepper,15502,44,15458,0,0,0,0,105,105,0,105
2,power,15502,4551,10951,1278,1278,0,0,2556,0,0,328446
3,safety,15502,10565,4937,0,0,0,0,0,113663,37887,37887
0,power,16002,15601,401,1482,1482,0,0,2963,0,0,380873
1,status_led,16002,4,15998,0,0,0,0,0,5,0,5
2,stepper,16002,276,15726,0,0,0,0,121,121,0,121
3,temp_monitor,16002,210,15792,48,0,0,0,0,0,49,48
0,network,16502,13228,3274,1048,1048,0,0,2095,0,0,269335
1,status_led,16502,2081,14421,0,0,0,0,0,4,0,4
2,temp_monitor,16502,102,16400,34,0,0,0,0,0,35,34
3,power,16502,2950,13552,1048,1048,0,0,2095,0,0,269335
4,stepper,16502,210,16292,0,0,0,0,86,86,0,86
0,network,17002,5983,11019,2440,2441,0,0,4881,0,0,627331
1,safety,17002,11019,5983,0,0,0,0,0,217096,72365,72365
0,temp_monitor,17502,29,17473,38,0,0,0,0,0,39,38
1,safety,17502,12208,5294,0,0,0,0,0,106113,35371,35371
2,stepper,17502,16,17486,0,0,0,0,98,98,0,98
3,network,17502,4903,12599,1193,1193,0,0,2386,0,0,306601
4,gcode_parser,17502,346,17156,966,966,0,0,0,0,0,966
0,stepper,18002,356,17646,0,0,0,0,170,170,0,170
1,temp_monitor,18002,119,17883,67,0,0,0,0,0,68,67
2,power,18002,17627,375,2084,2085,0,0,4169,0,0,535743
0,power,18502,2950,15552,1155,1156,0,0,2311,0,0,297083
1,stepper,18502,12,18490,0,0,0,0,95,95,0,95
