process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,temp_monitor,1002,1002,0,12,0,0,0,0,0,14,12
0,temp_monitor,1502,21,1481,4,0,0,0,0,0,5,4
1,network,1502,1256,246,136,136,0,0,272,0,0,34952
2,gcode_parser,1502,233,1269,110,110,0,0,0,0,0,110
3,status_led,1502,1,1501,0,0,0,0,0,2,0,1
0,safety,2002,1948,54,0,0,0,0,0,16563,5520,5520
1,stepper,2002,0,2002,0,0,0,0,16,16,0,16
2,temp_monitor,2002,2,2000,6,0,0,0,0,0,7,6
3,gcode_parser,2002,52,1950,151,151,0,0,0,0,0,151
0,stepper,2502,56,2446,0,0,0,0,19,19,0,19
1,status_led,2502,2489,13,0,0,0,0,0,1,0,1
2,power,2502,2424,78,231,231,0,0,462,0,0,59367
3,temp_monitor,2502,20,2482,7,0,0,0,0,0,8,7
0,stepper,3002,3002,0,0,0,0,0,98,99,0,98
0,status_led,3502,24,3478,0,0,0,0,0,2,0,2
1,gcode_parser,3502,3250,252,283,283,0,0,0,0,0,283
2,temp_monitor,3502,56,3446,11,0,0,0,0,0,12,11
3,stepper,3502,172,3330,0,0,0,0,29,29,0,29
0,gcode_parser,4002,133,3869,245,245,0,0,0,0,0,245
1,safety,4002,3870,132,0,0,0,0,0,26898,8966,8966
2,status_led,4002,0,4002,0,0,0,0,0,1,0,1
3,stepper,4002,5,3997,0,0,0,0,25,25,0,25
4,temp_monitor,4002,5,3997,9,0,0,0,0,0,10,9
0,stepper,4502,4502,0,0,0,0,0,146,147,0,146
0,status_led,5002,15,4987,0,0,0,0,0,2,0,2
1,gcode_parser,5002,113,4889,278,278,0,0,0,0,0,278
2,safety,5002,3519,1483,0,0,0,0,0,30513,10171,10171
3,network,5002,1360,3642,343,343,0,0,686,0,0,88151
4,stepper,5002,2,5000,0,0,0,0,28,28,0,28
0,status_led,5502,13,5489,0,0,0,0,0,3,0,3
1,network,5502,4602,900,633,634,0,0,1267,0,0,162916
2,gcode_parser,5502,893,4609,513,513,0,0,0,0,0,513
0,gcode_parser,6002,955,5047,560,560,0,0,0,0,0,560
1,power,6002,5008,994,691,691,0,0,1382,0,0,177587
2,temp_monitor,6002,41,5961,22,0,0,0,0,0,23,22
0,network,6502,5427,1075,748,748,0,0,1496,0,0,192236
1,gcode_parser,6502,993,5509,606,606,0,0,0,0,0,606
2,stepper,6502,82,6420,0,0,0,0,61,62,0,61
0,power,7002,6912,90,812,813,0,0,1624,0,0,208684
1,status_led,7002,1713,5289,0,0,0,0,0,3,0,3
2,stepper,7002,89,6913,0,0,0,0,67,67,0,67
