process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,network,1002,1001,1,162,162,0,0,323,0,0,41633
1,status_led,1002,989,13,0,0,0,0,0,2,0,1
0,temp_monitor,1502,130,1372,9,0,0,0,0,0,10,9
1,gcode_parser,1502,1457,45,238,239,0,0,0,0,0,238
0,stepper,2002,113,1889,0,0,0,0,32,32,0,32
1,gcode_parser,2002,1889,113,317,318,0,0,0,0,0,317
0,temp_monitor,2502,2502,0,32,0,0,0,0,0,34,32
0,network,3002,1406,1596,194,194,0,0,388,0,0,49857
1,stepper,3002,180,2822,0,0,0,0,16,16,0,16
2,status_led,3002,0,3002,0,0,0,0,0,1,0,1
3,gcode_parser,3002,399,2603,157,157,0,0,0,0,0,157
4,power,3002,1167,1835,194,194,0,0,388,0,0,49857
0,status_led,3502,3502,0,0,0,0,0,0,6,0,5
0,temp_monitor,4002,186,3816,25,0,0,0,0,0,26,25
1,gcode_parser,4002,3909,93,637,638,0,0,0,0,0,637
0,gcode_parser,4502,621,3881,279,279,0,0,0,0,0,279
1,network,4502,3104,1398,344,345,0,0,689,0,0,88509
2,status_led,4502,6,4496,0,0,0,0,0,2,0,2
3,power,4502,771,3731,344,345,0,0,689,0,0,88509
0,safety,5002,3155,1847,0,0,0,0,0,33513,11171,11171
1,temp_monitor,5002,3,4999,12,0,0,0,0,0,13,12
2,network,5002,1250,3752,377,377,0,0,754,0,0,96889
3,power,5002,597,4405,377,377,0,0,754,0,0,96889
0,network,5502,5502,0,1438,1439,0,0,2876,0,0,369566
0,gcode_parser,6002,6002,0,1852,1853,0,0,0,0,0,1852
0,temp_monitor,6502,18,6484,13,0,0,0,0,0,14,13
1,safety,6502,4170,2332,0,0,0,0,0,36336,12112,12112
2,power,6502,1520,4982,409,409,0,0,818,0,0,105113
3,network,6502,681,5821,409,409,0,0,818,0,0,105113
4,gcode_parser,6502,125,6377,331,331,0,0,0,0,0,331
0,network,7002,5863,1139,807,807,0,0,1614,0,0,207398
1,gcode_parser,7002,1144,5858,653,653,0,0,0,0,0,653
2,status_led,7002,1,7001,0,0,0,0,0,4,0,3
0,power,7502,2235,5267,628,628,0,0,1256,0,0,161396
1,temp_monitor,7502,168,7334,20,0,0,0,0,0,21,20
2,safety,7502,5257,2245,0,0,0,0,0,55863,18621,18621
3,status_led,7502,0,7502,0,0,0,0,0,3,0,3
0,power,8002,6583,1419,785,786,0,0,1571,0,0,201751
1,network,8002,1371,6631,785,786,0,0,1571,0,0,201751
2,temp_monitor,8002,48,7954,25,0,0,0,0,0,26,25
0,network,8502,7298,1204,1319,1319,0,0,2638,0,0,338983
1,gcode_parser,8502,1204,7298,1068,1069,0,0,0,0,0,1068
0,power,9002,8910,92,1467,1467,0,0,2934,0,0,377019
1,stepper,9002,145,8857,0,0,0,0,120,121,0,120
0,status_led,9502,13,9489,0,0,0,0,0,4,0,4
1,safety,9502,6471,3031,0,0,0,0,0,88017,29338,29338
2,power,9502,3018,6484,990,990,0,0,1979,0,0,254429
0,safety,10002,6734,3268,0,0,0,0,0,92420,30806,30806
1,temp_monitor,10002,12,9990,33,0,0,0,0,0,34,33
2,network,10002,3256,6746,1039,1039,0,0,2078,0,0,267023
0,temp_monitor,10502,209,10293,23,0,0,0,0,0,24,23
1,status_led,10502,0,10502,0,0,0,0,0,3,0,3
2,stepper,10502,10,10492,0,0,0,0,59,59,0,59
3,power,10502,2977,7525,720,720,0,0,1440,0,0,185040
4,safety,10502,7494,3008,0,0,0,0,0,64026,21342,21342
0,power,11002,8623,2379,1080,1080,0,0,2160,0,0,277560
1,temp_monitor,11002,59,10943,35,0,0,0,0,0,36,35
2,network,11002,2320,8682,1080,1080,0,0,2160,0,0,277560
0,temp_monitor,11502,23,11479,25,0,0,0,0,0,26,25
1,safety,11502,7960,3542,0,0,0,0,0,69594,23198,23198
2,gcode_parser,11502,222,11280,634,634,0,0,0,0,0,634
3,stepper,11502,151,11351,0,0,0,0,64,64,0,64
4,network,11502,3287,8215,783,783,0,0,1565,0,0,201230
0,gcode_parser,12002,1693,10309,633,633,0,0,0,0,0,633
1,temp_monitor,12002,76,11926,25,0,0,0,0,0,26,25
2,power,12002,8929,3073,782,783,0,0,1565,0,0,201087
3,network,12002,1304,10698,782,783,0,0,1565,0,0,201086
4,status_led,12002,0,12002,0,0,0,0,0,4,0,3
0,safety,12502,8658,3844,0,0,0,0,0,92409,30803,30803
1,status_led,12502,1434,11068,0,0,0,0,0,4,0,4
2,stepper,12502,14,12488,0,0,0,0,85,85,0,85
3,network,12502,3826,8676,1039,1039,0,0,2078,0,0,267023
0,temp_monitor,13002,95,12907,67,0,0,0,0,0,68,67
1,power,13002,12907,95,2079,2081,0,0,4159,0,0,534505
0,safety,13502,13502,0,0,0,0,0,0,381604,127201,127201
0,status_led,14002,19,13983,0,0,0,0,0,6,0,6
1,power,14002,13878,124,1647,1647,0,0,3294,0,0,423278
2,temp_monitor,14002,105,13897,53,0,0,0,0,0,54,53
0,network,14502,14502,0,3795,3797,0,0,7591,0,0,975479
0,status_led,15002,15002,0,0,0,0,0,0,21,0,20
0,status_led,15502,1547,13955,0,0,0,0,0,10,0,10
1,gcode_parser,15502,15455,47,2471,2471,0,0,0,0,0,2471
0,temp_monitor,16002,112,15890,41,0,0,0,0,0,42,41
1,network,16002,14172,1830,1268,1269,0,0,2537,0,0,326046
