process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,power,1002,679,323,77,77,0,0,154,0,0,19789
1,status_led,1002,989,13,0,0,0,0,0,1,0,1
2,gcode_parser,1002,131,871,62,62,0,0,0,0,0,62
3,network,1002,190,812,77,77,0,0,154,0,0,19789
0,gcode_parser,1502,1502,0,461,462,0,0,0,0,0,461
0,power,2002,1679,323,127,128,0,0,255,0,0,32893
1,temp_monitor,2002,8,1994,4,0,0,0,0,0,5,4
2,network,2002,295,1707,127,128,0,0,255,0,0,32892
3,stepper,2002,20,1982,0,0,0,0,11,11,0,11
4,status_led,2002,0,2002,0,0,0,0,0,2,0,1
0,gcode_parser,2502,87,2415,245,245,0,0,0,0,0,245
1,temp_monitor,2502,4,2498,9,0,0,0,0,0,10,9
2,safety,2502,2411,91,0,0,0,0,0,26851,8950,8950
0,temp_monitor,3002,3002,0,38,0,0,0,0,0,40,38
0,status_led,3502,13,3489,0,0,0,0,0,1,0,1
1,power,3502,1069,2433,290,291,0,0,581,0,0,74562
2,safety,3502,2416,1086,0,0,0,0,0,25812,8604,8604
3,stepper,3502,101,3401,0,0,0,0,24,24,0,24
0,gcode_parser,4002,4002,0,1234,1235,0,0,0,0,0,1234
0,stepper,4502,18,4484,0,0,0,0,35,35,0,35
1,gcode_parser,4502,125,4377,341,341,0,0,0,0,0,341
2,safety,4502,4358,144,0,0,0,0,0,37393,12464,12464
3,status_led,4502,1,4501,0,0,0,0,0,2,0,2
0,temp_monitor,5002,41,4961,14,0,0,0,0,0,15,14
1,network,5002,4115,887,454,454,0,0,907,0,0,116677
2,stepper,5002,55,4947,0,0,0,0,37,37,0,37
3,gcode_parser,5002,792,4210,368,368,0,0,0,0,0,368
0,status_led,5502,14,5488,0,0,0,0,0,3,0,3
1,gcode_parser,5502,184,5318,539,539,0,0,0,0,0,539
2,safety,5502,5312,190,0,0,0,0,0,59229,19743,19743
0,safety,6002,6002,0,0,0,0,0,0,94860,31620,31620
1,status_led,6002,0,6002,0,0,0,0,0,4,0,4
0,temp_monitor,6502,155,6347,27,0,0,0,0,0,28,27
1,gcode_parser,6502,5995,507,694,694,0,0,0,0,0,694
2,stepper,6502,353,6149,0,0,0,0,71,72,0,71
0,gcode_parser,7002,6651,351,747,747,0,0,0,0,0,747
1,status_led,7002,11,6991,0,0,0,0,0,4,0,4
2,stepper,7002,340,6662,0,0,0,0,76,76,0,76
0,status_led,7502,1880,5622,0,0,0,0,0,4,0,4
1,power,7502,7488,14,1223,1224,0,0,2447,0,0,314563
0,temp_monitor,8002,62,7940,16,0,0,0,0,0,17,16
1,status_led,8002,0,8002,0,0,0,0,0,2,0,2
2,power,8002,5943,2059,520,521,0,0,1041,0,0,133694
3,network,8002,881,7121,520,521,0,0,1041,0,0,133694
4,gcode_parser,8002,1116,6886,421,421,0,0,0,0,0,421
0,stepper,8502,66,8436,0,0,0,0,44,44,0,44
1,safety,8502,5491,3011,0,0,0,0,0,47181,15727,15727
2,network,8502,2102,6400,531,531,0,0,1061,0,0,136466
3,power,8502,881,7621,531,531,0,0,1061,0,0,136466
4,temp_monitor,8502,9,8493,17,0,0,0,0,0,18,17
0,gcode_parser,9002,1194,7808,563,563,0,0,0,0,0,563
1,stepper,9002,98,8904,0,0,0,0,57,57,0,57
2,power,9002,6464,2538,696,696,0,0,1392,0,0,178872
3,network,9002,1246,7756,696,696,0,0,1392,0,0,178872
0,stepper,9502,120,9382,0,0,0,0,71,71,0,71
1,gcode_parser,9502,1490,8012,700,700,0,0,0,0,0,700
2,network,9502,7905,1597,864,865,0,0,1729,0,0,222301
3,status_led,9502,2,9500,0,0,0,0,0,4,0,3
0,stepper,10002,10002,0,0,0,0,0,325,326,0,325
0,status_led,10502,13,10489,0,0,0,0,0,4,0,4
1,stepper,10502,171,10331,0,0,0,0,78,78,0,78
2,temp_monitor,10502,76,10426,31,0,0,0,0,0,32,31
3,network,10502,10242,260,952,952,0,0,1904,0,0,244664
0,stepper,11002,9761,1241,0,0,0,0,181,181,0,181
1,temp_monitor,11002,1241,9761,72,0,0,0,0,0,73,72
0,temp_monitor,11502,1360,10142,75,0,0,0,0,0,76,75
1,stepper,11502,10172,1330,0,0,0,0,189,190,0,189
0,network,12002,12002,0,3140,3142,0,0,6281,0,0,807198
0,safety,12502,8782,3720,0,0,0,0,0,93162,31054,31054
1,stepper,12502,12,12490,0,0,0,0,86,86,0,86
2,network,12502,3695,8807,1047,1048,0,0,2095,0,0,269199
3,temp_monitor,12502,13,12489,34,0,0,0,0,0,35,34
0,gcode_parser,13002,1846,11156,1634,1634,0,0,0,0,0,1634
1,network,13002,11156,1846,2017,2018,0,0,4035,0,0,518613
0,gcode_parser,13502,13209,293,2152,2152,0,0,0,0,0,2152
1,temp_monitor,13502,382,13120,86,0,0,0,0,0,87,86
0,stepper,14002,9860,4142,0,0,0,0,153,153,0,153
1,status_led,14002,398,13604,0,0,0,0,0,7,0,7
2,temp_monitor,14002,3744,10258,61,0,0,0,0,0,62,61
0,power,14502,12438,2064,2251,2251,0,0,4502,0,0,578507
1,gcode_parser,14502,2069,12433,1823,1824,0,0,0,0,0,1823
0,temp_monitor,15002,202,14800,57,0,0,0,0,0,58,57
1,network,15002,14692,310,1762,1763,0,0,3525,0,0,453005
2,stepper,15002,199,14803,0,0,0,0,144,145,0,144
0,temp_monitor,15502,107,15395,49,0,0,0,0,0,50,49
