process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,gcode_parser,1002,168,834,60,60,0,0,0,0,0,60
1,temp_monitor,1002,5,997,2,0,0,0,0,0,3,2
2,status_led,1002,0,1002,0,0,0,0,0,1,0,1
3,power,1002,813,189,73,73,0,0,146,0,0,18761
4,stepper,1002,172,830,0,0,0,0,6,6,0,6
0,stepper,1502,1502,0,0,0,0,0,49,50,0,49
0,safety,2002,1927,75,0,0,0,0,0,30852,10284,10284
1,gcode_parser,2002,79,1923,281,281,0,0,0,0,0,281
0,stepper,2502,2502,0,0,0,0,0,81,82,0,81
0,gcode_parser,3002,435,2567,376,376,0,0,0,0,0,376
1,power,3002,2574,428,464,465,0,0,929,0,0,119256
0,stepper,3502,184,3318,0,0,0,0,29,29,0,29
1,gcode_parser,3502,3240,262,283,283,0,0,0,0,0,283
2,temp_monitor,3502,57,3445,11,0,0,0,0,0,12,11
3,status_led,3502,442,3060,0,0,0,0,0,3,0,2
0,network,4002,861,3141,244,244,0,0,487,0,0,62707
1,status_led,4002,0,4002,0,0,0,0,0,1,0,1
2,power,4002,594,3408,244,244,0,0,487,0,0,62707
3,temp_monitor,4002,1,4001,7,0,0,0,0,0,8,7
4,safety,4002,2546,1456,0,0,0,0,0,21645,7215,7215
0,power,4502,1356,3146,377,377,0,0,753,0,0,96888
1,safety,4502,3141,1361,0,0,0,0,0,33474,11158,11158
2,status_led,4502,1,4501,0,0,0,0,0,2,0,2
3,temp_monitor,4502,4,4498,12,0,0,0,0,0,13,12
0,power,5002,1198,3804,309,309,0,0,618,0,0,79413
1,network,5002,544,4458,309,309,0,0,618,0,0,79413
2,stepper,5002,5,4997,0,0,0,0,26,26,0,26
3,safety,5002,3170,1832,0,0,0,0,0,27477,9159,9159
4,gcode_parser,5002,91,4911,250,250,0,0,0,0,0,250
0,power,5502,1757,3745,527,528,0,0,1055,0,0,135593
1,gcode_parser,5502,699,4803,427,427,0,0,0,0,0,427
2,network,5502,3046,2456,527,528,0,0,1055,0,0,135593
0,power,6002,4903,1099,588,589,0,0,1177,0,0,151367
1,network,6002,1026,4976,588,589,0,0,1177,0,0,151367
2,stepper,6002,194,5808,0,0,0,0,48,49,0,48
0,network,6502,1874,4628,435,436,0,0,871,0,0,111821
1,gcode_parser,6502,146,6356,353,353,0,0,0,0,0,353
2,status_led,6502,1917,4585,0,0,0,0,0,2,0,2
3,temp_monitor,6502,4,6498,14,0,0,0,0,0,15,14
4,safety,6502,4478,2024,0,0,0,0,0,38709,12903,12903
0,stepper,7002,23,6979,0,0,0,0,44,44,0,44
1,safety,7002,4431,2571,0,0,0,0,0,46938,15646,15646
2,power,7002,1610,5392,528,528,0,0,1056,0,0,135696
3,network,7002,940,6062,528,528,0,0,1056,0,0,135696
0,power,7502,7502,0,1962,1963,0,0,3924,0,0,504234
0,stepper,8002,7019,983,0,0,0,0,131,131,0,131
1,temp_monitor,8002,983,7019,52,0,0,0,0,0,53,52
0,gcode_parser,8502,8502,0,2625,2626,0,0,0,0,0,2625
0,network,9002,9002,0,2355,2356,0,0,4709,0,0,605234
0,network,9502,9502,0,2486,2487,0,0,4971,0,0,638901
0,safety,10002,10002,0,0,0,0,0,0,282583,94194,94194
0,status_led,10502,14,10488,0,0,0,0,0,3,0,3
1,temp_monitor,10502,68,10434,25,0,0,0,0,0,26,25
2,stepper,10502,138,10364,0,0,0,0,64,64,0,64
3,network,10502,8665,1837,773,774,0,0,1547,0,0,198905
4,gcode_parser,10502,1617,8885,627,627,0,0,0,0,0,627
0,safety,11002,10602,400,0,0,0,0,0,170514,56838,56838
1,gcode_parser,11002,402,10600,1552,1552,0,0,0,0,0,1552
0,network,11502,2468,9034,724,724,0,0,1447,0,0,186067
1,safety,11502,7299,4203,0,0,0,0,0,64350,21450,21450
2,power,11502,1518,9984,724,724,0,0,1447,0,0,186067
3,temp_monitor,11502,6,11496,23,0,0,0,0,0,24,23
4,gcode_parser,11502,220,11282,586,586,0,0,0,0,0,586
0,gcode_parser,12002,245,11757,596,596,0,0,0,0,0,596
1,network,12002,2325,9677,736,737,0,0,1473,0,0,189243
2,status_led,12002,0,12002,0,0,0,0,0,3,0,3
3,safety,12002,7539,4463,0,0,0,0,0,65493,21831,21831
4,power,12002,1893,10109,736,737,0,0,1473,0,0,189242
0,safety,12502,12162,340,0,0,0,0,0,84207,28069,28069
1,stepper,12502,49,12453,0,0,0,0,78,78,0,78
2,status_led,12502,1,12501,0,0,0,0,0,4,0,4
3,gcode_parser,12502,303,12199,767,767,0,0,0,0,0,767
4,temp_monitor,12502,15,12487,30,0,0,0,0,0,31,30
0,stepper,13002,22,12980,0,0,0,0,80,80,0,80
1,power,13002,3072,9930,973,973,0,0,1946,0,0,250061
2,network,13002,1722,11280,973,973,0,0,1946,0,0,250061
3,safety,13002,8191,4811,0,0,0,0,0,86554,28851,28851
0,power,13502,2947,10555,849,850,0,0,1699,0,0,218445
1,safety,13502,8565,4937,0,0,0,0,0,75553,25184,25184
2,network,13502,1740,11762,849,850,0,0,1699,0,0,218444
3,gcode_parser,13502,242,13260,688,688,0,0,0,0,0,688
4,temp_monitor,13502,8,13494,27,0,0,0,0,0,28,27
0,safety,14002,9882,4120,0,0,0,0,0,104364,34788,34788
1,power,14002,4089,9913,1173,1174,0,0,2347,0,0,301475
2,stepper,14002,23,13979,0,0,0,0,96,96,0,96
3,temp_monitor,14002,9,13993,38,0,0,0,0,0,39,38
0,safety,14502,9894,4608,0,0,0,0,0,107211,35736,35736
1,power,14502,4190,10312,1205,1206,0,0,2411,0,0,309685
2,status_led,14502,1,14501,0,0,0,0,0,4,0,4
3,gcode_parser,14502,417,14085,976,976,0,0,0,0,0,976
0,stepper,15002,190,14812,0,0,0,0,112,112,0,112
1,gcode_parser,15002,2302,12700,1106,1106,0,0,0,0,0,1106
2,power,15002,12422,2580,1365,1365,0,0,2730,0,0,350805
3,temp_monitor,15002,88,14914,44,0,0,0,0,0,45,44
0,power,15502,2860,12642,1007,1008,0,0,2015,0,0,258948
1,status_led,15502,2,15500,0,0,0,0,0,4,0,4
2,stepper,15502,161,15341,0,0,0,0,83,83,0,83
3,gcode_parser,15502,2125,13377,816,816,0,0,0,0,0,816
4,network,15502,10354,5148,1007,1008,0,0,2015,0,0,258948
0,network,16002,16002,0,4188,4190,0,0,8377,0,0,1076457
0,safety,16502,16502,0,0,0,0,0,0,466477,155492,155492
0,safety,17002,11792,5210,0,0,0,0,0,125697,41899,41898
1,power,17002,4858,12144,1413,1413,0,0,2826,0,0,363141
2,stepper,17002,13,16989,0,0,0,0,116,116,0,116
3,gcode_parser,17002,349,16653,1144,1144,0,0,0,0,0,1144
0,stepper,17502,32,17470,0,0,0,0,99,99,0,99
1,network,17502,4936,12566,1203,1204,0,0,2407,0,0,309367
2,safety,17502,12188,5314,0,0,0,0,0,107043,35681,35681
3,status_led,17502,2,17500,0,0,0,0,0,4,0,4
4,gcode_parser,17502,344,17158,974,974,0,0,0,0,0,974
0,temp_monitor,18002,139,17863,53,0,0,0,0,0,54,53
1,status_led,18002,1122,16880,0,0,0,0,0,6,0,6
2,stepper,18002,272,17730,0,0,0,0,134,134,0,134
3,power,18002,17586,416,1632,1632,0,0,3264,0,0,419424
0,safety,18502,12037,6465,0,0,0,0,0,236322,78774,78774
1,network,18502,6466,12036,2657,2657,0,0,5314,0,0,682848
0,stepper,19002,38,18964,0,0,0,0,108,108,0,108
1,safety,19002,13538,5464,0,0,0,0,0,116880,38960,38960
2,status_led,19002,1,19001,0,0,0,0,0,5,0,5
3,temp_monitor,19002,347,18655,42,0,0,0,0,0,43,42
4,network,19002,5412,13590,1314,1314,0,0,2628,0,0,337698
0,stepper,19502,31,19471,0,0,0,0,166,166,0,166
1,safety,19502,13230,6272,0,0,0,0,0,180777,60258,60258
2,network,19502,6241,13261,2032,2032,0,0,4064,0,0,522224
0,safety,20002,20002,0,0,0,0,0,0,565498,188499,188499
0,power,20502,20374,128,3217,3218,0,0,6435,0,0,826930
1,temp_monitor,20502,128,20374,104,0,0,0,0,0,105,104
0,status_led,21002,14,20988,0,0,0,0,0,7,0,7
1,gcode_parser,21002,592,20410,1572,1572,0,0,0,0,0,1572
2,temp_monitor,21002,25,20977,63,0,0,0,0,0,64,63
3,safety,21002,20371,631,0,0,0,0,0,172716,57572,57572
0,temp_monitor,21502,260,21242,63,0,0,0,0,0,64,63
1,gcode_parser,21502,3362,18140,1575,1575,0,0,0,0,0,1575
2,status_led,21502,9,21493,0,0,0,0,0,7,0,7
3,power,21502,17977,3525,1944,1944,0,0,3888,0,0,499608
0,power,22002,7732,14270,3159,3159,0,0,6318,0,0,811863
1,safety,22002,14270,7732,0,0,0,0,0,280999,93666,93666
0,power,22502,18723,3779,1657,1657,0,0,3314,0,0,425849
1,status_led,22502,1,22501,0,0,0,0,0,6,0,6
2,temp_monitor,22502,134,22368,54,0,0,0,0,0,55,54
3,gcode_parser,22502,3365,19137,1343,1343,0,0,0,0,0,1343
4,stepper,22502,325,22177,0,0,0,0,136,136,0,136
0,temp_monitor,23002,29,22973,46,0,0,0,0,0,47,46
1,network,23002,5048,17954,1438,1438,0,0,2875,0,0,369565
2,safety,23002,14736,8266,0,0,0,0,0,127869,42623,42623
3,power,23002,3164,19838,1438,1438,0,0,2875,0,0,369565
4,stepper,23002,65,22937,0,0,0,0,118,118,0,118
0,stepper,23502,278,23224,0,0,0,0,313,313,0,313
1,power,23502,23224,278,3833,3834,0,0,7667,0,0,985195
0,stepper,24002,107,23895,0,0,0,0,241,241,0,241
1,safety,24002,23952,50,0,0,0,0,0,262521,87507,87507
2,status_led,24002,3,23999,0,0,0,0,0,10,0,10
0,network,24502,24494,8,4001,4001,0,0,8002,0,0,1028257
1,status_led,24502,129,24373,0,0,0,0,0,15,0,14
