process,name,timestamp,running_time,idle_time,uart_transmit_calls,uart_receive_calls,i2c_read_calls,i2d_write_calls,spi_transfer_calls,gpio_interrupt_calls,adc_read_calls,sleep_calls
0,stepper,1002,64,938,0,0,0,0,11,11,0,11
1,gcode_parser,1002,919,83,106,106,0,0,0,0,0,106
2,temp_monitor,1002,73,929,4,0,0,0,0,0,5,4
0,power,1502,1502,0,390,391,0,0,780,0,0,100230
0,power,2002,2002,0,521,522,0,0,1042,0,0,133897
0,gcode_parser,2502,91,2411,151,151,0,0,0,0,0,151
1,status_led,2502,0,2502,0,0,0,0,0,1,0,1
2,stepper,2502,4,2498,0,0,0,0,16,16,0,16
3,safety,2502,2417,85,0,0,0,0,0,16566,5522,5522
4,temp_monitor,2502,1,2501,6,0,0,0,0,0,7,6
0,network,3002,722,2280,188,189,0,0,376,0,0,48316
1,power,3002,309,2693,188,189,0,0,376,0,0,48316
2,stepper,3002,2,3000,0,0,0,0,16,16,0,16
3,safety,3002,1969,1033,0,0,0,0,0,16731,5577,5577
4,status_led,3002,0,3002,0,0,0,0,0,1,0,1
0,power,3502,3481,21,548,548,0,0,1096,0,0,140836
1,temp_monitor,3502,21,3481,17,0,0,0,0,0,18,17
0,power,4002,1195,2807,329,329,0,0,658,0,0,84553
1,stepper,4002,4,3998,0,0,0,0,27,27,0,27
2,status_led,4002,1,4001,0,0,0,0,0,2,0,2
3,safety,4002,2802,1200,0,0,0,0,0,29238,9746,9746
0,status_led,4502,785,3717,0,0,0,0,0,2,0,2
1,power,4502,1296,3206,370,371,0,0,741,0,0,95295
2,gcode_parser,4502,103,4399,300,300,0,0,0,0,0,300
3,safety,4502,3090,1412,0,0,0,0,0,32937,10979,10979
0,network,5002,1618,3384,520,521,0,0,1041,0,0,133640
1,stepper,5002,3,4999,0,0,0,0,43,43,0,43
2,safety,5002,3381,1621,0,0,0,0,0,46270,15423,15423
0,power,5502,5355,147,509,509,0,0,1018,0,0,130813
1,status_led,5502,2184,3318,0,0,0,0,0,2,0,2
2,stepper,5502,104,5398,0,0,0,0,42,42,0,42
3,temp_monitor,5502,43,5459,16,0,0,0,0,0,17,16
0,power,6002,4998,1004,690,691,0,0,1381,0,0,177556
1,stepper,6002,92,5910,0,0,0,0,57,57,0,57
2,gcode_parser,6002,944,5058,559,559,0,0,0,0,0,559
0,network,6502,1215,5287,490,491,0,0,981,0,0,126152
1,safety,6502,4075,2427,0,0,0,0,0,43614,14538,14538
2,stepper,6502,3,6499,0,0,0,0,40,40,0,40
3,power,6502,1209,5293,490,491,0,0,981,0,0,126152
0,gcode_parser,7002,144,6858,356,356,0,0,0,0,0,356
1,safety,7002,4441,2561,0,0,0,0,0,39072,13024,13024
2,network,7002,1462,5540,439,440,0,0,879,0,0,112975
3,stepper,7002,9,6993,0,0,0,0,36,36,0,36
4,power,7002,946,6056,439,440,0,0,879,0,0,112975
0,network,7502,2202,5300,623,623,0,0,1246,0,0,160111
1,temp_monitor,7502,8,7494,20,0,0,0,0,0,21,20
2,stepper,7502,6,7496,0,0,0,0,51,51,0,51
3,safety,7502,5288,2214,0,0,0,0,0,55390,18463,18463
0,gcode_parser,8002,8002,0,2470,2471,0,0,0,0,0,2470
0,network,8502,2535,5967,712,712,0,0,1424,0,0,182984
1,temp_monitor,8502,10,8492,23,0,0,0,0,0,24,23
2,safety,8502,5956,2546,0,0,0,0,0,63321,21107,21107
3,status_led,8502,1177,7325,0,0,0,0,0,3,0,3
0,network,9002,1965,7037,557,557,0,0,1114,0,0,143149
1,safety,9002,5640,3362,0,0,0,0,0,49506,16502,16502
2,power,9002,1235,7767,557,557,0,0,1114,0,0,143149
3,gcode_parser,9002,161,8841,451,451,0,0,0,0,0,451
4,status_led,9002,1,9001,0,0,0,0,0,2,0,2
0,temp_monitor,9502,232,9270,35,0,0,0,0,0,36,35
1,power,9502,7936,1566,1095,1095,0,0,2190,0,0,281414
2,gcode_parser,9502,1498,8004,886,887,0,0,0,0,0,886
0,gcode_parser,10002,1389,8613,518,518,0,0,0,0,0,518
1,power,10002,7077,2925,640,641,0,0,1280,0,0,164480
2,status_led,10002,4,9998,0,0,0,0,0,3,0,3
3,network,10002,1425,8577,640,641,0,0,1280,0,0,164480
4,stepper,10002,107,9895,0,0,0,0,53,53,0,53
0,stepper,10502,210,10292,0,0,0,0,99,99,0,99
1,network,10502,8743,1759,1209,1209,0,0,2418,0,0,310713
2,gcode_parser,10502,1607,8895,979,979,0,0,0,0,0,979
0,status_led,11002,13,10989,0,0,0,0,0,7,0,7
1,safety,11002,10989,13,0,0,0,0,0,174048,58016,58016
0,gcode_parser,11502,1856,9646,1073,1073,0,0,0,0,0,1073
1,network,11502,9642,1860,1326,1326,0,0,2652,0,0,340782
2,status_led,11502,4,11498,0,0,0,0,0,6,0,5
0,network,12002,9904,2098,1178,1179,0,0,2357,0,0,302791
1,power,12002,2093,9909,1178,1179,0,0,2357,0,0,302790
2,status_led,12002,5,11997,0,0,0,0,0,5,0,4
0,network,12502,12502,0,3271,3273,0,0,6543,0,0,840850
0,status_led,13002,13002,0,0,0,0,0,0,18,0,17
0,power,13502,3264,10238,843,843,0,0,1686,0,0,216651
1,network,13502,1578,11924,843,843,0,0,1686,0,0,216651
2,safety,13502,8646,4856,0,0,0,0,0,74970,24990,24990
3,temp_monitor,13502,7,13495,27,0,0,0,0,0,28,27
4,stepper,13502,11,13491,0,0,0,0,69,69,0,69
0,stepper,14002,66,13936,0,0,0,0,139,139,0,139
1,gcode_parser,14002,431,13571,1374,1374,0,0,0,0,0,1374
2,safety,14002,13539,463,0,0,0,0,0,150943,50314,50314
0,status_led,14502,727,13775,0,0,0,0,0,9,0,9
1,safety,14502,14489,13,0,0,0,0,0,229488,76496,76496
0,temp_monitor,15002,118,14884,56,0,0,0,0,0,57,56
1,status_led,15002,6,14996,0,0,0,0,0,6,0,6
2,power,15002,14878,124,1739,1739,0,0,3478,0,0,446923
0,stepper,15502,13792,1710,0,0,0,0,254,254,0,254
1,temp_monitor,15502,1710,13792,101,0,0,0,0,0,102,101
0,power,16002,3412,12590,1207,1207,0,0,2414,0,0,310199
1,safety,16002,10073,5929,0,0,0,0,0,107355,35785,35785
2,network,16002,2511,13491,1207,1207,0,0,2414,0,0,310199
3,stepper,16002,9,15993,0,0,0,0,99,99,0,99
0,safety,16502,16035,467,0,0,0,0,0,137349,45783,45783
1,temp_monitor,16502,15,16487,50,0,0,0,0,0,51,50
2,stepper,16502,17,16485,0,0,0,0,126,126,0,126
3,gcode_parser,16502,443,16059,1250,1250,0,0,0,0,0,1250
0,temp_monitor,17002,17002,0,220,0,0,0,0,0,222,220
0,status_led,17502,43,17459,0,0,0,0,0,8,0,8
1,temp_monitor,17502,386,17116,75,0,0,0,0,0,76,75
2,gcode_parser,17502,17073,429,1870,1870,0,0,0,0,0,1870
0,gcode_parser,18002,2510,15492,949,949,0,0,0,0,0,949
1,stepper,18002,203,17799,0,0,0,0,96,96,0,96
2,power,18002,13271,4731,1173,1173,0,0,2346,0,0,301460
3,network,18002,2027,15975,1173,1173,0,0,2346,0,0,301460
4,status_led,18002,1,18001,0,0,0,0,0,5,0,4
0,safety,18502,18502,0,0,0,0,0,0,523060,174353,174353
0,gcode_parser,19002,19002,0,5871,5872,0,0,0,0,0,5871
0,safety,19502,19502,0,0,0,0,0,0,551353,183784,183784
0,power,20002,5968,14034,1647,1648,0,0,3295,0,0,423481
1,stepper,20002,17,19985,0,0,0,0,135,135,0,135
2,status_led,20002,1,20001,0,0,0,0,0,6,0,6
3,safety,20002,14016,5986,0,0,0,0,0,146544,48848,48848
0,network,20502,14822,5680,1607,1608,0,0,3215,0,0,413159
1,power,20502,2827,17675,1607,1608,0,0,3215,0,0,413159
2,temp_monitor,20502,115,20387,52,0,0,0,0,0,53,52
3,gcode_parser,20502,2738,17764,1301,1302,0,0,0,0,0,1301
0,power,21002,4560,16442,1381,1381,0,0,2762,0,0,354917
1,temp_monitor,21002,106,20896,44,0,0,0,0,0,45,44
2,gcode_parser,21002,2892,18110,1118,1118,0,0,0,0,0,1118
