task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
C,10007,0,0,19380,1,8
B,20052,19372,0,20098,0.5091969,10
C,28089,20090,0,35462,0.63835686,8
B,38132,35446,0,40192,0.53137314,8
C,46132,40176,0,51470,0.56161755,6
B,54170,51446,0,56276,0.5224188,6
C,60170,56252,0,63478,0.5301762,5
B,66208,63446,0,68360,0.51864105,5
C,71208,68328,0,73486,0.5181858,5
B,76208,73446,0,78368,0.5162106,5
C,81208,78328,0,83494,0.515962,5
B,86208,83446,0,88376,0.51434624,5
C,91208,88328,0,93502,0.51422757,5
B,96208,93446,0,98384,0.5128708,5
C,97513,98328,0,96116,0.494312,5
C,102513,108328,0,96122,0.4701492,5
C,107513,118328,0,96128,0.44824114,5
C,112513,128328,0,96134,0.4282863,7
C,117556,138414,0,96140,0.4098843,5
C,124593,152488,0,96146,0.3866969,5
C,129593,162488,0,96152,0.37175998,5
C,134593,172488,0,96158,0.35793573,5
C,139593,182488,0,96164,0.34510428,5
C,144593,192488,0,96170,0.33316243,5
B,149593,93464,100254,102298,0.34558266,10
C,154630,202488,0,106252,0.34414718,5
B,164668,103538,200508,122382,0.28699335,10
C,169711,222564,0,116346,0.34329468,5
B,179749,113624,300762,142466,0.25584176,10
C,184786,242640,0,126428,0.34256017,5
B,194824,123698,401016,162550,0.23651755,10
C,199861,262716,0,136510,0.34193665,5
B,209899,133772,501270,182634,0.22335742,10
C,214936,282792,0,146592,0.3414007,5
B,224974,143846,601524,202718,0.2138177,10
C,230011,302868,0,156674,0.3409351,6
B,240055,153920,701778,222814,0.2065939,10
C,246092,322956,0,168756,0.3432009,11
B,256136,165994,802032,242910,0.2005969,10
C,267173,343044,0,190838,0.35745353,9
B,277211,188068,902286,262994,0.19432844,9
C,278016,363120,0,192452,0.34640336,9
C,287016,381120,0,192458,0.33553937,7
C,296053,399194,0,192464,0.32529604,5
C,303090,413268,0,192470,0.31774464,5
C,308090,423268,0,192476,0.31259096,5
C,313090,433268,0,192482,0.30760208,5
C,318090,443268,0,192488,0.30277026,5
C,323090,453268,0,192494,0.29808816,5
C,328090,463268,0,192500,0.29354894,5
B,333090,188086,1002542,272894,0.18646389,10
C,338127,473268,0,202582,0.29974404,5
B,348165,198160,1102798,292978,0.18380788,10
C,353202,493344,0,212664,0.3012204,5
B,363246,208234,1203054,313074,0.18155932,10
C,368289,513432,0,222758,0.3025822,5
B,378327,218320,1303310,333158,0.17962053,10
C,383364,533508,0,232840,0.30383062,6
B,393408,228394,1403566,353254,0.17794253,10
C,399445,553596,0,244922,0.3067207,5
B,409483,240468,1503822,373338,0.1763001,9
C,414520,573672,0,255004,0.30772462,5
B,423558,250542,1604078,391422,0.1742719,10
C,428595,591748,0,265086,0.30937847,10
B,438595,260616,1704334,411430,0.17313309,10
C,448595,611748,0,285094,0.31788653,8
B,458633,280616,1804590,431514,0.17145889,9
C,460470,631824,0,288772,0.3136794,6
C,469506,649896,0,288778,0.3076446,5
C,475543,661970,0,288784,0.30374208,5
C,480543,671970,0,288790,0.30058494,5
C,485543,681970,0,288796,0.29749292,5
C,490543,691970,0,288802,0.29446396,5
C,495543,701970,0,288808,0.2914962,5
C,500543,711970,0,288814,0.28858775,5
C,505543,721970,0,288820,0.2857369,5
C,510543,731970,0,288826,0.28294194,5
B,515543,280634,1904846,441412,0.16803584,10
C,520580,741970,0,298908,0.2871691,5
B,530618,290708,2005102,461496,0.16737206,10
C,535655,762046,0,308990,0.28849638,5
B,545693,300782,2105358,481580,0.16676825,10
C,550730,782122,0,319072,0.28975093,5
B,560768,310856,2205614,501664,0.16621661,8
C,565812,802198,0,329168,0.2909474,5
B,573850,320944,2305870,517748,0.16464868,8
C,578887,818274,0,339250,0.29308248,5
B,586925,331018,2406126,533832,0.16320266,8
C,591963,834350,0,349334,0.29512438,5
B,600001,341094,2506382,549916,0.16186416,8
C,605039,850426,0,359418,0.29707798,5
B,613082,351170,2606638,566010,0.16062407,10
C,618126,866512,0,369514,0.29895326,6
B,628170,361258,2706894,586106,0.16038989,10
C,634208,886600,0,381598,0.3008978,5
B,644246,373334,2807150,606190,0.16008508,9
C,646048,906676,0,385206,0.2981743,5
C,655089,924758,0,385212,0.2940617,5
C,660089,934758,0,385218,0.29183713,5
C,665089,944758,0,385224,0.28964603,5
C,670089,954758,0,385230,0.28748766,5
C,675089,964758,0,385236,0.28536126,5
C,680089,974758,0,385242,0.2832662,5
C,685089,984758,0,385248,0.2812017,5
C,690089,994758,0,385254,0.27916715,5
C,695089,1004758,0,385260,0.27716187,5
