task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
C,10007,0,0,19382,1,8
B,20052,19372,0,20098,0.5091969,10
C,28089,20090,0,35464,0.63836986,8
B,38132,35446,0,40192,0.53137314,8
C,46132,40176,0,51472,0.5616271,6
B,54170,51446,0,56276,0.5224188,6
C,60170,56252,0,63480,0.5301841,5
B,66208,63446,0,68360,0.51864105,5
C,71208,68328,0,73488,0.5181926,6
B,76252,73446,0,78456,0.5164909,5
C,82290,78416,0,85572,0.5218187,5
B,87290,85522,0,88464,0.5084547,5
C,92290,88416,0,95580,0.51946783,5
B,97290,95522,0,98472,0.50760335,5
C,97551,98416,0,96106,0.49406236,5
C,102551,108416,0,96112,0.469921,5
C,107551,118416,0,96118,0.44803154,5
C,112551,128416,0,96124,0.428093,5
C,117551,138416,0,96130,0.40985563,5
C,122551,148416,0,96136,0.39311066,5
C,127551,158416,0,96142,0.3776821,5
C,132551,168416,0,96148,0.36342058,5
C,137551,178416,0,96154,0.35019848,5
C,142551,188416,0,96160,0.3379062,5
C,147551,198416,0,96166,0.326449,5
B,152551,95540,100256,108224,0.35597658,8
C,157594,208416,0,106260,0.33768067,5
B,165632,105626,200512,124308,0.28878883,6
C,170670,224492,0,116344,0.34134892,5
B,176708,115702,300768,136392,0.2467017,5
C,181708,236568,0,126352,0.34815386,5
B,186708,125702,401024,146400,0.21749271,5
C,191708,246568,0,136360,0.35609826,5
B,196708,135702,501280,156408,0.19713886,5
C,201708,256568,0,146368,0.3632537,5
B,206708,145702,601536,166416,0.18214335,5
C,211708,266568,0,156376,0.36973217,5
B,216708,155702,701792,176424,0.17063636,5
C,221708,276568,0,166384,0.37562534,5
B,226708,165702,802048,186432,0.16152738,5
C,231708,286568,0,176392,0.38100916,5
B,236708,175702,902304,196440,0.15413757,5
C,241708,296568,0,186400,0.3859469,5
B,246708,185702,1002560,206448,0.14802217,5
C,249770,306568,0,192528,0.38575345,5
C,254770,316568,0,192534,0.37818354,5
C,259770,326568,0,192540,0.3709055,5
C,264770,336568,0,192546,0.3639027,5
C,269770,346568,0,192552,0.35715982,5
C,274770,356568,0,192558,0.35066268,5
C,279770,366568,0,192564,0.3443981,5
C,284770,376568,0,192570,0.33835378,5
C,289770,386568,0,192576,0.33251834,7
C,294813,396654,0,192582,0.3268334,5
B,301856,185720,1102816,210372,0.14035018,5
C,306856,410740,0,202590,0.33031157,5
B,311856,195720,1203072,220380,0.1361066,5
C,316856,420740,0,212598,0.33567858,5
B,321856,205720,1303328,230388,0.13244984,5
C,326856,430740,0,222606,0.34071687,5
B,331856,215720,1403584,240396,0.12926601,5
C,336856,440740,0,232614,0.34545574,5
B,341856,225720,1503840,250404,0.12646897,5
C,346856,450740,0,242622,0.3499211,5
B,351856,235720,1604096,260412,0.12399225,5
C,356856,460740,0,252630,0.354136,5
B,361856,245720,1704352,270420,0.12178382,5
C,366856,470740,0,262638,0.35812092,5
B,371856,255720,1804608,280428,0.11980232,5
C,376856,480740,0,272646,0.36189416,5
B,381856,265720,1904864,290436,0.118014485,5
C,386856,490740,0,282654,0.3654722,5
B,391856,275720,2005120,300444,0.11639324,5
C,394999,500740,0,288944,0.36589825,5
C,399999,510740,0,288950,0.36132753,5
C,404999,520740,0,288956,0.35686973,5
C,409999,530740,0,288962,0.3525208,5
