task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
B,230076,23897,175850,24087,10
C,402156,328927,0,61762,19
C,594193,487901,0,83090,24
C,790272,640877,0,137301,29
C,1072922,862851,0,291079,31
C,1378922,1087827,0,570097,31
C,1688922,1335802,0,849115,31
C,1955962,1542779,0,1034213,30
B,2217003,412776,2110200,351300,16
B,2475923,442810,2286050,394383,17
C,2506921,1969726,0,1218169,32
B,2770923,504680,2461900,448541,23
C,2825922,2234701,0,1497187,31
B,3067923,566672,2637750,505699,25
C,3155922,2495677,0,1776205,31
C,3484921,2731655,0,2024221,31
C,4186922,3270610,0,2551255,40
C,4560922,3564588,0,2799271,42
C,4963921,3856567,0,3047287,45
C,5794922,4526522,0,3574321,50
C,6221922,4884500,0,3822337,53
C,6689921,5231479,0,4070353,53
C,7583922,5971434,0,4597387,53
C,8019922,6341412,0,4845403,53
C,8482921,6684391,0,5093419,53
C,9365922,7413346,0,5620453,52
C,9796922,7777324,0,5868469,52
C,10253921,8115303,0,6116485,52
C,11136922,8843258,0,6643519,52
C,11567922,9207236,0,6891535,52
C,12022921,9544215,0,7139551,51
C,12896922,10262170,0,7666585,53
C,13341922,10640148,0,7914601,57
C,13833921,11006127,0,8162617,60
C,14308921,11385106,0,8410633,62
B,14763923,2922368,9320050,3189703,26
C,15195922,12091068,0,8875663,70
C,15683921,12408051,0,9092677,74
B,16046923,3232328,10199300,3274493,26
C,16631922,13186013,0,9557707,75
C,17133921,13514996,0,9774721,75
B,17366923,3542288,11078550,3405283,26
C,18083922,14296958,0,10239751,75
C,18585921,14626941,0,10456765,74
B,18686923,3852248,11957800,3536073,27
C,19535922,15404903,0,10921795,72
B,20008923,4162208,12837050,3666863,32
C,20039921,15742886,0,11138809,71
