task_id,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
C,0,0,9932,1,10
B,9928,0,10004,0.50190645,10
C,9960,0,9975,0.5003762,10
C,19929,0,9978,0.33363426,10
C,29897,0,9981,0.25028837,10
C,39865,0,9984,0.20028485,10
C,49833,0,9987,0.16695085,10
C,59801,0,9990,0.14314167,10
C,69769,0,9993,0.12528522,10
C,79737,0,9996,0.11139715,10
C,89705,0,9999,0.10028685,10
B,9936,87925,12083,0.109901406,11
C,99673,0,20038,0.16738646,10
B,19937,175850,23121,0.10561971,12
C,110673,0,20082,0.15358494,10
C,122673,0,20086,0.14069866,10
C,132640,0,20090,0.13153931,10
C,142607,0,20094,0.12350262,10
C,152574,0,20098,0.11639409,10
C,162541,0,20102,0.110061705,10
C,172508,0,20106,0.10438494,10
C,182475,0,20110,0.099266976,10
C,192442,0,20114,0.09462918,10
B,19944,263775,27232,0.0875765,13
C,202409,0,30153,0.12965575,10
B,29944,351700,40270,0.09544599,14
C,215409,0,40192,0.15724508,10
B,39944,439625,54308,0.101723805,15
C,229409,0,40237,0.14922157,10
C,244409,0,40240,0.1413671,10
C,254377,0,40243,0.1365929,10
C,264345,0,40246,0.13213128,10
C,274313,0,40249,0.12795252,10
C,284281,0,40252,0.12403053,10
C,294249,0,40255,0.12034236,10
C,304217,0,40258,0.1168677,10
C,314185,0,40261,0.11358853,10
B,39952,527550,61419,0.09765773,16
C,324153,0,50300,0.13432927,10
B,49953,615475,77457,0.10426513,17
C,340153,0,50344,0.12892288,10
C,357153,0,50347,0.12355092,10
C,367120,0,50350,0.120607466,10
C,377087,0,50353,0.11780133,10
C,387054,0,50356,0.11512311,10
C,397021,0,50359,0.112564266,10
C,406988,0,50362,0.11011698,10
C,416955,0,50365,0.107774116,10
C,426922,0,50368,0.10552914,10
B,49961,703400,86568,0.103065856,18
C,436889,0,60407,0.12147091,10
B,59961,791325,104606,0.10943286,19
C,454889,0,60451,0.11730314,10
C,473889,0,60455,0.11313873,10
C,483856,0,60459,0.11107355,10
C,493823,0,60463,0.10908268,10
C,503790,0,60467,0.10716216,10
C,513757,0,60471,0.10530835,10
C,523724,0,60475,0.10351781,10
C,533691,0,60479,0.101787366,10
B,59968,879250,105717,0.10117088,20
C,543658,0,70518,0.114817254,10
B,69967,967175,125756,0.10814018,21
C,563658,0,70561,0.111256525,10
C,584659,0,70564,0.10769463,10
C,594627,0,70567,0.10608484,9
C,604628,0,70570,0.10451749,9
C,613599,0,70573,0.103150964,9
C,622567,0,70576,0.10182026,9
C,631535,0,70579,0.10052356,9
C,640503,0,70582,0.099259585,9
C,649462,0,70585,0.098028325,9
B,69975,1055100,132910,0.105653085,22
C,658430,0,79623,0.1078825,9
B,78975,1143025,154948,0.11253003,23
C,680431,0,79666,0.104810305,9
C,703432,0,79669,0.10173528,9
C,712400,0,79672,0.10058682,9
C,721368,0,79675,0.099464074,9
C,730336,0,79678,0.0983662,9
C,739304,0,79681,0.09729238,9
C,748272,0,79684,0.09624183,9
C,757240,0,79687,0.0952138,9
C,766208,0,79690,0.09420758,9
B,78983,1230949,162059,0.110095106,23
C,775176,0,88728,0.10270586,9
B,87984,1318873,185097,0.11627032,23
C,798177,0,88771,0.100085914,9
C,821177,0,88774,0.0975591,9
C,830145,0,88777,0.09660994,9
C,839113,0,88780,0.095679134,9
C,848081,0,88783,0.094766155,9
C,857049,0,88786,0.0938705,9
C,866017,0,88789,0.092991665,9
C,874985,0,88792,0.09212919,9
C,883953,0,88795,0.091282636,9
B,87992,1406798,192208,0.113934934,23
C,892921,0,97833,0.09874601,9
B,96993,1494723,215246,0.11912038,23
C,915921,0,106871,0.104489475,9
B,105994,1582648,238284,0.12366017,23
C,938921,0,106914,0.102228366,9
C,961921,0,106917,0.10003106,9
C,970888,0,106920,0.099201344,9
C,979855,0,106923,0.09838532,9
C,988822,0,106926,0.09758265,9
C,997789,0,106929,0.096793026,9
C,1006756,0,106932,0.09601612,9
C,1015723,0,106935,0.09525163,9
C,1024690,0,106938,0.09449925,9
B,106002,1670573,245395,0.12136431,23
C,1033657,0,115976,0.10088089,9
B,115002,1758498,268433,0.12532277,23
C,1056657,0,116020,0.09893602,9
C,1079658,0,116023,0.09703508,9
C,1088617,0,116026,0.096315674,9
C,1097585,0,116029,0.09560618,9
C,1106553,0,116032,0.094907105,9
C,1115521,0,116035,0.09421821,9
C,1124489,0,116038,0.093539275,9
C,1133457,0,116041,0.092870094,9
C,1142425,0,116044,0.09221046,9
B,115010,1846423,275544,0.12317695,23
C,1151393,0,125082,0.09799017,9
B,124011,1934348,298582,0.126682,23
C,1174393,0,134120,0.102498025,9
B,133012,2022273,321620,0.12984753,23
C,1197393,0,134163,0.100756556,9
C,1220393,0,134166,0.099047735,9
C,1229361,0,134169,0.098398276,9
C,1238329,0,134172,0.0977573,9
C,1247297,0,134175,0.09712466,9
C,1256265,0,134178,0.09650018,9
C,1265233,0,134181,0.095883705,9
C,1274201,0,134184,0.09527508,9
C,1283169,0,134187,0.09467417,9
B,133020,2110198,328731,0.12781397,23
C,1292137,0,143225,0.09978319,9
B,142021,2198123,351769,0.13067621,23
C,1315137,0,152272,0.103769295,9
B,151021,2286048,374807,0.13329428,23
C,1338137,0,152315,0.10219383,9
C,1361137,0,152319,0.100643165,9
C,1370104,0,152323,0.100052744,9
C,1379071,0,152327,0.099469244,9
C,1388038,0,152331,0.09889254,9
C,1397005,0,152335,0.09832251,9
C,1405972,0,152339,0.097759046,9
C,1414939,0,152343,0.09720203,9
C,1423906,0,152347,0.09665136,9
B,151028,2373973,381918,0.1313824,23
C,1432873,0,161385,0.10122891,9
B,160028,2461898,404956,0.13378651,23
C,1455873,0,170423,0.10479212,9
B,169028,2549823,427994,0.13600734,23
C,1478873,0,170467,0.10335468,9
C,1501873,0,170470,0.10193483,9
C,1510841,0,170473,0.10139272,9
C,1519809,0,170476,0.100856364,9
C,1528777,0,170479,0.100325674,9
C,1537745,0,170482,0.09980056,9
C,1546713,0,170485,0.09928092,9
C,1555681,0,170488,0.09876669,9
C,1564649,0,170491,0.09825778,9
B,169036,2637748,435105,0.13421342,23
C,1573617,0,179529,0.10240391,9
B,178037,2725673,458143,0.13627693,23
C,1596617,0,188567,0.105628885,9
B,187038,2813598,481181,0.13819824,23
C,1619617,0,188610,0.10430659,9
C,1642617,0,188613,0.10299799,9
C,1651584,0,188616,0.102497555,9
C,1660551,0,188619,0.10200198,9
C,1669518,0,188622,0.10151119,9
C,1678485,0,188625,0.10102511,8
C,1687485,0,188628,0.10054192,8
C,1695446,0,188631,0.10011852,8
C,1703413,0,188634,0.09969837,8
B,187046,2901523,485335,0.13579968,23
C,1711380,0,196672,0.10307476,8
B,195046,2989448,508373,0.1376635,23
C,1734380,0,196715,0.10186707,8
C,1757381,0,196718,0.100669414,8
C,1765349,0,196721,0.10026197,8
C,1773317,0,196724,0.09985782,8
C,1781285,0,196727,0.09945693,8
C,1789253,0,196730,0.099059254,8
C,1797221,0,196733,0.09866476,8
C,1805189,0,196736,0.09827341,8
C,1813157,0,196739,0.09788516,8
C,1821125,0,196742,0.09749998,8
B,195054,3077372,515484,0.13608666,23
C,1829093,0,204780,0.100684755,8
B,203055,3165296,538522,0.13783965,23
C,1852094,0,204823,0.099577665,8
C,1875094,0,204826,0.098477826,8
C,1883062,0,204829,0.0981033,8
C,1891030,0,204832,0.09773163,8
C,1898998,0,204835,0.097362764,8
C,1906966,0,204838,0.09699669,8
C,1914934,0,204841,0.09663337,8
C,1922902,0,204844,0.09627277,8
C,1930870,0,204847,0.09591486,8
C,1938838,0,204850,0.09555961,8
B,203063,3253221,545633,0.13634291,23
C,1946806,0,212888,0.09857322,8
B,211064,3341146,568671,0.13799743,23
C,1969806,0,212931,0.09755229,8
C,1992806,0,212934,0.09653631,8
C,2000773,0,212937,0.09619011,8
C,2008740,0,212940,0.095846385,8
C,2016707,0,212943,0.095505126,8
C,2024674,0,212946,0.095166296,8
C,2032641,0,212949,0.094829865,8
C,2040608,0,212952,0.09449582,8
C,2048575,0,212955,0.094164126,8
C,2056542,0,212958,0.093834765,8
B,211072,3429071,575782,0.1365731,23
C,2064509,0,220996,0.0966946,8
B,219072,3516996,598820,0.13813967,23
C,2087509,0,221043,0.09574963,8
C,2110510,0,221046,0.09480622,8
C,2118478,0,221049,0.094484486,8
C,2126446,0,221052,0.09416494,8
C,2134414,0,221055,0.09384755,8
C,2142382,0,221058,0.09353231,8
C,2150350,0,221061,0.09321918,8
C,2158318,0,221064,0.09290816,8
C,2166286,0,221067,0.092599206,8
C,2174254,0,221070,0.092292316,8
B,219083,3604921,605931,0.136781,23
C,2182222,0,229108,0.09501313,8
B,227084,3692846,628969,0.1382684,23
C,2205222,0,229151,0.094131425,8
C,2228222,0,229154,0.093251504,8
C,2236189,0,229157,0.09295125,8
C,2244156,0,229160,0.09265294,9
C,2252156,0,229163,0.09235532,9
C,2261123,0,229166,0.09202386,9
C,2270090,0,229169,0.09169478,9
C,2279057,0,229172,0.09136805,9
C,2288024,0,229175,0.09104366,9
B,227092,3780771,633123,0.13641994,23
C,2296991,0,238213,0.093962066,9
B,236092,3868696,656161,0.13782147,23
C,2319991,0,238257,0.093132876,9
C,2342991,0,238260,0.09230408,9
C,2351959,0,238263,0.09198555,9
C,2360927,0,238266,0.091669224,9
C,2369895,0,238269,0.09135507,9
C,2378863,0,238272,0.09104307,9
C,2387831,0,238275,0.0907332,9
C,2396799,0,238278,0.09042544,9
C,2405767,0,238281,0.09011977,9
B,236100,3956621,663272,0.13658834,23
C,2414735,0,247319,0.09290533,9
B,245101,4044546,686310,0.13792522,23
C,2437735,0,256357,0.095155254,9
B,254101,4132471,709348,0.1391992,23
C,2460735,0,256400,0.0943641,9
C,2483735,0,256404,0.093573354,9
C,2492702,0,256408,0.09326946,9
C,2501669,0,256412,0.09296754,9
C,2510636,0,256416,0.09266757,9
C,2519603,0,256420,0.09236955,9
C,2528570,0,256424,0.09207345,9
C,2537537,0,256428,0.09177925,9
C,2546504,0,256432,0.09148692,9
B,254108,4220396,716459,0.13802044,23
C,2555471,0,265470,0.0941069,9
B,263108,4308321,739497,0.1392407,23
C,2578471,0,265514,0.09335984,9
C,2601471,0,265517,0.09261183,9
C,2610439,0,265520,0.09232399,9
C,2619407,0,265523,0.09203794,9
C,2628375,0,265526,0.091753654,9
C,2637343,0,265529,0.091471136,9
C,2646311,0,265532,0.09119035,9
C,2655279,0,265535,0.0909113,10
C,2664279,0,265538,0.09063297,10
B,263116,4396246,747651,0.13827431,23
C,2674247,0,275576,0.0934212,10
B,273116,4484171,770689,0.13941613,23
C,2697247,0,275619,0.092711546,10
C,2720248,0,275622,0.092000656,10
C,2730216,0,275625,0.09169646,10
C,2740184,0,275628,0.09139429,10
C,2750152,0,275631,0.09109411,10
C,2760120,0,275634,0.0907959,10
C,2770088,0,275637,0.09049963,10
C,2780056,0,275640,0.09020531,10
B,273124,4572095,775800,0.13801768,23
C,2790024,0,285678,0.09288221,10
B,283125,4660019,798838,0.13912235,23
C,2813025,0,285724,0.09220624,10
C,2836025,0,285727,0.09152777,10
C,2845993,0,285730,0.091237314,10
C,2855961,0,285733,0.09094871,10
C,2865929,0,285736,0.09066192,10
C,2875897,0,285739,0.09037694,10
C,2885865,0,285742,0.09009376,10
C,2895833,0,285745,0.08981235,10
B,283136,4747944,803949,0.13777977,23
C,2905801,0,295783,0.092386454,10
B,293136,4835869,826987,0.13884959,23
C,2928801,0,295826,0.0917396,10
C,2951801,0,295830,0.091091014,10
C,2961768,0,295834,0.09081343,10
C,2971735,0,295838,0.09053753,10
C,2981702,0,295842,0.09026332,10
C,2991669,0,295846,0.089990765,10
C,3001636,0,295850,0.08971986,10
C,3011603,0,295854,0.0894506,10
B,293143,4923794,832098,0.1375588,23
C,3021570,0,305892,0.091929525,10
B,303143,5011719,855136,0.13859583,23
C,3044570,0,305936,0.09131039,10
C,3067570,0,305939,0.09068865,10
C,3077538,0,305942,0.09042229,10
C,3087506,0,305945,0.09015748,10
C,3097474,0,305948,0.08989423,10
C,3107442,0,305951,0.08963252,10
C,3117410,0,305954,0.08937232,10
C,3127378,0,305957,0.089113645,10
B,303151,5099644,860247,0.1373529,22
C,3137346,0,316005,0.09150677,10
B,313151,5187569,882285,0.13822408,22
C,3159346,0,316046,0.09093823,10
C,3181346,0,316049,0.090366974,10
C,3191314,0,316052,0.09011093,10
C,3201282,0,316055,0.089856334,10
C,3211250,0,316058,0.08960318,10
C,3221218,0,316061,0.089351445,10
C,3231186,0,316064,0.089101136,10
C,3241154,0,316067,0.08885223,10
B,313159,5275494,886396,0.13689409,22
C,3251113,0,326105,0.09116162,10
B,323160,5363419,908434,0.1377456,22
C,3273113,0,326148,0.090615265,10
C,3295113,0,326151,0.09006552,10
C,3305080,0,326154,0.08981905,10
C,3315047,0,326157,0.08957394,10
C,3325014,0,326160,0.089330174,10
C,3334981,0,326163,0.089087725,10
C,3344948,0,326166,0.0888466,10
C,3354915,0,326169,0.08860678,10
B,323168,5451344,912545,0.13646437,22
C,3364882,0,336207,0.09084002,10
B,333168,5539269,934583,0.13729694,22
C,3386882,0,336250,0.09031375,10
C,3408883,0,336253,0.08978392,10
C,3418851,0,336256,0.089546315,10
C,3428819,0,336259,0.08930997,10
C,3438787,0,336262,0.08907487,10
C,3448755,0,336265,0.08884101,10
C,3458723,0,336268,0.08860838,10
C,3468691,0,336271,0.08837697,10
B,333176,5627194,938693,0.13606094,22
C,3478659,0,346309,0.09053906,10
B,343177,5715119,960740,0.13687634,22
C,3500659,0,346352,0.09003145,10
C,3522659,0,346355,0.08952022,10
C,3532627,0,346358,0.08929089,10
C,3542595,0,346361,0.08906272,10
C,3552563,0,346364,0.08883572,10
C,3562531,0,346367,0.08860988,10
C,3572499,0,346370,0.088385195,10
C,3582457,0,346373,0.08816187,10
B,343185,5803044,964851,0.13568276,22
C,3592425,0,356411,0.09025723,10
B,353186,5890969,986889,0.13647947,22
C,3614425,0,356457,0.08976772,10
C,3636425,0,356460,0.089273795,10
C,3646393,0,356463,0.08905216,10
C,3656361,0,356466,0.08883164,9
C,3666361,0,356469,0.0886115,10
C,3675361,0,356472,0.08841438,10
C,3685329,0,356475,0.088197,10
C,3695297,0,356478,0.0879807,10
B,353197,5978894,990083,0.13521709,22
C,3705265,0,366516,0.09001368,10
B,363198,6066819,1012121,0.13599868,22
C,3727265,0,366559,0.08953951,10
C,3749265,0,366563,0.08906179,10
C,3759232,0,366567,0.08884752,10
C,3769199,0,366571,0.08863428,10
C,3779166,0,366575,0.08842207,10
C,3789133,0,366579,0.08821087,9
C,3799133,0,366583,0.088,9
C,3808103,0,366587,0.08781179,9
B,363205,6154744,1014275,0.1346581,22
C,3817070,0,375625,0.08959035,9
B,372205,6242669,1036313,0.13544473,22
C,3839070,0,375669,0.08913221,9
C,3861070,0,375672,0.08867002,9
C,3870038,0,375675,0.08848337,9
C,3879006,0,375678,0.08829751,9
C,3887974,0,375681,0.08811243,9
C,3896942,0,375684,0.087928124,9
C,3905910,0,375687,0.08774459,9
C,3914878,0,375690,0.08756183,9
C,3923846,0,375693,0.087379836,9
B,372213,6330594,1042424,0.13458914,22
C,3932814,0,384731,0.08910874,9
B,381214,6418519,1064462,0.13535549,22
C,3954814,0,393769,0.09055111,9
B,390215,6506444,1086500,0.13609901,22
C,3976814,0,393812,0.09010425,9
C,3998814,0,393815,0.0896536,9
C,4007781,0,393818,0.08947158,9
C,4016748,0,393821,0.08929029,9
C,4025715,0,393824,0.08910975,9
C,4034682,0,393827,0.08892993,9
C,4043649,0,393830,0.08875084,9
C,4052616,0,393833,0.08857248,9
C,4061583,0,393836,0.08839483,9
B,390223,6594369,1092611,0.13527095,22
C,4070550,0,402874,0.09005943,9
B,399223,6682294,1114649,0.13599639,21
C,4092550,0,402927,0.08962942,9
C,4113550,0,402931,0.08921348,10
C,4122550,0,402935,0.08903687,10
C,4132517,0,402939,0.088842005,10
C,4142484,0,402943,0.088648,10
C,4152451,0,402947,0.08845484,10
C,4162418,0,402951,0.08826253,10
C,4172385,0,402955,0.08807105,10
B,399230,6770219,1116803,0.13477783,21
C,4182352,0,412991,0.08987164,10
B,409230,6858144,1137842,0.13537332,21
C,4203352,0,413035,0.08947148,10
C,4224352,0,413038,0.08906691,10
C,4234320,0,413041,0.08887646,10
C,4244288,0,413044,0.088686824,10
C,4254256,0,413047,0.088498004,10
C,4264224,0,413050,0.08830999,10
C,4274192,0,413053,0.08812277,10
C,4284160,0,413056,0.08793634,10
B,409238,6946069,1140953,0.13428885,21
C,4294128,0,423103,0.089693084,10
B,419239,7033994,1161991,0.13487647,21
C,4315128,0,423146,0.08930383,10
