task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
C,10007,0,0,19380,1,10
B,20007,19372,0,20008,0.5080752,10
C,30007,20000,0,39388,0.6632316,10
B,40007,39372,0,40016,0.50405604,10
C,50007,40000,0,59396,0.59756935,10
B,60007,59372,0,60024,0.5027304,10
C,70007,60000,0,79404,0.5695963,10
B,80007,79372,0,80032,0.5020702,10
C,88222,80000,0,95838,0.5450358,10
C,98222,100000,0,95844,0.4893895,10
C,108222,120000,0,95850,0.4440584,10
C,118222,140000,0,95856,0.4064175,10
C,128222,160000,0,95862,0.3746629,10
C,138222,180000,0,95868,0.34751403,10
B,148222,79390,100256,99784,0.35709837,10
C,158222,200000,0,115876,0.36684015,10
B,168222,99390,200512,119792,0.285427,10
C,178222,220000,0,135884,0.38182104,10
B,188222,119390,300768,139800,0.24966158,10
C,198222,240000,0,155892,0.39377406,10
B,208222,139390,401024,159808,0.22822477,10
C,218222,260000,0,175900,0.40353292,10
B,228222,159390,501280,179816,0.21394289,10
C,236164,280000,0,191786,0.4065106,10
C,246163,299998,0,191794,0.3899901,10
C,256163,319998,0,191802,0.37475967,10
C,266163,339998,0,191810,0.36067528,10
C,276163,359998,0,191818,0.34761226,10
C,286164,380000,0,191824,0.33545986,10
B,296163,159410,601536,199568,0.20777209,10
C,306163,399998,0,211834,0.34622902,10
B,316163,179410,701792,219578,0.19947492,10
C,326163,419998,0,231844,0.35567516,10
B,336163,199410,802048,239588,0.19305328,10
C,346163,439998,0,251854,0.36402872,10
B,356163,219410,902304,259598,0.18793581,10
C,366163,459998,0,271864,0.37146893,10
B,376163,239410,1002560,279608,0.18376186,10
C,384113,479998,0,287768,0.37481213,10
C,394113,499998,0,287774,0.36530113,10
C,404113,519998,0,287780,0.35626125,10
C,414113,539998,0,287786,0.34765834,10
C,424113,559998,0,287792,0.33946142,10
C,434113,579998,0,287798,0.33164245,10
B,444113,239428,1102816,299360,0.18235824,10
C,454113,599998,0,307806,0.3390666,10
B,464113,259428,1203072,319368,0.17923214,10
C,474113,619998,0,327814,0.34586394,10
B,484113,279428,1303328,339376,0.17656228,10
C,494113,639998,0,347822,0.3521107,10
B,504113,299428,1403584,359384,0.17425558,10
C,514113,659998,0,367830,0.35787117,10
B,524113,319428,1503840,379392,0.17224266,10
C,532049,679998,0,383706,0.3607263,10
C,542049,699998,0,383712,0.35407257,10
C,552049,719998,0,383718,0.3476601,10
C,562049,739998,0,383724,0.3414759,10
C,572049,759998,0,383730,0.33550808,10
C,582049,779998,0,383736,0.32974547,10
B,592049,319446,1604096,399144,0.17184587,10
C,602049,799998,0,403744,0.33540744,10
B,612049,339446,1704352,419152,0.17018291,10
C,622049,819998,0,423752,0.34070513,10
B,632049,359446,1804608,439160,0.16869916,10
C,642049,839998,0,443760,0.34567264,10
B,652049,379446,1904864,459168,0.16736712,10
C,662049,859998,0,463768,0.35033986,10
B,672049,399446,2005120,479176,0.16616465,10
C,679992,879998,0,479658,0.35277894,10
C,689992,899998,0,479664,0.34766775,10
C,699992,919998,0,479670,0.3427027,10
C,709992,939998,0,479676,0.33787757,10
C,719992,959998,0,479682,0.33318654,10
C,729992,979998,0,479688,0.3286241,10
B,739992,399464,2105376,498928,0.16610071,10
C,749992,999998,0,499696,0.33319864,10
B,759992,419464,2205632,518936,0.1650543,10
C,769992,1019998,0,519704,0.33753544,10
B,779992,439464,2305888,538944,0.16409726,10
C,789992,1039998,0,539712,0.34165257,10
B,799992,459464,2406144,558952,0.16321863,10
C,809992,1059998,0,559720,0.34556633,10
B,819992,479464,2506400,578960,0.16240914,10
C,827928,1079998,0,575596,0.34766737,10
C,837928,1099998,0,575604,0.34352073,10
C,847928,1119998,0,575612,0.33947194,10
C,857928,1139998,0,575620,0.3355176,10
C,867928,1159998,0,575628,0.3316544,10
C,877928,1179998,0,575636,0.32787928,10
B,887928,479482,2606656,598712,0.16247934,10
C,897928,1199998,0,595646,0.3317172,10
B,907928,499482,2706912,618722,0.16175248,10
C,917928,1219998,0,615656,0.33538783,10
B,927928,519482,2807168,638732,0.16107704,10
C,937928,1239998,0,635666,0.33890185,10
B,947928,539482,2907424,658742,0.16044775,10
C,957928,1259998,0,655676,0.3422691,10
B,967928,559482,3007680,678752,0.15986004,10
C,975869,1279998,0,671562,0.34411547,10
C,985869,1299998,0,671568,0.3406267,10
C,995869,1319998,0,671574,0.337208,10
C,1005869,1339998,0,671580,0.3338573,10
C,1015869,1359998,0,671586,0.3305726,10
C,1025869,1379998,0,671592,0.32735196,10
B,1035869,559500,3107936,698504,0.15998937,10
C,1045869,1399998,0,691600,0.33065626,10
B,1055869,579500,3208192,718512,0.1594495,10
C,1065869,1419998,0,711608,0.33383656,10
B,1075869,599500,3308448,738520,0.15894224,10
C,1085869,1439998,0,731616,0.33689964,10
B,1095869,619500,3408704,758528,0.15846469,10
C,1105869,1459998,0,751624,0.33985192,10
B,1115869,639500,3508960,778536,0.15801434,10
C,1123817,1479998,0,767524,0.34149787,10
C,1133817,1499998,0,767530,0.33848757,10
C,1143817,1519998,0,767536,0.33552986,10
C,1153817,1539998,0,767542,0.33262348,10
C,1163817,1559998,0,767548,0.32976705,10
C,1173817,1579998,0,767554,0.3269593,10
B,1183817,639518,3609216,798288,0.1581701,10
C,1193817,1599998,0,787562,0.3298606,10
B,1203817,659518,3709472,818296,0.15775031,10
C,1213817,1619998,0,807570,0.33266628,10
B,1223817,679518,3809728,838304,0.15735263,10
C,1233817,1639998,0,827578,0.33538097,10
B,1243817,699518,3909984,858312,0.15697534,10
C,1253817,1659998,0,847586,0.33800903,10
B,1263817,719518,4010240,878320,0.15661694,10
C,1271760,1679998,0,863476,0.33948687,10
C,1281760,1699998,0,863482,0.33683977,10
C,1291760,1719998,0,863488,0.33423367,10
C,1301760,1739998,0,863494,0.33166763,10
C,1311760,1759998,0,863500,0.32914072,10
C,1321760,1779998,0,863506,0.32665205,10
B,1331760,719536,4110494,898074,0.15678382,10
C,1341760,1799998,0,883514,0.32923797,10
B,1351760,739536,4210748,918082,0.15644594,10
C,1361760,1819998,0,903522,0.3317479,10
B,1371760,759536,4311002,938090,0.15612383,10
C,1381760,1839998,0,923530,0.33418515,10
B,1391760,779536,4411256,958098,0.15581642,10
C,1401760,1859998,0,943538,0.33655283,10
B,1411760,799536,4511510,978106,0.15552272,10
C,1419696,1879998,0,959414,0.3378918,10
C,1429696,1899998,0,959420,0.3355298,10
C,1439696,1919998,0,959426,0.33320066,10
C,1449696,1939998,0,959432,0.33090365,10
C,1459696,1959998,0,959438,0.32863814,10
C,1469696,1979998,0,959444,0.32640344,10
B,1479696,799554,4611766,997858,0.15569204,10
C,1489696,1999998,0,979452,0.32873583,10
B,1499696,819554,4712022,1017866,0.15541263,10
C,1509696,2019998,0,999460,0.33100644,10
B,1519696,839554,4812278,1037874,0.15514493,10
C,1529696,2039998,0,1019468,0.33321762,10
B,1539696,859554,4912534,1057882,0.15488824,10
C,1549696,2059998,0,1039476,0.33537173,10
B,1559696,879554,5012790,1077890,0.15464187,10
C,1567638,2079998,0,1055364,0.33660036,10
C,1577638,2099998,0,1055370,0.33446813,10
C,1587638,2119998,0,1055376,0.33236274,10
C,1597638,2139998,0,1055382,0.33028373,10
C,1607638,2159998,0,1055388,0.3282306,10
C,1617638,2179998,0,1055394,0.3262028,10
B,1627638,879572,5113046,1097642,0.15480983,10
C,1637638,2199998,0,1075402,0.3283269,10
B,1647638,899572,5213302,1117650,0.15457386,10
