task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
C,10007,0,0,19382,1,10
B,20007,19372,0,20008,0.5080752,10
C,30007,20000,0,39390,0.663243,10
B,40007,39372,0,40016,0.50405604,10
C,50007,40000,0,59398,0.5975774,10
B,60007,59372,0,60024,0.5027304,10
C,70007,60000,0,79406,0.56960243,10
B,80007,79372,0,80032,0.5020702,10
C,88222,80000,0,95840,0.54504097,10
C,98222,100000,0,95846,0.48939472,10
C,108222,120000,0,95852,0.4440635,10
C,118222,140000,0,95858,0.4064225,10
C,128222,160000,0,95864,0.3746678,10
C,138222,180000,0,95870,0.34751877,10
B,148222,79390,100256,99784,0.35709837,10
C,158222,200000,0,115878,0.36684415,10
B,168222,99390,200512,119792,0.285427,10
C,178222,220000,0,135886,0.38182452,10
B,188222,119390,300768,139800,0.24966158,10
C,198222,240000,0,155894,0.39377713,10
B,208222,139390,401024,159808,0.22822477,10
C,218222,260000,0,175902,0.40353566,10
B,228222,159390,501280,179816,0.21394289,10
C,236157,280000,0,191776,0.406498,10
C,246157,300000,0,191784,0.38997608,10
C,256157,320000,0,191792,0.374746,10
C,266157,340000,0,191800,0.3606619,10
C,276157,360000,0,191808,0.34759918,10
C,286157,380000,0,191816,0.33545056,10
B,296157,159408,601538,199568,0.20777209,10
C,306157,400000,0,211826,0.34621936,10
B,316157,179408,701796,219578,0.19947456,10
C,326157,420000,0,231836,0.35566616,10
B,336157,199408,802054,239588,0.19305266,10
C,346157,440000,0,251846,0.36402032,10
B,356157,219408,902312,259598,0.187935,10
C,366157,460000,0,271856,0.37146106,10
B,376157,239408,1002570,279608,0.1837609,10
C,384093,480000,0,287732,0.37478182,10
C,394093,500000,0,287740,0.36527282,10
C,404093,520000,0,287748,0.35623488,10
C,414093,540000,0,287756,0.34763384,10
C,424093,560000,0,287764,0.3394388,10
C,434093,580000,0,287772,0.33162168,10
B,444093,239424,1102828,299358,0.18235634,10
C,454093,600000,0,307782,0.33904836,10
B,464093,259424,1203086,319368,0.17923112,10
C,474093,620000,0,327792,0.34584802,10
B,484093,279424,1303344,339378,0.17656203,10
C,494093,640000,0,347802,0.3520969,10
B,504093,299424,1403602,359388,0.174256,10
C,514093,660000,0,367812,0.35785922,10
B,524093,319424,1503860,379398,0.17224365,10
C,532036,680000,0,383702,0.3607232,10
C,542036,700000,0,383708,0.35406956,10
C,552036,720000,0,383714,0.34765708,10
C,562036,740000,0,383720,0.34147295,10
C,572036,760000,0,383726,0.3355052,10
C,582036,780000,0,383732,0.32974258,10
B,592036,319442,1604116,399150,0.17184682,10
C,602036,800000,0,403740,0.33540466,10
B,612036,339442,1704372,419158,0.17018382,10
C,622036,820000,0,423748,0.34070244,10
B,632036,359442,1804628,439166,0.16870004,10
C,642036,840000,0,443756,0.34567004,10
B,652036,379442,1904884,459174,0.16736796,10
C,662036,860000,0,463764,0.3503374,10
B,672036,399442,2005140,479182,0.16616547,10
C,679972,880000,0,479640,0.35276985,10
C,689972,900000,0,479646,0.34765875,10
C,699972,920000,0,479652,0.34269375,10
C,709972,940000,0,479658,0.3378687,10
C,719972,960000,0,479664,0.33317775,10
C,729972,980000,0,479670,0.32861537,10
B,739972,399460,2105396,498934,0.16610149,10
C,749972,1000000,0,499678,0.3331902,10
B,759972,419460,2205652,518942,0.16505505,10
C,769972,1020000,0,519686,0.33752728,10
B,779972,439460,2305908,538950,0.164098,10
C,789972,1040000,0,539694,0.34164464,10
B,799972,459460,2406164,558958,0.16321933,10
C,809972,1060000,0,559702,0.3455586,10
B,819972,479460,2506420,578966,0.16240983,10
C,827908,1080000,0,575578,0.34765986,10
C,837908,1100000,0,575584,0.34351248,10
C,847908,1120000,0,575590,0.33946297,10
C,857908,1140000,0,575596,0.3355079,10
C,867908,1160000,0,575602,0.331644,10
C,877908,1180000,0,575608,0.3278682,10
B,887908,479478,2606676,598718,0.16248,10
C,897908,1200000,0,595616,0.33170566,10
B,907908,499478,2706932,618726,0.16175269,10
C,917908,1220000,0,615624,0.33537588,10
B,927908,519478,2807188,638734,0.16107681,10
C,937908,1240000,0,635632,0.3388895,10
B,947908,539478,2907444,658742,0.16044714,10
C,957908,1260000,0,655640,0.34225637,10
B,967908,559478,3007700,678750,0.15985905,10
C,975841,1280000,0,671510,0.34409764,10
C,985841,1300000,0,671516,0.34060895,10
C,995841,1320000,0,671522,0.33719036,10
C,1005841,1340000,0,671528,0.33383974,10
C,1015841,1360000,0,671534,0.33055514,10
C,1025841,1380000,0,671540,0.32733458,10
B,1035841,559496,3107956,698502,0.1599884,10
C,1045841,1400000,0,691548,0.3306393,10
