task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
C,10007,0,0,19382,1,8
B,20052,19372,0,20098,0.5091969,12
C,28096,20090,0,35478,0.638461,10
B,40133,35460,0,44180,0.5547463,12
C,50170,44164,0,55560,0.5571377,10
B,62207,55534,0,68262,0.55140716,10
C,72207,68238,0,75568,0.5254857,10
B,82207,75534,0,88270,0.53887576,8
C,92245,88238,0,95652,0.52015877,10
B,100282,95610,0,104352,0.52185917,6
C,100427,104312,0,95946,0.47911194,10
C,106462,116382,0,95954,0.451897,10
C,116462,136382,0,95962,0.41301692,10
C,126462,156382,0,95970,0.38030213,10
C,136462,176382,0,95978,0.3523939,10
C,146462,196382,0,95986,0.32830542,10
B,156462,95628,100256,116174,0.37228337,10
C,166462,216382,0,115996,0.3489882,10
B,176462,115628,200512,136184,0.30107623,10
C,186462,236382,0,136006,0.3652266,10
B,196462,135628,300768,156194,0.26357853,10
C,206462,256382,0,156016,0.37831417,10
B,216462,155628,401024,176204,0.24043468,10
C,226462,276382,0,176026,0.38908684,10
B,236462,175628,501280,196214,0.2247269,10
C,244399,296382,0,191904,0.39301556,10
C,254399,316382,0,191910,0.37755856,5
C,264442,336468,0,191916,0.36321312,5
C,269442,346468,0,191922,0.35647392,5
C,274442,356468,0,191928,0.34998068,5
C,279442,366468,0,191934,0.3437201,5
C,284442,376468,0,191940,0.33767998,5
C,289442,386468,0,191946,0.3318488,5
C,294442,396468,0,191952,0.32621598,5
B,299442,175646,601536,206052,0.20956558,10
C,304479,406468,0,202034,0.33201864,5
B,314517,185720,701792,226136,0.20305878,10
C,319555,426544,0,212118,0.33212873,7
B,329599,195796,802048,246232,0.1979236,8
C,336643,446632,0,226214,0.3362047,7
B,344681,209884,902304,262316,0.19084412,10
C,351719,462708,0,240298,0.341815,7
B,361757,223960,1002560,282400,0.18715373,10
C,368795,482784,0,254382,0.34508103,7
B,378833,238036,1102816,302484,0.18406704,10
C,385871,502860,0,268466,0.34805775,7
B,395909,252112,1203072,322568,0.18144713,8
C,402953,522936,0,282562,0.3507917,7
B,410991,266200,1303328,338652,0.17747383,8
C,413783,539012,0,288150,0.34835982,7
C,421819,555084,0,288156,0.34172478,7
C,428819,569084,0,288162,0.33614856,7
C,435819,583084,0,288168,0.3307516,7
C,442819,597084,0,288174,0.32552543,7
C,449819,611084,0,288180,0.32046208,7
C,456819,625084,0,288186,0.315554,6
C,463862,639170,0,288192,0.3107654,6
B,469862,266218,1403584,350562,0.17351428,8
C,475900,651170,0,300276,0.31559962,6
B,483937,278294,1503840,366644,0.17062907,8
C,489975,667244,0,312360,0.31886354,6
B,498012,290370,1604096,382726,0.16806927,8
C,504050,683318,0,324444,0.32194507,6
B,512087,302446,1704352,398808,0.16578276,8
C,518125,699392,0,336528,0.32485905,6
B,526162,314522,1804608,414890,0.16372798,8
C,532200,715466,0,348612,0.32761884,6
B,540237,326598,1904864,430972,0.16187143,8
C,546275,731540,0,360696,0.33023632,6
B,554312,338674,2005120,447054,0.16018572,8
C,560350,747614,0,372780,0.33272225,6
B,568387,350750,2105376,463136,0.15864831,8
C,574183,763688,0,384376,0.33480364,5
C,582224,779770,0,384382,0.33018196,7
C,587267,789856,0,384388,0.32734933,7
C,594267,803856,0,384394,0.3234959,7
C,601267,817856,0,384400,0.31973225,5
C,608310,831942,0,384406,0.31603292,5
C,613310,841942,0,384412,0.31345925,5
C,618310,851942,0,384418,0.31092724,5
C,623310,861942,0,384424,0.3084359,5
B,628310,350768,2205632,471142,0.15561865,8
C,633348,871942,0,394508,0.31150696,5
B,641386,360844,2305888,487226,0.15448081,8
C,646424,888018,0,404592,0.31300393,5
B,654462,370920,2406144,503310,0.15343067,8
C,659500,904094,0,414676,0.31444147,5
B,667543,380996,2506400,519404,0.15246096,5
C,672543,920180,0,424684,0.31578213,5
B,677543,390996,2606656,529412,0.15009992,6
C,682587,930180,0,434780,0.3185295,5
B,688625,401084,2706912,541496,0.14837572,6
C,693663,942256,0,444864,0.32071054,5
B,699701,411160,2807168,553580,0.14676392,6
C,704739,954332,0,454948,0.322823,5
B,710777,421236,2907424,565664,0.14525345,6
C,715815,966408,0,465032,0.32487005,5
B,721853,431312,3007680,577748,0.14383505,6
C,726891,978484,0,475116,0.3268547,5
B,732929,441388,3107936,589832,0.14250055,6
C,735771,990560,0,480804,0.32677433,5
C,741807,1002632,0,480810,0.32411784,5
C,746807,1012632,0,480816,0.3219503,5
C,751807,1022632,0,480822,0.31981158,5
C,756807,1032632,0,480828,0.31770116,5
C,761807,1042632,0,480834,0.31561846,5
C,766807,1052632,0,480840,0.31356296,5
C,771807,1062632,0,480846,0.31153408,5
C,776807,1072632,0,480852,0.30953136,5
C,781807,1082632,0,480858,0.30755424,5
B,786807,441406,3208192,591656,0.13950025,6
C,791845,1092632,0,490942,0.31002152,5
B,797883,451482,3308448,603740,0.13835602,6
C,802921,1104708,0,501026,0.31202304,5
B,808959,461558,3408704,615824,0.13727424,6
C,813997,1116784,0,511110,0.3139701,5
B,820035,471634,3508960,627908,0.13624991,6
C,825073,1128860,0,521194,0.3158648,5
B,831111,481710,3609216,639992,0.13527861,6
C,836149,1140936,0,531278,0.31770933,5
B,842187,491786,3709472,652076,0.1343563,6
C,847225,1153012,0,541362,0.3195056,5
B,853263,501862,3809728,664160,0.13347937,6
C,858301,1165088,0,551446,0.3212555,5
B,864339,511938,3909984,676244,0.13264456,6
C,869377,1177164,0,561530,0.3229608,5
B,875415,522014,4010240,688328,0.1318489,11
C,880459,1189240,0,571626,0.32462776,5
B,891497,532102,4110496,710412,0.13271262,11
C,894296,1211316,0,577228,0.32273626,5
C,905332,1233388,0,577234,0.31880426,5
C,910332,1243388,0,577240,0.31705543,5
C,915332,1253388,0,577246,0.31532574,5
C,920332,1263388,0,577252,0.31361482,5
C,925332,1273388,0,577258,0.31192243,5
C,930332,1283388,0,577264,0.31024823,5
C,935332,1293388,0,577270,0.30859196,5
C,940332,1303388,0,577276,0.30695328,5
B,945332,532120,4210752,712236,0.13056314,9
C,950376,1313388,0,587372,0.30901954,5
B,959414,542208,4311008,730320,0.13079883,9
C,964452,1331464,0,597456,0.309736,5
B,973490,552284,4411264,748404,0.13102421,9
C,978528,1349540,0,607540,0.31043187,7
B,987572,562360,4511520,766500,0.13124146,14
C,994616,1367628,0,621636,0.31249547,7
B,1008654,576448,4611776,794584,0.13281122,8
C,1015692,1395704,0,635720,0.31294304,7
B,1023730,590524,4712032,810668,0.13260892,8
C,1030768,1411780,0,649804,0.31519648,7
B,1038806,604600,4812288,826752,0.13241507,8
C,1045844,1427856,0,663888,0.31738493,7
B,1053882,618676,4912544,842836,0.13222915,8
C,1058675,1443932,0,673478,0.3180669,5
C,1066717,1460016,0,673484,0.31567097,5
C,1071717,1470016,0,673490,0.3142002,5
C,1076717,1480016,0,673496,0.3127431,5
C,1081717,1490016,0,673502,0.31129947,5
C,1086717,1500016,0,673508,0.30986914,5
C,1091717,1510016,0,673514,0.30845192,5
C,1096717,1520016,0,673520,0.3070476,5
C,1101717,1530016,0,673526,0.30565608,5
C,1106717,1540016,0,673532,0.30427712,5
B,1111717,618694,5012798,848674,0.13096486,14
C,1116755,1550016,0,683616,0.30605578,5
B,1130793,628770,5113052,876758,0.1324692,14
C,1135831,1578092,0,693700,0.30535367,5
B,1149869,638846,5213306,904842,0.13391191,15
C,1154913,1606168,0,703796,0.30467835,5
B,1169951,648934,5313560,934926,0.1355472,15
C,1174989,1636244,0,713880,0.3037627,5
B,1190027,659010,5413814,965010,0.13711748,15
C,1195065,1666320,0,723964,0.3028778,5
B,1210103,669086,5514068,995094,0.1386263,15
C,1215141,1696396,0,734048,0.3020222,5
B,1230179,679162,5614322,1025178,0.14007725,17
C,1235223,1726472,0,744144,0.30119777,5
B,1252267,689250,5714576,1059274,0.14193486,17
C,1257305,1760560,0,754228,0.29991713,5
B,1274343,699326,5814830,1093358,0.1437208,17
C,1279381,1794636,0,764312,0.29868212,5
B,1296425,709402,5915084,1127454,0.14544153,17
C,1299231,1828724,0,769928,0.29627976,5
C,1316266,1862794,0,769934,0.29244724,5
C,1321266,1872794,0,769940,0.29134223,5
C,1326266,1882794,0,769946,0.29024556,5
C,1331266,1892794,0,769952,0.28915712,5
C,1336266,1902794,0,769958,0.28807685,5
C,1341266,1912794,0,769964,0.28700465,5
C,1346266,1922794,0,769970,0.2859404,5
B,1351266,709420,6015338,1131278,0.14400113,12
C,1356310,1932794,0,780066,0.28754377,5
B,1368347,719508,6115592,1155360,0.14459242,12
C,1373385,1956868,0,790150,0.28763917,5
B,1385429,729584,6215846,1179456,0.14516585,11
C,1390473,1980956,0,800246,0.28773385,5
B,1401510,739672,6316100,1201538,0.14551204,11
C,1406548,2003030,0,810330,0.28802925,5
B,1417585,749748,6416354,1223620,0.1458475,11
C,1422623,2025104,0,820414,0.28831798,5
B,1433660,759824,6516608,1245702,0.14617254,11
C,1438698,2047178,0,830498,0.28860024,5
B,1449735,769900,6616862,1267784,0.14648764,6
C,1454779,2069252,0,840594,0.28887922,5
B,1460816,779988,6717116,1279866,0.14582095,6
C,1465854,2081326,0,850678,0.29013535,5
B,1471891,790064,6817370,1291948,0.14517277,6
C,1476929,2093400,0,860762,0.29137266,5
B,1482966,800140,6917624,1304030,0.1445422,6
C,1485762,2105474,0,866358,0.29152322,5
C,1491797,2117544,0,866364,0.2903454,5
C,1496797,2127544,0,866370,0.28937706,5
C,1501797,2137544,0,866376,0.28841513,5
C,1506797,2147544,0,866382,0.2874596,5
C,1511797,2157544,0,866388,0.2865104,5
C,1516797,2167544,0,866394,0.28556746,5
C,1521797,2177544,0,866400,0.28463072,5
C,1526797,2187544,0,866406,0.28370014,5
C,1531797,2197544,0,866412,0.2827756,5
B,1536797,800158,7017880,1305852,0.14312448,6
C,1541835,2207544,0,876496,0.28420383,6
B,1547835,810234,7118136,1317860,0.14252944,6
C,1553835,2219544,0,888504,0.28587204,6
B,1559835,822234,7218392,1329868,0.1419208,8
C,1565873,2231544,0,900588,0.28753194,6
B,1573910,834310,7318648,1345950,0.14169523,8
C,1579948,2247618,0,912672,0.28879374,6
B,1587985,846386,7418904,1362032,0.14147569,8
C,1594023,2263692,0,924756,0.29003328,6
B,1602060,858462,7519160,1378114,0.14126192,8
C,1608098,2279766,0,936840,0.2912511,5
B,1616142,870538,7619416,1394210,0.14105493,8
C,1621180,2295854,0,946924,0.29201013,5
B,1629217,880614,7719672,1410292,0.14088018,6
C,1634260,2311928,0,957018,0.29276043,5
B,1640297,890700,7819928,1422374,0.14037044,6
C,1643131,2324002,0,962690,0.29290545,10
C,1649173,2336086,0,962696,0.2918338,10
C,1659173,2356086,0,962702,0.29007638,10
C,1669173,2376086,0,962708,0.28834003,10
C,1679173,2396086,0,962714,0.2866244,10
