task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
B,99997,39854,0,40016,10
C,109997,39984,0,49886,10
B,199997,89834,0,90036,10
B,299997,139814,0,140056,10
C,329997,149940,0,159930,10
B,399997,189794,0,190076,10
B,499997,239774,0,240096,10
C,549997,259896,0,269974,10
B,599997,289754,0,290116,10
B,699997,339734,0,340136,10
C,769997,369852,0,380018,10
B,799997,389714,0,390156,10
B,899997,439694,0,440176,10
C,989997,479808,0,490062,10
B,999997,489674,0,490196,10
B,1099997,539654,0,540216,10
B,1199997,589634,0,590236,10
C,1209997,589764,0,600106,10
B,1299997,639614,0,640256,10
B,1399997,689594,0,690276,10
C,1429997,699720,0,710150,10
B,1499997,739574,0,740296,10
B,1599997,789554,0,790316,10
C,1649997,809676,0,820194,10
B,1699997,839534,0,840336,10
B,1799997,889514,0,890356,10
C,1869997,919632,0,930238,10
B,1899997,939494,0,940376,10
B,1999997,989474,0,990396,10
C,2089997,1029588,0,1040282,10
B,2099997,1039454,0,1040416,10
B,2199997,1089434,0,1090436,10
B,2299997,1139414,0,1140456,10
C,2309997,1139544,0,1150326,10
B,2399997,1189394,0,1190476,10
B,2499997,1239374,0,1240496,10
C,2529997,1249500,0,1260370,10
B,2599997,1289354,0,1290516,10
B,2699997,1339334,0,1340536,10
C,2749997,1359456,0,1370414,10
B,2799997,1389314,0,1390556,10
B,2899997,1439294,0,1440576,10
C,2969997,1469412,0,1480458,10
B,2999997,1489274,0,1490596,10
B,3099997,1539254,0,1540616,10
C,3189997,1579368,0,1590502,10
B,3199997,1589234,0,1590636,10
B,3299997,1639214,0,1640656,10
B,3399997,1689194,0,1690676,10
C,3409997,1689324,0,1700546,10
B,3499997,1739174,0,1740696,10
B,3599997,1789154,0,1790716,10
C,3629997,1799280,0,1810590,10
B,3699997,1839134,0,1840736,10
B,3799997,1889114,0,1890756,10
C,3849997,1909236,0,1920634,10
B,3899997,1939094,0,1940776,10
B,3999997,1989074,0,1990796,10
C,4069997,2019192,0,2030678,10
B,4099997,2039054,0,2040816,10
B,4199997,2089034,0,2090836,10
C,4289997,2129148,0,2140722,10
B,4299997,2139014,0,2140856,10
B,4399997,2188994,0,2190876,10
B,4499997,2238974,0,2240896,10
C,4509997,2239104,0,2250766,10
B,4599997,2288954,0,2290916,10
B,4699997,2338934,0,2340936,10
C,4729997,2349060,0,2360810,10
B,4799997,2388914,0,2390956,10
B,4899997,2438894,0,2440976,10
C,4949997,2459016,0,2470854,10
B,4999997,2488874,0,2490996,10
B,5099997,2538854,0,2541016,10
C,5169997,2568972,0,2580898,10
B,5199997,2588834,0,2591036,10
