task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
G,10050,0,0,19056,1,10
C,20043,19046,0,20010,0.51234126,10
G,30049,20000,0,39066,0.6613957,10
C,40043,39046,0,40020,0.5061594,10
G,50043,40000,0,59076,0.59626955,10
C,60043,59046,0,60030,0.5041318,10
G,70043,60000,0,79086,0.5686122,10
C,80043,79046,0,80040,0.5031241,10
G,90043,80000,0,99096,0.5533122,10
C,100043,99046,0,100050,0.5025214,10
G,110043,100000,0,119106,0.5435999,10
C,120049,119046,0,120060,0.5021204,10
G,130043,120000,0,139116,0.53688693,10
C,140043,139046,0,140070,0.5018344,10
G,150050,140000,0,159126,0.5319698,10
C,160043,159046,0,160080,0.50162005,10
G,170043,160000,0,179136,0.52821285,10
C,180043,179046,0,180090,0.50145346,10
G,190043,180000,0,199146,0.5252488,10
C,200050,199046,0,200100,0.5013203,10
G,210043,200000,0,219156,0.5228507,10
C,220050,219046,0,220110,0.5012114,10
G,230050,220000,0,239166,0.52087045,10
C,240043,239046,0,240120,0.5011207,10
G,250043,240000,0,259176,0.51920766,10
C,260043,259046,0,260130,0.501044,10
G,270043,260000,0,279186,0.5177916,10
C,280050,279046,0,280140,0.50097823,10
G,290043,280000,0,299196,0.5165712,10
C,300043,299046,0,300150,0.50092125,10
G,310043,300000,0,319206,0.5155086,10
C,320043,319046,0,320160,0.5008714,10
G,330043,320000,0,339216,0.5145749,10
C,340043,339046,0,340170,0.50082743,10
G,350043,340000,0,359226,0.51374805,10
C,360043,359046,0,360180,0.50078833,10
G,370043,360000,0,379236,0.51301074,10
C,380043,379046,0,380190,0.5007534,10
G,390043,380000,0,399246,0.5123491,10
C,400043,399046,0,400200,0.50072193,10
G,410049,400000,0,419256,0.5117521,10
C,420043,419046,0,420210,0.5006935,10
G,430043,420000,0,439266,0.51121074,10
C,440049,439046,0,440220,0.50066763,10
G,450050,440000,0,459276,0.5107175,10
C,460043,459046,0,460230,0.50064397,10
G,470043,460000,0,479286,0.5102663,10
C,480043,479046,0,480240,0.50062233,10
G,490043,480000,0,499296,0.509852,10
C,500043,499046,0,500250,0.5006024,10
G,510043,500000,0,519306,0.50947016,10
C,520043,519046,0,520260,0.50058407,10
G,530043,520000,0,539316,0.5091172,10
C,540043,539046,0,540270,0.500567,10
G,550043,540000,0,559326,0.50878996,10
C,560043,559046,0,560280,0.5005512,10
G,570043,560000,0,579336,0.5084856,10
C,580043,579046,0,580290,0.5005365,10
G,590043,580000,0,599346,0.508202,10
C,600043,599046,0,600300,0.5005228,10
G,610049,600000,0,619356,0.50793695,10
C,620043,619046,0,620310,0.5005099,10
G,630043,620000,0,639366,0.50768876,10
C,640043,639046,0,640320,0.5004979,10
G,650043,640000,0,659376,0.5074559,10
C,660043,659046,0,660330,0.5004866,10
G,670050,660000,0,679386,0.5072369,10
C,680043,679046,0,680340,0.50047594,10
G,690043,680000,0,699396,0.5070306,10
C,700050,699046,0,700350,0.5004659,10
G,710050,700000,0,719406,0.50683594,10
C,720043,719046,0,720360,0.50045645,10
G,730044,720000,0,739416,0.506652,10
C,740050,739046,0,740370,0.50044745,10
G,750044,740000,0,759426,0.50647783,10
C,760043,759046,0,760380,0.500439,10
G,770044,760000,0,779436,0.5063127,10
C,780043,779046,0,780390,0.50043094,10
G,790044,780000,0,799446,0.50615597,10
C,800043,799046,0,800400,0.50042325,10
G,810044,800000,0,819456,0.50600696,10
C,820043,819046,0,820410,0.500416,10
G,830044,820000,0,839466,0.50586516,10
C,840050,839046,0,840420,0.50040907,10
G,850044,840000,0,859476,0.50573,10
C,860043,859046,0,860430,0.50040245,10
G,870044,860000,0,879486,0.5056011,10
C,880044,879046,0,880440,0.50039613,10
G,890044,880000,0,899496,0.50547796,10
C,900044,899046,0,900450,0.5003901,10
G,910049,900000,0,919506,0.50536025,10
