task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
G,10050,0,0,19056,1,8
C,20089,19046,0,20102,0.5134873,10
G,28128,20092,0,35144,0.63625175,10
C,38134,35124,0,40112,0.533149,10
G,48134,40092,0,55154,0.57906896,10
C,58128,55124,0,60122,0.52168405,10
G,68128,60092,0,75164,0.5557166,10
C,78128,75124,0,80132,0.5161282,10
G,88128,80092,0,95174,0.54302603,10
C,98128,95124,0,100142,0.51284915,10
G,108135,100092,0,115184,0.53505266,5
C,118174,115124,0,120244,0.5108766,10
G,123213,120184,0,125272,0.51036435,5
C,133252,125202,0,140332,0.52848977,10
G,138298,140262,0,135360,0.49110737,7
C,148338,135280,0,160434,0.54253095,8
G,155378,160354,0,149450,0.4824018,7
C,163418,149360,0,176524,0.5416774,6
G,170464,176434,0,163540,0.48103678,8
C,176504,163440,0,188626,0.53576887,5
G,184550,188526,0,179630,0.48791817,7
C,189590,179520,0,198728,0.52539074,5
G,196630,198618,0,193720,0.49375793,7
C,201670,193600,0,208818,0.5189082,5
G,208710,208698,0,207810,0.498934,7
C,213750,207680,0,218908,0.5131602,5
G,220790,218778,0,221900,0.50354224,7
C,225830,221760,0,228998,0.5080287,5
G,232870,228858,0,235990,0.5076713,7
C,237916,235840,0,239088,0.50341946,7
G,244910,238938,0,250000,0.51131225,7
C,251910,249840,0,253098,0.503239,5
G,258950,252938,0,264090,0.51078475,7
C,263996,263920,0,263188,0.49930564,7
G,270990,263018,0,278100,0.513936,7
C,277990,277920,0,277198,0.49934968,5
G,285030,277018,0,292190,0.5133273,7
C,290070,292000,0,287288,0.49593294,5
G,297110,287098,0,306280,0.5161634,7
C,302156,306080,0,297378,0.4927899,5
G,309196,297178,0,320382,0.51878685,7
C,314236,320172,0,307468,0.48987955,5
G,321276,307258,0,334472,0.52120364,7
C,326322,334252,0,317558,0.48719412,5
G,333362,317338,0,348574,0.52345353,7
C,338402,348344,0,327648,0.48469213,5
G,345442,327418,0,362664,0.52553755,5
C,350442,362424,0,337658,0.48231208,5
G,355448,337418,0,372674,0.524825,5
C,360442,372424,0,347668,0.48281053,5
G,365442,347418,0,382684,0.52415144,5
C,370448,382424,0,357678,0.48328203,6
G,375488,357418,0,392786,0.52357227,5
C,381528,392516,0,369768,0.48507905,5
G,386528,369498,0,402796,0.52155787,5
C,391528,402516,0,379778,0.4854671,5
G,396528,379498,0,412806,0.5210197,5
C,401528,412516,0,389788,0.4858358,5
G,406534,389498,0,422816,0.52050805,5
C,411534,422516,0,399798,0.48618653,5
G,416528,399498,0,432826,0.520021,5
C,421534,432516,0,409808,0.48652062,6
G,426574,409498,0,442928,0.51960874,5
C,432614,442608,0,421898,0.48802206,5
G,437614,421578,0,452938,0.5179299,5
C,442614,452608,0,431908,0.48829868,5
G,447614,431578,0,462948,0.51753443,5
C,452614,462608,0,441918,0.48856306,5
G,457614,441578,0,472958,0.51715624,5
C,462614,472608,0,451928,0.48881602,5
G,467614,451578,0,482968,0.51679426,5
C,472614,482608,0,461938,0.48905823,5
G,477614,461578,0,492978,0.5164474,5
C,482614,492608,0,471948,0.48929042,5
G,487614,471578,0,502988,0.5161149,5
C,492614,502608,0,481958,0.48951316,5
G,497620,481578,0,512998,0.51579565,6
C,502660,512608,0,492060,0.48977375,5
G,508700,491670,0,525088,0.5164336,5
C,513700,524688,0,502070,0.48898572,5
G,518700,501670,0,535098,0.51612127,5
C,523700,534688,0,512080,0.48920104,5
G,528706,511670,0,545108,0.51582074,5
C,533700,544688,0,522090,0.48940828,5
G,538706,521670,0,555118,0.51553136,5
C,543706,554688,0,532100,0.4896079,5
G,548700,531670,0,565128,0.5152526,5
C,553706,564688,0,542110,0.4898003,7
G,558746,541670,0,575230,0.5150237,5
C,565786,574780,0,556200,0.49178588,5
G,570792,555750,0,585240,0.512923,5
C,575792,584780,0,566210,0.49193302,5
G,580786,565750,0,595250,0.51270455,5
C,585786,594780,0,576220,0.49207515,5
G,590792,575750,0,605260,0.51249355,10
C,595832,604780,0,586322,0.49225172,5
G,605872,585842,0,625350,0.51630956,5
C,610872,624860,0,596332,0.4883196,5
G,615872,595842,0,635360,0.51604855,5
C,620872,634860,0,606342,0.48851195,5
G,625872,605842,0,645370,0.5157959,5
C,630872,644860,0,616352,0.48869818,5
G,635872,615842,0,655380,0.51555115,5
C,640877,654860,0,626362,0.48887858,5
G,645872,625842,0,665390,0.51531404,5
C,650872,664860,0,636372,0.48905346,5
G,655872,635842,0,675400,0.51508415,5
C,660872,674860,0,646382,0.48922303,5
G,665872,645842,0,685410,0.5148612,5
C,670872,684860,0,656392,0.48938754,5
G,675872,655842,0,695420,0.5146448,5
C,680878,694860,0,666402,0.4895472,10
G,685918,665842,0,705522,0.51446736,5
C,695963,704952,0,686492,0.4933666,10
G,701009,685922,0,715622,0.51059544,10
C,711003,715042,0,706502,0.49699622,8
G,721043,705922,0,735712,0.51033205,5
C,729083,735122,0,722592,0.49570218,6
G,734123,722002,0,745802,0.50810736,5
C,740163,745202,0,734682,0.49644566,5
G,745169,734082,0,755812,0.50729245,7
C,750209,755202,0,744784,0.4965273,5
G,757249,744174,0,769902,0.5084963,5
C,762249,769282,0,754794,0.49524695,5
G,767255,754174,0,779912,0.5083887,5
C,772249,779282,0,764804,0.4953118,5
G,777254,764174,0,789922,0.5082839,5
C,782249,789282,0,774814,0.49537498,5
G,787255,774174,0,799932,0.5081818,7
C,792295,799282,0,784916,0.49546584,5
G,799341,784266,0,814022,0.5093087,12
C,804381,813362,0,795018,0.49429736,5
G,816421,794358,0,838112,0.51340115,7
C,821461,837442,0,805108,0.49015737,5
G,828506,804438,0,852202,0.5144159,7
C,833546,851522,0,815208,0.4891062,5
G,840592,814528,0,866292,0.51539844,6
C,845632,865602,0,825310,0.48808572,5
G,851672,824620,0,878382,0.5157845,5
C,856672,877682,0,835320,0.48763517,5
G,861672,834620,0,888392,0.5156041,5
C,866672,887682,0,845330,0.4877808,5
G,871678,844620,0,898402,0.5154278,5
C,876677,897682,0,855340,0.48792315,5
G,881672,854620,0,908412,0.5152555,5
C,886672,907682,0,865350,0.48806226,5
G,891672,864620,0,918422,0.5150871,5
C,896672,917682,0,875360,0.48819828,5
G,901672,874620,0,928432,0.5149225,5
C,906678,927682,0,885370,0.4883313,5
G,911672,884620,0,938442,0.51476145,5
C,916672,937682,0,895380,0.48846138,5
G,921678,894620,0,948452,0.51460385,5
C,926678,947682,0,905390,0.4885887,5
G,931672,904620,0,958462,0.5144497,5
C,936672,957682,0,915400,0.48871326,5
G,941672,914620,0,968472,0.5142988,5
C,946678,967682,0,925410,0.4888352,7
G,951718,924620,0,978574,0.5141746,5
C,958764,977774,0,939500,0.49001864,5
G,963764,938700,0,988584,0.51294154,5
C,968758,987774,0,949510,0.49012432,5
G,973758,948700,0,998594,0.5128111,5
C,978758,997774,0,959520,0.49022785,5
G,983764,958700,0,1008604,0.51268333,10
C,988804,1007774,0,969622,0.49035296,5
G,998844,968792,0,1028694,0.5149943,5
C,1003850,1027854,0,979632,0.48798946,5
G,1008844,978792,0,1038704,0.5148481,5
C,1013844,1037854,0,989642,0.48811045,5
G,1018844,988792,0,1048714,0.51470476,5
C,1023850,1047854,0,999652,0.4882291,7
G,1028890,998792,0,1058816,0.51458585,5
C,1035930,1057946,0,1013742,0.4893314,5
G,1040930,1012872,0,1068826,0.51343954,5
C,1045930,1067946,0,1023752,0.48943585,5
G,1050930,1022872,0,1078836,0.51331395,5
C,1055930,1077946,0,1033762,0.4895383,5
G,1060930,1032872,0,1088846,0.51319075,5
C,1065930,1087946,0,1043772,0.48963886,5
G,1070936,1042872,0,1098856,0.5130698,6
C,1075982,1097946,0,1053874,0.48975936,10
G,1082028,1052964,0,1110958,0.5134002,5
C,1092074,1110038,0,1073976,0.4917441,12
G,1097114,1073056,0,1121060,0.51093924,5
C,1109154,1120130,0,1098066,0.4950266,10
G,1114194,1097136,0,1131150,0.5076323,5
C,1124234,1130210,0,1118156,0.4973194,8
G,1129280,1117216,0,1141240,0.5053187,5
C,1137326,1140290,0,1134258,0.49867404,9
