task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
G,10007,0,0,19382,1,8
C,20052,19372,0,20098,0.5091969,10
G,28089,20090,0,35464,0.63836986,8
C,38132,35446,0,40192,0.53137314,8
G,46132,40176,0,51472,0.5616271,6
C,54170,51446,0,56276,0.5224188,6
G,60170,56252,0,63480,0.5301841,5
C,66208,63446,0,68360,0.51864105,5
G,71208,68328,0,73488,0.5181926,5
C,76208,73446,0,78368,0.5162106,5
G,81208,78328,0,83496,0.51596797,5
C,86208,83446,0,88376,0.51434624,5
G,91208,88328,0,93504,0.51423293,5
C,96208,93446,0,98384,0.5128708,5
G,101208,98328,0,103512,0.5128419,5
C,106208,103446,0,108392,0.511674,5
G,111208,108328,0,113520,0.5117017,5
C,116208,113446,0,118400,0.51068383,7
G,121252,118328,0,123616,0.51092815,5
C,128290,123534,0,132484,0.51747924,5
G,133290,132404,0,133624,0.502293,5
C,138290,133534,0,142492,0.5162267,5
G,143290,142404,0,143632,0.5021466,5
C,148290,143534,0,152500,0.5151435,5
G,153290,152404,0,153640,0.50201935,5
C,158290,153534,0,162508,0.51419747,5
G,163290,162404,0,163648,0.50190765,5
C,168290,163534,0,172516,0.5133641,5
G,173290,172404,0,173656,0.50180894,5
C,178290,173534,0,182524,0.5126243,5
G,183290,182404,0,183664,0.50172096,5
C,188290,183534,0,192532,0.5119633,5
G,193290,192404,0,193672,0.50164217,5
C,198290,193534,0,202540,0.5113691,5
G,203290,202404,0,203680,0.5015711,5
C,208290,203534,0,212548,0.510832,6
G,213334,212404,0,213776,0.5016096,5
C,219372,213622,0,224632,0.5125612,11
G,224416,224480,0,223872,0.49932197,5
C,235454,223710,0,246716,0.5244523,9
G,240492,246556,0,233956,0.48688897,5
C,249536,233786,0,264812,0.53111327,9
G,254579,264644,0,244050,0.47975796,5
C,263617,243872,0,282896,0.53704095,5
G,268617,282720,0,254058,0.4733018,5
C,273617,253872,0,292904,0.5356929,5
G,278617,292720,0,264066,0.47426838,5
C,283617,263872,0,302912,0.5344399,5
G,288617,302720,0,274074,0.4751679,5
C,293617,273872,0,312920,0.53327245,5
G,298617,312720,0,284082,0.4760071,5
C,303617,283872,0,322928,0.5321819,5
G,308617,322720,0,294090,0.4767919,5
C,313617,293872,0,332936,0.53116107,5
G,318617,332720,0,304098,0.47752732,5
C,323617,303872,0,342944,0.53020334,5
G,328617,342720,0,314106,0.478218,5
C,333617,313872,0,352952,0.5293031,6
G,338661,352720,0,324202,0.47893554,5
