task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
C,10007,0,0,19380,1,10
B,20007,19372,0,20008,0.5080752,10
C,30007,20000,0,39388,0.6632316,10
B,40007,39372,0,40016,0.50405604,10
C,50007,40000,0,59396,0.59756935,10
B,60007,59372,0,60024,0.5027304,10
C,70007,60000,0,79404,0.5695963,10
B,80007,79372,0,80032,0.5020702,10
C,88229,80000,0,95852,0.545072,10
C,98229,100000,0,95858,0.48942602,10
C,108229,120000,0,95864,0.44409442,10
C,118229,140000,0,95870,0.40645272,10
C,128229,160000,0,95876,0.37469712,10
C,138229,180000,0,95882,0.34754714,10
B,148229,79390,100256,99784,0.35709837,10
C,158229,200000,0,115890,0.36686823,10
B,168229,99390,200512,119792,0.285427,10
C,178229,220000,0,135898,0.38184536,10
B,188229,119390,300768,139800,0.24966158,10
C,198229,240000,0,155906,0.3937955,10
B,208229,139390,401024,159808,0.22822477,10
C,218229,260000,0,175914,0.4035521,10
B,228229,159390,501280,179816,0.21394289,10
C,236163,280000,0,191786,0.4065106,10
C,246163,300000,0,191792,0.389986,10
C,256163,320000,0,191798,0.37475333,10
C,266163,340000,0,191804,0.36066672,10
C,276163,360000,0,191810,0.34760153,10
C,286163,380000,0,191816,0.33545056,10
B,296163,159408,601536,199568,0.20777252,10
C,306163,400000,0,211824,0.34621722,10
B,316163,179408,701792,219576,0.19947383,10
C,326163,420000,0,231832,0.3556622,10
B,336163,199408,802048,239584,0.193051,10
C,346163,440000,0,251840,0.3640148,10
B,356163,219408,902304,259592,0.18793257,10
C,366163,460000,0,271848,0.37145418,10
B,376163,239408,1002560,279600,0.18375781,10
C,384104,480000,0,287734,0.37478346,10
C,394104,500000,0,287740,0.36527282,10
C,404104,520000,0,287746,0.35623327,10
C,414104,540000,0,287752,0.34763068,10
C,424104,560000,0,287758,0.33943412,10
C,434104,580000,0,287764,0.3316155,10
B,444104,239426,1102816,299352,0.18235447,10
C,454104,600000,0,307772,0.33904108,10
B,464104,259426,1203072,319360,0.17922865,10
C,474104,620000,0,327780,0.34583974,10
B,484104,279426,1303328,339368,0.17655903,10
C,494104,640000,0,347788,0.3520877,10
B,504104,299426,1403584,359376,0.17425254,10
C,514104,660000,0,367796,0.3578492,10
B,524104,319426,1503840,379384,0.1722398,10
C,532045,680000,0,383682,0.3607112,10
C,542045,700000,0,383690,0.35405883,10
C,552045,720000,0,383698,0.34764764,10
C,562045,740000,0,383706,0.34146476,10
C,572045,760000,0,383714,0.3354982,10
C,582045,780000,0,383722,0.32973683,10
B,592045,319444,1604098,399134,0.1718423,10
C,602045,800000,0,403730,0.33539912,10
B,612045,339444,1704356,419142,0.1701794,10
C,622045,820000,0,423738,0.34069717,10
B,632045,359444,1804614,439150,0.1686957,10
C,642045,840000,0,443746,0.34566495,10
B,652045,379444,1904872,459158,0.16736372,10
C,662045,860000,0,463754,0.35033247,10
B,672045,399444,2005130,479166,0.1661613,10
C,679981,880000,0,479630,0.35276508,10
C,689981,900000,0,479636,0.347654,10
C,699981,920000,0,479642,0.34268907,10
C,709981,940000,0,479648,0.33786404,10
C,719981,960000,0,479654,0.3331731,10
C,729981,980000,0,479660,0.32861078,10
B,739981,399462,2105386,498918,0.16609749,10
C,749981,1000000,0,499668,0.33318573,10
B,759981,419462,2205642,518926,0.16505122,10
C,769981,1020000,0,519676,0.33752295,10
B,779981,439462,2305898,538934,0.16409433,10
C,789981,1040000,0,539684,0.34164047,10
B,799981,459462,2406154,558942,0.1632158,10
C,809981,1060000,0,559692,0.3455546,10
B,819981,479462,2506410,578950,0.16240643,10
C,827929,1080000,0,575592,0.34766537,10
C,837929,1100000,0,575598,0.34351796,10
C,847929,1120000,0,575604,0.33946842,10
C,857929,1140000,0,575610,0.33551332,10
C,867929,1160000,0,575616,0.3316494,10
C,877929,1180000,0,575622,0.32787353,10
B,887929,479480,2606666,598702,0.16247672,10
C,897929,1200000,0,595630,0.33171088,10
B,907929,499480,2706922,618710,0.16174951,10
C,917929,1220000,0,615638,0.33538094,10
B,927929,519480,2807178,638718,0.16107376,10
C,937929,1240000,0,635646,0.33889443,10
B,947929,539480,2907434,658726,0.16044417,10
C,957929,1260000,0,655654,0.3422612,10
B,967929,559480,3007690,678734,0.15985619,10
C,975868,1280000,0,671536,0.34410638,10
C,985868,1300000,0,671542,0.34061766,10
C,995868,1320000,0,671548,0.337199,10
C,1005868,1340000,0,671554,0.33384836,10
C,1015868,1360000,0,671560,0.3305637,10
C,1025868,1380000,0,671566,0.3273431,10
B,1035868,559498,3107946,698486,0.15998562,10
C,1045868,1400000,0,691574,0.33064765,10
B,1055868,579498,3208202,718494,0.15944587,10
C,1065868,1420000,0,711582,0.33382812,10
B,1075868,599498,3308458,738502,0.1589387,10
C,1085868,1440000,0,731590,0.3368914,10
B,1095868,619498,3408714,758510,0.15846126,10
C,1105868,1460000,0,751598,0.33984387,10
B,1115868,639498,3508970,778518,0.158011,10
C,1123809,1480000,0,767484,0.34148586,10
C,1133809,1500000,0,767490,0.33847558,10
C,1143809,1520000,0,767496,0.33551797,10
C,1153809,1540000,0,767502,0.33261162,10
C,1163809,1560000,0,767508,0.32975525,10
C,1173809,1580000,0,767514,0.32694757,10
B,1183809,639516,3609226,798270,0.15816686,10
C,1193809,1600000,0,787522,0.3298491,10
B,1203809,659516,3709482,818278,0.15774715,10
C,1213809,1620000,0,807530,0.332655,10
B,1223809,679516,3809738,838286,0.15734954,10
C,1233809,1640000,0,827538,0.3353699,10
B,1243809,699516,3909994,858294,0.15697235,10
C,1253809,1660000,0,847546,0.33799818,10
B,1263809,719516,4010250,878302,0.156614,10
C,1271745,1680000,0,863422,0.33947256,10
C,1281745,1700000,0,863428,0.33682552,10
C,1291745,1720000,0,863434,0.3342195,10
C,1301745,1740000,0,863440,0.3316535,10
C,1311745,1760000,0,863446,0.32912666,10
C,1321745,1780000,0,863452,0.32663804,10
B,1331745,719534,4110506,898054,0.1567806,10
C,1341745,1800000,0,883460,0.3292242,10
B,1351745,739534,4210762,918062,0.15644275,10
C,1361745,1820000,0,903468,0.3317344,10
B,1371745,759534,4311018,938070,0.15612066,10
C,1381745,1840000,0,923476,0.3341719,10
B,1391745,779534,4411274,958078,0.15581326,10
C,1401745,1860000,0,943484,0.3365398,10
B,1411745,799534,4511530,978086,0.15551959,10
C,1419686,1880000,0,959370,0.3378813,10
C,1429686,1900000,0,959376,0.33551934,10
C,1439686,1920000,0,959382,0.33319023,10
C,1449686,1940000,0,959388,0.33089328,10
C,1459686,1960000,0,959394,0.3286278,10
C,1469686,1980000,0,959400,0.32639313,10
B,1479686,799552,4611786,997838,0.15568897,10
C,1489686,2000000,0,979408,0.3287257,10
B,1499686,819552,4712042,1017846,0.15540962,10
C,1509686,2020000,0,999416,0.33099645,10
B,1519686,839552,4812298,1037854,0.155142,10
C,1529686,2040000,0,1019424,0.33320782,10
B,1539686,859552,4912554,1057862,0.15488535,10
C,1549686,2060000,0,1039432,0.3353621,10
B,1559686,879552,5012810,1077870,0.15463904,10
C,1567628,2080000,0,1055320,0.33659086,10
C,1577628,2100000,0,1055326,0.33445862,10
C,1587628,2120000,0,1055332,0.33235326,10
C,1597628,2140000,0,1055338,0.33027428,10
C,1607628,2160000,0,1055344,0.32822117,10
C,1617628,2180000,0,1055350,0.32619345,10
B,1627628,879570,5113066,1097622,0.15480706,10
C,1637628,2200000,0,1075358,0.3283177,10
B,1647628,899570,5213322,1117630,0.15457113,10
