task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
T,1019,0,0,20,1,10
H,1067,0,0,130,1,10
f,1111,0,0,216,1,10
G,1160,0,0,316,1,10
G,6924,12,11240,330,0.028492488,10
G,12779,22,22596,344,0.014981274,10
G,18661,34,33858,358,0.010452555,10
f,21417,24,40472,258,0.006330667,10
G,24522,46,45124,372,0.008168284,10
G,30426,56,56410,388,0.006824498,10
G,36373,66,67686,402,0.0058984067,10
G,42289,76,78954,416,0.005236261,10
G,48184,86,90208,432,0.0047615897,10
G,54028,98,101464,446,0.004372206,10
G,59871,110,112726,460,0.004060161,10
G,65733,122,124010,474,0.00380399,10
G,71659,134,135290,488,0.0035905587,10
G,77547,144,146544,502,0.0034105578,10
G,83393,154,157808,516,0.0032559724,10
G,89239,166,169064,530,0.0031220547,10
G,95075,176,180308,544,0.00300506,10
G,100918,188,191556,558,0.002901686,10
f,101525,48,200544,302,0.0015032804,10
G,106768,200,202888,572,0.0028086025,10
G,112643,210,214136,586,0.0027264438,10
G,118495,220,225402,600,0.0026522619,10
f,121836,72,241016,344,0.0014248318,10
G,124391,230,236694,614,0.0025848495,10
G,130332,240,247974,630,0.0025317066,10
G,136246,250,259244,646,0.0024832783,10
G,142142,262,270500,660,0.0024316378,10
G,147985,272,281764,674,0.0023840684,10
G,153835,284,293012,688,0.0023402635,10
G,159689,296,304282,702,0.0022995283,10
G,165618,306,315558,716,0.0022616717,10
G,171506,318,326802,730,0.0022266281,10
G,177339,328,338046,744,0.0021939266,10
G,183181,338,349292,758,0.0021633161,10
G,189024,350,360542,772,0.0021345778,10
G,194859,360,371778,788,0.0021130198,10
G,200713,372,383128,802,0.0020869004,10
f,201951,96,401088,388,0.0009662028,10
G,206587,382,394384,816,0.0020627833,10
G,212431,392,405648,830,0.0020399636,10
G,218336,402,416952,844,0.0020181828,10
f,222262,120,441560,430,0.0009726086,10
G,224275,412,428226,858,0.0019976904,10
G,230193,422,439496,872,0.0019782663,10
G,236085,432,450748,886,0.0019598908,10
G,241928,442,462004,900,0.0019423929,10
G,247772,452,473264,916,0.0019299162,10
G,253632,464,484544,930,0.0019138244,10
G,259546,476,495812,946,0.0019025247,10
