task_id,timestamp,total_run_timf,total_io_wait_time,total_ready_wait_time,wait_pct,delta
T,1020,0,0,22,1,8
H,1074,0,0,132,1,10
f,1118,0,0,230,1,8
G,1174,0,0,332,1,12
G,6961,10,11278,348,0.029907184,10
G,12874,22,22544,362,0.015788555,10
G,18783,32,33826,376,0.010983233,10
f,21425,24,40472,272,0.0066718995,10
G,24635,44,45092,392,0.0086100865,10
G,30483,54,56354,406,0.007146126,10
G,36328,64,67606,422,0.0061974977,10
G,42165,76,78848,438,0.0055190143,10
G,48019,86,90186,454,0.005004078,10
G,53897,98,101444,468,0.0045877853,12
G,59743,108,112708,484,0.004271845,12
G,65648,118,123996,500,0.00401239,12
G,71586,130,135270,514,0.0037818032,12
G,77509,142,146550,528,0.0035864692,12
G,83397,152,157804,542,0.0034196016,12
G,89245,162,169070,558,0.0032864127,12
G,95099,172,180330,574,0.0031699396,11
G,100957,184,191620,590,0.0030666236,11
f,101537,48,200544,316,0.0015728592,10
G,106883,194,202906,606,0.0029748755,11
G,112783,204,214172,620,0.0028837747,11
G,118629,214,225428,636,0.002810702,11
f,121849,72,241016,358,0.0014827332,10
G,124476,224,236696,652,0.0027444311,11
G,130323,236,247958,666,0.0026762034,11
G,136169,246,259214,680,0.002613977,11
G,142025,256,270568,696,0.002563347,11
G,147900,268,281834,710,0.0025105018,11
G,153756,280,293110,726,0.002468414,11
G,159666,292,304420,740,0.0024226392,11
G,165621,302,315714,756,0.0023865746,11
G,171553,312,327004,770,0.0023469457,10
G,177445,324,338252,784,0.002310231,10
G,183289,336,349510,798,0.0022758124,5
G,189137,346,360776,812,0.002243503,5
G,195000,356,372070,826,0.0022129822,5
G,200914,368,383334,840,0.0021844169,5
f,201970,96,401086,402,0.0010010359,15
G,206816,378,394582,856,0.0021626211,5
G,212661,390,405836,870,0.002137088,5
G,218507,406,417094,886,0.0021176618,5
f,222282,120,441558,444,0.0010042477,15
G,224352,416,428350,900,0.0020946502,5
G,230190,426,439598,916,0.0020773802,5
G,236046,436,450946,930,0.002056103,5
G,241921,446,462204,944,0.0020362644,5
G,247768,456,473472,958,0.0020173262,5
G,253675,468,484768,972,0.0019991444,5
G,259628,478,496062,988,0.001985818,5
G,265544,488,507334,1002,0.0019692467,5
G,271442,498,518598,1016,0.0019534254,5
G,277285,508,529848,1032,0.0019420837,5
G,283130,518,541106,1046,0.0019275066,5
G,288981,528,552382,1060,0.001913461,5
G,294908,538,563660,1074,0.0018999702,5
G,300795,550,574904,1088,0.0018871132,5
f,302391,144,601630,486,0.00080696045,15
G,306646,560,586152,1104,0.0018781387,5
G,312491,570,597406,1118,0.0018661512,5
G,318337,582,608666,1132,0.0018545823,5
f,322703,168,642100,528,0.00082141144,15
G,324181,592,619916,1146,0.0018434692,5
G,330034,602,631258,1162,0.0018356392,5
G,335923,612,642524,1178,0.0018283011,6
G,341779,624,653800,1192,0.0018181375,6
G,347685,636,665102,1206,0.0018082478,6
G,353627,646,676380,1220,0.0017987574,6
G,359551,656,687652,1236,0.001792489,8
G,365443,668,698900,1250,0.00178363,8
G,371286,680,710154,1264,0.0017750366,8
G,377132,692,721414,1278,0.0017666966,8
G,383004,702,732706,1294,0.0017612583,10
G,388922,712,743976,1308,0.0017533606,10
G,394829,724,755242,1322,0.001745703,8
G,400686,734,766502,1338,0.0017408864,6
f,402815,192,802170,570,0.00070989825,15
G,406526,746,777758,1352,0.0017336534,6
G,412365,756,789008,1366,0.0017266441,6
G,418202,766,800252,1380,0.0017198448,6
f,423130,230,842640,612,0.0007255638,15
G,424064,778,811592,1394,0.0017130274,5
G,429940,790,822856,1408,0.001706555,5
G,435792,800,834128,1422,0.0017002451,5
G,441696,810,845422,1436,0.0016940595,5
G,447644,822,856702,1450,0.0016880604,5
G,453561,834,867978,1464,0.0016822249,5
G,459450,846,879226,1478,0.0016765924,5
G,465287,856,890484,1494,0.0016733233,5
G,471128,866,901742,1508,0.0016679276,5
G,476985,876,913030,1522,0.0016626103,5
G,482910,886,924312,1538,0.0016595881,5
G,488816,898,935570,1552,0.0016545489,5
G,494657,908,946826,1566,0.0016496365,5
G,500502,918,958088,1582,0.0016469079,5
T,501455,18,1000730,66,0.00006594632,10
f,503232,252,1002702,656,0.00065364037,15
G,506356,928,969342,1596,0.0016422017,5
G,512196,940,980590,1612,0.0016396411,5
G,518050,950,991936,1626,0.0016349728,5
f,523547,276,1043178,698,0.00066848507,15
G,523925,960,1003194,1640,0.0016305526,5
G,529773,970,1014466,1654,0.0016262081,5
G,535680,980,1025762,1668,0.0016219212,5
G,541631,990,1037052,1684,0.0016196575,5
G,547549,1000,1048324,1698,0.0016155704,5
G,553448,1010,1059588,1712,0.0016115824,5
G,559285,1020,1070844,1726,0.0016076901,5
G,565131,1032,1082108,1742,0.0016057045,5
G,570988,1042,1093390,1756,0.001601915,5
G,576906,1054,1104668,1770,0.0015982057,5
G,582795,1066,1115918,1784,0.0015946112,5
G,588640,1076,1127176,1800,0.001592847,5
G,594484,1086,1138442,1814,0.001589357,5
G,600331,1098,1149698,1830,0.0015876789,5
f,603659,300,1203250,740,0.00061446993,15
G,606167,1108,1160946,1846,0.0015860469,5
G,612019,1120,1172282,1862,0.0015843249,5
G,617887,1130,1183536,1876,0.001581065,5
G,623730,1140,1194792,1890,0.0015778638,5
f,623981,324,1243722,808,0.0006490721,15
G,629635,1150,1206088,1904,0.0015746703,5
G,635584,1160,1217374,1918,0.0015715489,5
G,641499,1172,1228650,1932,0.0015684951,5
G,647387,1182,1239902,1946,0.0015655294,5
G,653233,1192,1251162,1960,0.0015626071,5
G,659070,1202,1262412,1974,0.0015597492,5
G,664921,1212,1273682,1988,0.0015569176,5
G,670843,1224,1284958,2002,0.0015541258,5
G,676740,1236,1296222,2018,0.0015529336,5
G,682576,1246,1307478,2032,0.0015502503,5
G,688427,1258,1318736,2046,0.0015476083,5
G,694262,1270,1329978,2060,0.0015450293,5
G,700115,1282,1341226,2074,0.0015424868,5
f,704089,348,1403794,850,0.00060498563,15
G,705968,1294,1352568,2088,0.0015398798,5
G,711840,1304,1363814,2102,0.0015374263,5
G,717700,1314,1375084,2116,0.0015349862,10
G,723607,1326,1386378,2130,0.0015325571,10
f,724409,380,1444266,892,0.0006170713,14
G,729556,1338,1397662,2146,0.0015316034,10
G,735470,1350,1408936,2160,0.001529262,10
G,741368,1360,1420188,2174,0.0015269835,15
G,747212,1372,1431442,2188,0.0015247365,15
