time,avg_starvation
0,0.5
1,0.5
2,0.5
3,0.5
4,0.5
5,0.5
6,0.5
7,0.5
8,0.5
9,0.5
10,0.5
11,0.5
12,0.5
13,0.5
14,0.5
15,0.5
16,0.5
17,0.5
18,0.5
19,0.5
20,0.5
21,0.5
22,0.5
23,0.5
24,0.5
25,0.5
26,0.5
27,0.5
28,0.5
29,0.5
30,0.5
31,0.5
32,0.5
33,0.5
34,0.5
35,0.5
36,0.5
37,0.5
38,0.5
39,0.5
40,0.5
41,0.5
42,0.5
43,0.5
44,0.5
45,0.5
46,0.5
47,0.5
48,0.5
49,0.5
50,0.5
51,0.5
52,0.5
53,0.5
54,0.5
55,0.5
56,0.5
57,0.5
58,0.5
59,0.5
60,0.5
61,0.5
62,0.5
63,0.5
64,0.5
65,0.5
66,0.5
67,0.5
68,0.5
69,0.5
70,0.5
71,0.5
72,0.5
73,0.5
74,0.5
75,0.5
76,0.5
77,0.5
78,0.5
79,0.5
80,0.5
81,0.5
82,0.5
83,0.5
84,0.5
85,0.5
86,0.5
87,0.5
88,0.5
89,0.5
90,0.5
91,0.5
92,0.5
93,0.5
94,0.5
95,0.49479166
96,0.48969072
97,0.48469388
98,0.47979796
99,0.475
100,0.47029704
101,0.46568626
102,0.46116504
103,0.45673078
104,0.45238096
105,0.4481132
106,0.44392523
107,0.4398148
108,0.4357798
109,0.4318182
110,0.4279279
111,0.42410713
112,0.42035398
113,0.4166667
114,0.41304347
115,0.40948278
116,0.4059829
117,0.40254238
118,0.39915967
119,0.3958333
120,0.39256197
121,0.38934427
122,0.38617885
123,0.3830645
124,0.38
125,0.37698412
126,0.37401575
127,0.37109375
128,0.36821705
129,0.36538464
130,0.36259544
131,0.3598485
132,0.36090225
133,0.3619403
134,0.36296296
135,0.36397058
136,0.3649635
137,0.36594203
138,0.36690646
139,0.36785716
140,0.36879432
141,0.3697183
142,0.37062937
143,0.3715278
144,0.37241378
145,0.37328768
146,0.37414965
147,0.375
148,0.37583894
149,0.37666667
150,0.37748343
151,0.37828946
152,0.37908497
153,0.37987012
154,0.38064516
155,0.38141024
156,0.3821656
157,0.38291138
158,0.3836478
159,0.384375
160,0.38509315
161,0.38580248
162,0.38650307
163,0.3871951
164,0.38787878
165,0.38855422
166,0.38922155
167,0.38988096
168,0.39053255
169,0.39117646
170,0.39181286
171,0.39244187
172,0.3930636
173,0.3936782
174,0.39428574
175,0.39488637
176,0.39548022
177,0.3960674
178,0.39664805
179,0.39722222
180,0.39779007
181,0.39835167
182,0.3989071
183,0.3994565
184,0.39999998
185,0.40053764
186,0.40106952
187,0.40159577
188,0.40211642
189,0.40263158
190,0.40314138
191,0.4036458
192,0.40414506
193,0.40463918
194,0.4051282
195,0.40561223
196,0.40609136
197,0.40656567
198,0.40703517
199,0.4075
200,0.40796018
201,0.40841585
202,0.408867
203,0.40931374
204,0.4097561
205,0.41019416
206,0.41062802
207,0.4110577
208,0.41148323
209,0.41190475
210,0.41232228
211,0.41273585
212,0.41314554
213,0.4135514
214,0.41395348
215,0.41435185
216,0.41474655
217,0.4151376
218,0.4155251
219,0.4159091
220,0.41402715
221,0.41216215
222,0.4103139
223,0.40848213
224,0.40666667
225,0.40486723
226,0.40308368
227,0.4013158
228,0.3995633
229,0.39782608
230,0.3961039
231,0.39439654
232,0.39270386
233,0.39102566
234,0.3893617
235,0.38771188
236,0.38607594
237,0.38445377
238,0.3828452
239,0.38125
240,0.37966806
241,0.37809917
242,0.37654322
243,0.375
244,0.37346938
245,0.37195122
246,0.37044534
247,0.36895162
248,0.36746988
249,0.366
250,0.36454183
251,0.36309522
252,0.36166006
253,0.36023623
254,0.35882354
255,0.35742188
256,0.35603112
257,0.35465115
258,0.35328186
259,0.35384616
260,0.35440612
261,0.3549618
262,0.3555133
263,0.3560606
264,0.35660377
265,0.35714287
266,0.3576779
267,0.35820895
268,0.35873607
269,0.35925925
270,0.35977858
271,0.3602941
272,0.36080587
273,0.36131388
274,0.3618182
275,0.36231884
276,0.36281586
277,0.36330935
278,0.36379927
279,0.3642857
280,0.36476868
281,0.3652482
282,0.36572438
283,0.36619717
284,0.36666667
285,0.36713287
286,0.36759582
287,0.36805555
288,0.3685121
289,0.3689655
290,0.36941582
291,0.369863
292,0.37030715
293,0.37074828
294,0.37118644
295,0.3716216
296,0.37205386
297,0.37248322
298,0.3729097
299,0.37333333
300,0.37375414
301,0.3741722
302,0.37458748
303,0.375
304,0.37540984
305,0.375817
306,0.37622148
307,0.3766234
308,0.37702265
309,0.37741935
310,0.37781352
311,0.37820512
312,0.37859425
313,0.37898088
314,0.3793651
315,0.37974682
316,0.38012618
317,0.38050315
318,0.38087773
319,0.38125
320,0.38161993
321,0.38198757
322,0.38235295
323,0.38271606
324,0.3830769
325,0.38343558
326,0.38379204
327,0.38414633
328,0.38449848
329,0.38484848
330,0.3851964
331,0.38554215
332,0.3858859
333,0.38622755
334,0.38656718
335,0.38690478
336,0.38724035
337,0.38757396
338,0.3879056
339,0.3882353
340,0.38856304
341,0.3888889
342,0.38921285
343,0.3895349
344,0.3898551
345,0.3901734
346,0.3904899
347,0.3908046
348,0.39111748
349,0.3914286
350,0.39173788
351,0.39204544
352,0.39235127
353,0.39265537
354,0.39295775
355,0.39325842
356,0.39355743
357,0.39385474
358,0.39415044
359,0.39444447
360,0.39473683
361,0.39502764
362,0.3953168
363,0.3956044
364,0.3958904
365,0.39617485
366,0.3964578
367,0.39673913
368,0.39701897
369,0.3972973
370,0.39757413
371,0.39784947
372,0.39812332
373,0.39839572
374,0.39866668
375,0.39893618
376,0.39920425
377,0.3994709
378,0.39973617
379,0.4
380,0.40026248
381,0.40052354
382,0.4007833
383,0.40104166
384,0.4012987
385,0.4015544
386,0.4018088
387,0.40206185
388,0.40231365
389,0.4025641
390,0.40281332
391,0.4030612
392,0.40330788
393,0.4035533
394,0.40379748
395,0.4040404
396,0.40428212
397,0.4045226
398,0.4047619
399,0.405
400,0.4052369
401,0.40547264
402,0.40570718
403,0.4059406
404,0.40617284
405,0.40640396
406,0.4066339
407,0.40563726
408,0.40464547
409,0.40365854
410,0.4026764
411,0.40169904
412,0.40072638
413,0.39975846
414,0.3987952
415,0.39783657
416,0.39688247
417,0.39593303
418,0.39498806
419,0.39404762
420,0.39311165
421,0.3921801
422,0.39125293
423,0.3903302
424,0.38941175
425,0.38849765
426,0.38758785
427,0.38668224
428,0.38578087
429,0.3848837
430,0.3839907
431,0.38310185
432,0.3822171
433,0.3813364
434,0.3804598
435,0.37958717
436,0.37871855
437,0.37785387
438,0.37699318
439,0.37613636
440,0.37528345
441,0.3744344
442,0.37358916
443,0.37274775
444,0.3719101
445,0.37107623
446,0.37024608
447,0.36941963
448,0.36859688
449,0.36777776
450,0.3669623
451,0.36615044
452,0.36534214
453,0.3656388
454,0.36593407
455,0.36622807
456,0.36652076
457,0.36681223
458,0.36710238
459,0.3673913
460,0.36767894
461,0.36796537
462,0.36825055
463,0.36853448
464,0.3688172
465,0.36909872
466,0.369379
467,0.3696581
468,0.36993605
469,0.37021276
470,0.37048832
471,0.3707627
472,0.37103593
473,0.37130803
474,0.37157893
475,0.37184873
476,0.3721174
477,0.37238494
478,0.37265134
479,0.37291667
480,0.37318087
481,0.373444
482,0.373706
483,0.37396693
484,0.3742268
485,0.3744856
486,0.37474334
487,0.375
488,0.37525564
489,0.37551022
490,0.37576377
491,0.37601626
492,0.37626773
493,0.37651822
494,0.3767677
495,0.37701613
496,0.37726358
497,0.37751004
498,0.37775552
499,0.378
500,0.3782435
501,0.37848607
502,0.3787276
503,0.37896824
504,0.37821782
505,0.37747037
506,0.37672585
507,0.37598425
508,0.37524557
509,0.3745098
510,0.3737769
511,0.37304688
512,0.3723197
513,0.37159532
514,0.3708738
515,0.37015504
516,0.36943907
517,0.36872587
518,0.3680154
519,0.3673077
520,0.3666027
521,0.3659004
522,0.36520076
523,0.3645038
524,0.36380953
525,0.36311787
526,0.36242884
527,0.36174244
528,0.3610586
529,0.36037737
530,0.35969868
531,0.35902256
532,0.35834897
533,0.3576779
534,0.35700935
535,0.35634327
536,0.3556797
537,0.35501862
538,0.35435992
539,0.35462964
540,0.35489833
541,0.35516605
542,0.3554328
543,0.35569853
544,0.3559633
545,0.3562271
546,0.35648996
547,0.35675183
548,0.35701275
549,0.35727274
550,0.35753176
551,0.35778987
552,0.358047
553,0.35830325
554,0.35855857
555,0.35881293
556,0.35906643
557,0.359319
558,0.35957068
559,0.35982144
560,0.3600713
561,0.36032027
562,0.3605684
563,0.36081558
564,0.36106193
565,0.3613074
566,0.36155203
567,0.36179578
568,0.36203867
569,0.3622807
570,0.3625219
571,0.36276224
572,0.36300173
573,0.36324042
574,0.36347824
575,0.3637153
576,0.36395147
577,0.36418685
578,0.36442143
579,0.36465517
580,0.36488813
581,0.3651203
582,0.36535162
583,0.3655822
584,0.36581197
585,0.36604095
586,0.36626917
587,0.36649662
588,0.36672324
589,0.36694914
590,0.36717427
591,0.36739865
592,0.3667791
593,0.3661616
594,0.36554623
595,0.3649329
596,0.3643216
597,0.36371237
598,0.36310518
599,0.3625
600,0.3618968
601,0.3612957
602,0.36069652
603,0.36009932
604,0.35950413
605,0.35891092
606,0.3583196
607,0.35773027
608,0.35714287
609,0.35655737
610,0.35597384
611,0.35539216
612,0.35481238
613,0.35423452
614,0.35365856
615,0.35308442
616,0.35251218
617,0.35194176
618,0.3513732
619,0.35080644
620,0.35024154
621,0.34967846
622,0.34911716
623,0.34855768
624,0.348
625,0.3474441
626,0.34688997
627,0.3463376
628,0.345787
629,0.3452381
630,0.34469098
631,0.34414557
632,0.34360188
633,0.34305996
634,0.3425197
635,0.3419811
636,0.34144425
637,0.3416928
638,0.34194052
639,0.34218752
640,0.3424337
641,0.34267914
642,0.34292382
643,0.34316772
644,0.34341085
645,0.34365326
646,0.3438949
647,0.34413582
648,0.34437597
649,0.3446154
650,0.34485406
651,0.34509203
652,0.34532925
653,0.34556574
654,0.34580153
655,0.34603658
656,0.34627092
657,0.34650457
658,0.34673747
659,0.3469697
660,0.34720123
661,0.34743202
662,0.34766215
663,0.34789157
664,0.3481203
665,0.34834835
666,0.3485757
667,0.3488024
668,0.3490284
669,0.3492537
670,0.3494784
671,0.34970236
672,0.3499257
673,0.35014838
674,0.35037035
675,0.35059172
676,0.3508124
677,0.35103244
678,0.35125184
679,0.3514706
680,0.35168868
681,0.35190615
682,0.352123
683,0.3523392
684,0.35255474
685,0.35276967
686,0.35298398
687,0.35319766
688,0.35341075
689,0.3536232
690,0.35383502
691,0.35404623
692,0.35425687
693,0.35446686
694,0.35467625
695,0.35488504
696,0.35509324
697,0.35530087
698,0.35550785
699,0.3557143
700,0.35592014
701,0.35612535
702,0.35633
703,0.3565341
704,0.35673758
705,0.3569405
706,0.35714287
707,0.35734463
708,0.35754585
709,0.35774648
710,0.35794657
711,0.35814607
712,0.35834503
713,0.35854343
714,0.35874125
715,0.35893854
716,0.35913527
717,0.3593315
718,0.3595271
719,0.35972223
720,0.35991678
721,0.36011082
722,0.3603043
723,0.36049724
724,0.36
725,0.35950413
726,0.35900962
727,0.35851648
728,0.3580247
729,0.35753423
730,0.35704514
731,0.35655737
732,0.35607094
733,0.3555858
734,0.35510203
735,0.35461956
736,0.3541384
737,0.35365853
738,0.35318
739,0.35270268
740,0.35222673
741,0.351752
742,0.3512786
743,0.35080644
744,0.3503356
745,0.34986597
746,0.3493976
747,0.34893048
748,0.3484646
749,0.348
750,0.34753662
751,0.34707445
752,0.34661356
753,0.34615386
754,0.34569538
755,0.3452381
756,0.34478205
757,0.34432718
758,0.3438735
759,0.34342104
760,0.34296978
761,0.3425197
762,0.34207076
763,0.34162304
764,0.34117648
765,0.34073108
766,0.34028682
767,0.33984375
768,0.340052
769,0.34025973
770,0.34046692
771,0.34067357
772,0.34087968
773,0.34108528
774,0.34129032
775,0.34149486
776,0.34169883
777,0.34190232
778,0.34210527
779,0.3423077
780,0.3425096
781,0.342711
782,0.3429119
783,0.34311223
784,0.34331208
785,0.34351146
786,0.3437103
787,0.3439086
788,0.34410644
789,0.3443038
790,0.34450063
791,0.34469697
792,0.3448928
793,0.34508815
794,0.34528303
795,0.3454774
796,0.34567127
797,0.34586465
798,0.34605756
799,0.34625
800,0.34644192
801,0.34663343
802,0.3468244
803,0.34701493
804,0.34720498
805,0.34739453
806,0.34758365
807,0.3477723
808,0.34796044
809,0.34814817
810,0.3483354
811,0.3485222
812,0.34870848
813,0.34889436
814,0.34907973
815,0.34926468
816,0.34944922
817,0.34963325
818,0.34981686
819,0.35
820,0.3501827
821,0.35036495
822,0.35054678
823,0.35072815
824,0.35090908
825,0.3510896
826,0.35126966
827,0.35144928
828,0.35162848
829,0.35180724
830,0.35198557
831,0.35216346
832,0.35234094
833,0.352518
834,0.35269463
835,0.35287082
836,0.3530466
837,0.35322195
838,0.3533969
839,0.35357141
840,0.35374555
841,0.35391927
842,0.35409254
843,0.3542654
844,0.3544379
845,0.35460994
846,0.35478157
847,0.3549528
848,0.35512367
849,0.3552941
850,0.35546416
851,0.3556338
852,0.35580307
853,0.3559719
854,0.35614038
855,0.3563084
856,0.35647607
857,0.35664338
858,0.35681027
859,0.35697675
860,0.35656214
861,0.35614848
862,0.35573578
863,0.3553241
864,0.3549133
865,0.35450345
866,0.35409456
867,0.35368663
868,0.35327962
869,0.35287356
870,0.35246843
871,0.3520642
872,0.35166094
873,0.35125858
874,0.35085714
875,0.3504566
876,0.350057
877,0.3496583
878,0.3492605
879,0.34886363
880,0.34846765
881,0.34807256
882,0.34767836
883,0.3472851
884,0.34689265
885,0.3465011
886,0.34611046
887,0.3457207
888,0.34533185
889,0.34494382
890,0.3445567
891,0.3441704
892,0.343785
893,0.34340045
894,0.34301674
895,0.3426339
896,0.34225196
897,0.34187084
898,0.34149057
899,0.34111112
900,0.3407325
901,0.34035477
902,0.33997786
903,0.33960176
904,0.3392265
905,0.3388521
906,0.3390298
907,0.33920705
908,0.33938396
909,0.33956045
910,0.33973655
911,0.3399123
912,0.34008762
913,0.3402626
914,0.34043717
915,0.34061134
916,0.34078518
917,0.3409586
918,0.3411317
919,0.34130436
920,0.34147668
921,0.34164858
922,0.34182018
923,0.34199136
924,0.34216216
925,0.3423326
926,0.34250268
927,0.3426724
928,0.34284174
929,0.34301075
930,0.34317937
931,0.34334764
932,0.34351555
933,0.34368306
934,0.34385026
935,0.3440171
936,0.34418356
937,0.34434968
938,0.34451544
939,0.34468085
940,0.3448459
941,0.3450106
942,0.34517497
943,0.345339
944,0.34550264
945,0.34566596
946,0.34582895
947,0.34599155
948,0.34615386
949,0.3463158
950,0.3464774
951,0.34663868
952,0.34679958
953,0.34696016
954,0.3471204
955,0.34728032
956,0.34743994
957,0.34759915
958,0.34775808
959,0.34791666
960,0.3480749
961,0.34823287
962,0.34839046
963,0.34854773
964,0.34870467
965,0.34886128
966,0.34901756
967,0.34917355
968,0.3493292
969,0.34948453
970,0.34963953
971,0.34979424
972,0.3499486
973,0.35010266
974,0.3502564
975,0.34989756
976,0.3495394
977,0.349182
978,0.34882534
979,0.34846938
980,0.34811416
981,0.34775966
982,0.3474059
983,0.34705284
984,0.34670052
985,0.34634888
986,0.345998
987,0.34564778
988,0.3452983
989,0.34494948
990,0.34460142
991,0.34425402
992,0.34390736
993,0.34356135
994,0.34321606
995,0.3428715
996,0.34252757
997,0.34218436
998,0.34184185
999,0.34149998
1000,0.34115884
1001,0.34081835
1002,0.34047857
1003,0.34013945
1004,0.339801
1005,0.33946323
1006,0.3391261
1007,0.3387897
1008,0.33845392
1009,0.3381188
1010,0.33778435
1011,0.3374506
1012,0.3371175
1013,0.33678502
1014,0.33694583
1015,0.3371063
1016,0.33726647
1017,0.33742633
1018,0.33758587
1019,0.3377451
1020,0.33790404
1021,0.3380626
1022,0.33822092
1023,0.3383789
1024,0.3385366
1025,0.33869395
1026,0.33885103
1027,0.3390078
1028,0.33916426
1029,0.3393204
1030,0.33947623
1031,0.3396318
1032,0.33978704
1033,0.33994198
1034,0.34009662
1035,0.34025097
1036,0.34040502
1037,0.34055877
1038,0.34071222
1039,0.34086537
1040,0.34101826
1041,0.34117085
1042,0.34132308
1043,0.3414751
1044,0.3416268
1045,0.34177822
1046,0.34192932
1047,0.34208018
1048,0.34223068
1049,0.34238094
1050,0.34253094
1051,0.3426806
1052,0.34283
1053,0.34297913
1054,0.34312797
1055,0.3432765
1056,0.3434248
1057,0.3435728
1058,0.3437205
1059,0.34386793
1060,0.34401506
1061,0.34416196
1062,0.34430856
1063,0.34445488
1064,0.34460095
1065,0.3447467
1066,0.3448922
1067,0.34503746
1068,0.34518242
1069,0.3453271
1070,0.34547153
1071,0.34561568
1072,0.34575957
1073,0.34590316
1074,0.3460465
1075,0.34618962
1076,0.3463324
1077,0.34647495
1078,0.34615386
1079,0.34583333
1080,0.3455134
1081,0.3451941
1082,0.34487534
1083,0.3445572
1084,0.34423962
1085,0.34392267
1086,0.34360626
1087,0.34329045
1088,0.3429752
1089,0.34266055
1090,0.3423465
1091,0.34203297
1092,0.34172004
1093,0.3414077
1094,0.3410959
1095,0.34078467
1096,0.340474
1097,0.34016395
1098,0.33985442
1099,0.33954546
1100,0.33923703
1101,0.3389292
1102,0.33862194
1103,0.33831522
1104,0.33800906
1105,0.33770344
1106,0.33739838
1107,0.33709386
1108,0.3367899
1109,0.33648646
1110,0.3361836
1111,0.3358813
1112,0.3355795
1113,0.33527827
1114,0.33497757
1115,0.33467743
1116,0.3343778
1117,0.33407873
1118,0.33378017
1119,0.33348215
1120,0.33318466
1121,0.3328877
1122,0.3325913
1123,0.33229536
1124,0.33200002
1125,0.33170515
1126,0.33141083
1127,0.33111703
1128,0.33126658
1129,0.33141592
1130,0.33156496
1131,0.3317138
1132,0.3318623
1133,0.33201057
1134,0.3321586
1135,0.33230633
1136,0.33245385
1137,0.33260107
1138,0.33274803
1139,0.33289474
1140,0.3330412
1141,0.3331874
1142,0.3333333
1143,0.33347902
1144,0.33362445
1145,0.33376962
1146,0.33391458
1147,0.33405924
1148,0.33420366
1149,0.33434784
1150,0.33449173
1151,0.33463544
1152,0.33477885
1153,0.33492202
1154,0.33506495
1155,0.3352076
1156,0.33535004
1157,0.33549222
1158,0.33563417
1159,0.33577585
1160,0.3359173
1161,0.3360585
1162,0.33619946
1163,0.3363402
1164,0.33648068
1165,0.33662093
1166,0.33676094
1167,0.3369007
1168,0.3370402
1169,0.33717948
1170,0.33731854
1171,0.33745736
1172,0.3375959
1173,0.33773422
1174,0.33787233
1175,0.3380102
1176,0.33814782
1177,0.33786076
1178,0.3375742
1179,0.33728814
1180,0.33700255
1181,0.33671743
1182,0.3364328
1183,0.33614865
1184,0.33586496
1185,0.33558178
1186,0.33529907
1187,0.33501685
1188,0.3347351
1189,0.3344538
1190,0.33417296
1191,0.3338926
1192,0.33361274
1193,0.33333334
1194,0.3330544
1195,0.33277592
1196,0.33249792
1197,0.33222038
1198,0.33194327
1199,0.33166665
1200,0.3313905
1201,0.33111483
1202,0.33083957
1203,0.3305648
1204,0.33029047
1205,0.33001658
1206,0.32974315
1207,0.32947022
1208,0.32919767
1209,0.3289256
1210,0.328654
1211,0.32838285
1212,0.32811213
1213,0.32784185
1214,0.32757202
1215,0.32730263
1216,0.3270337
1217,0.32676518
1218,0.32649714
1219,0.3262295
1220,0.32637185
1221,0.32651392
1222,0.32665575
1223,0.32679737
1224,0.32693878
1225,0.32707995
1226,0.32722086
1227,0.32736158
1228,0.327502
1229,0.32764226
1230,0.3277823
1231,0.32792208
1232,0.32806164
1233,0.328201
1234,0.32834008
1235,0.32847896
1236,0.32861763
1237,0.32875603
1238,0.32889426
1239,0.32903224
1240,0.32917002
1241,0.32930756
1242,0.3294449
1243,0.32958198
1244,0.3297189
1245,0.32985556
1246,0.329992
1247,0.3301282
1248,0.3302642
1249,0.3304
1250,0.3305356
1251,0.33067092
1252,0.33080608
1253,0.330941
1254,0.3310757
1255,0.3312102
1256,0.3313445
1257,0.33147854
1258,0.3316124
1259,0.33174604
1260,0.33187947
1261,0.33201265
1262,0.3321457
1263,0.3322785
1264,0.33241105
1265,0.33254343
1266,0.33267564
1267,0.33280757
1268,0.33293933
1269,0.33307087
1270,0.33320218
1271,0.33333334
1272,0.33346426
1273,0.33359498
1274,0.3337255
1275,0.3338558
1276,0.3339859
1277,0.3341158
1278,0.3342455
1279,0.33437502
1280,0.3345043
1281,0.33463338
1282,0.33476228
1283,0.33489096
1284,0.33501947
1285,0.33514774
1286,0.33527583
1287,0.33540374
1288,0.3351435
1289,0.33488372
1290,0.33462432
1291,0.3343653
1292,0.33410674
1293,0.33384854
1294,0.33359075
1295,0.3333333
1296,0.33307633
1297,0.33281973
1298,0.33256352
1299,0.3323077
1300,0.3320523
1301,0.33179724
1302,0.33154258
1303,0.33128834
1304,0.33103448
1305,0.330781
1306,0.33052793
1307,0.33027524
1308,0.33002293
1309,0.32977098
1310,0.32951945
1311,0.32926828
1312,0.32901752
1313,0.32876712
1314,0.3285171
1315,0.32826746
1316,0.32801825
1317,0.32776934
1318,0.32752085
1319,0.3272727
1320,0.327025
1321,0.3267776
1322,0.32653064
1323,0.326284
1324,0.32603773
1325,0.32579187
1326,0.32554632
1327,0.32530123
1328,0.32505643
1329,0.32481205
1330,0.32456797
1331,0.3243243
1332,0.324081
1333,0.32383806
1334,0.32359552
1335,0.32372755
1336,0.3238594
1337,0.32399103
1338,0.3241225
1339,0.32425374
1340,0.3243848
1341,0.32451564
1342,0.3246463
1343,0.32477677
1344,0.32490706
1345,0.32503712
1346,0.32516706
1347,0.32529673
1348,0.32542625
