time,avg_starvation
0,0.5
1,0.5
2,0.5
3,0.5
4,0.5
5,0.5
6,0.5
7,0.5
8,0.5
9,0.5
10,0.5
11,0.5
12,0.5
13,0.5
14,0.5
15,0.5
16,0.5
17,0.5
18,0.5
19,0.5
20,0.5
21,0.5
22,0.5
23,0.5
24,0.5
25,0.5
26,0.5
27,0.5
28,0.5
29,0.5
30,0.5
31,0.5
32,0.5
33,0.5
34,0.5
35,0.5
36,0.5
37,0.5
38,0.5
39,0.5
40,0.5
41,0.5
42,0.5
43,0.5
44,0.5
45,0.5
46,0.5
47,0.5
48,0.5
49,0.5
50,0.5
51,0.5
52,0.5
53,0.5
54,0.5
55,0.5
56,0.5
57,0.5
58,0.5
59,0.5
60,0.5
61,0.5
62,0.5
63,0.5
64,0.5
65,0.5
66,0.5
67,0.5
68,0.5
69,0.5
70,0.5
71,0.5
72,0.5
73,0.5
74,0.5
75,0.5
76,0.5
77,0.5
78,0.5
79,0.49375
80,0.48765433
81,0.48170733
82,0.47590363
83,0.4702381
84,0.46470588
85,0.45930234
86,0.454023
87,0.44886363
88,0.44382024
89,0.4388889
90,0.43406594
91,0.4293478
92,0.4247312
93,0.42021278
94,0.41578948
95,0.4114583
96,0.4072165
97,0.4030612
98,0.39898992
99,0.39499998
100,0.3910891
101,0.3872549
102,0.38349515
103,0.3798077
104,0.37619048
105,0.3726415
106,0.36915886
107,0.36574072
108,0.36238533
109,0.35909092
110,0.35585585
111,0.3526786
112,0.34955752
113,0.34649122
114,0.34347826
115,0.34051722
116,0.33760685
117,0.33898306
118,0.34033614
119,0.34166667
120,0.3429752
121,0.3442623
122,0.34552845
123,0.3467742
124,0.348
125,0.34920636
126,0.3503937
127,0.3515625
128,0.35271317
129,0.35384616
130,0.3549618
131,0.35606062
132,0.35714287
133,0.35820895
134,0.35925925
135,0.3602941
136,0.36131388
137,0.36231884
138,0.36330935
139,0.3642857
140,0.3652482
141,0.36619717
142,0.36713287
143,0.36805555
144,0.3689655
145,0.36986303
146,0.37074828
147,0.3716216
148,0.37248322
149,0.37333333
150,0.37417218
151,0.375
152,0.375817
153,0.3766234
154,0.37741935
155,0.37820512
156,0.37898088
157,0.37974685
158,0.38050315
159,0.38125
160,0.38198757
161,0.38271606
162,0.38343558
163,0.38414633
164,0.38484848
165,0.38554215
166,0.38622755
167,0.38690478
168,0.38757396
169,0.3882353
170,0.3888889
171,0.3895349
172,0.39017344
173,0.3908046
174,0.3914286
175,0.39204547
176,0.39265537
177,0.39325842
178,0.39385474
179,0.39444447
180,0.39502764
181,0.3956044
182,0.39617485
183,0.39673913
184,0.3972973
185,0.39784944
186,0.39839572
187,0.39893618
188,0.3968254
189,0.39473683
190,0.39267015
191,0.390625
192,0.38860106
193,0.38659793
194,0.3846154
195,0.38265306
196,0.38071066
197,0.37878788
198,0.3768844
199,0.375
200,0.37313432
201,0.37128714
202,0.36945814
203,0.36764705
204,0.36585367
205,0.3640777
206,0.36231884
207,0.36057693
208,0.35885167
209,0.35714287
210,0.35545024
211,0.3537736
212,0.35211265
213,0.3504673
214,0.3488372
215,0.3472222
216,0.34562212
217,0.3440367
218,0.34246576
219,0.34090906
220,0.33936653
221,0.33783782
222,0.33632287
223,0.33482143
224,0.3333333
225,0.3318584
226,0.33039647
227,0.32894737
228,0.32751092
229,0.32608694
230,0.32467532
231,0.32327586
232,0.32188842
233,0.32051283
234,0.31914896
235,0.3177966
236,0.3164557
237,0.3172269
238,0.3179916
239,0.31875002
240,0.3195021
241,0.32024795
242,0.32098764
243,0.32172132
244,0.32244897
245,0.32317072
246,0.32388663
247,0.32459676
248,0.3253012
249,0.326
250,0.32669324
251,0.32738096
252,0.32806325
253,0.32874018
254,0.32941177
255,0.33007812
256,0.3307393
257,0.33139536
258,0.33204633
259,0.33269233
260,0.3333333
261,0.33396947
262,0.33460075
263,0.33522725
264,0.33584905
265,0.33646616
266,0.33707863
267,0.33768657
268,0.33828998
269,0.33888888
270,0.33948338
271,0.34007353
272,0.34065935
273,0.34124088
274,0.34181815
275,0.3423913
276,0.3429603
277,0.34352517
278,0.34408602
279,0.34464288
280,0.3451957
281,0.34574467
282,0.34628975
283,0.34683096
284,0.34736842
285,0.34790212
286,0.34843206
287,0.3489583
288,0.349481
289,0.35
290,0.35051546
291,0.3510274
292,0.35153586
293,0.35204083
294,0.35254237
295,0.35304052
296,0.35353535
297,0.35402685
298,0.35451505
299,0.35500002
300,0.35548174
301,0.35596025
302,0.35643566
303,0.3569079
304,0.35737705
305,0.35784316
306,0.35830617
307,0.35876623
308,0.3592233
309,0.35967743
310,0.36012864
311,0.36057693
312,0.36102235
313,0.36146498
314,0.36190477
315,0.36234176
316,0.36277604
317,0.36320755
318,0.36363637
319,0.3640625
320,0.36292833
321,0.36180127
322,0.36068112
323,0.35956788
324,0.35846153
325,0.35736197
326,0.35626912
327,0.35518295
328,0.35410333
329,0.35303032
330,0.35196376
331,0.35090363
332,0.34984985
333,0.3488024
334,0.3477612
335,0.34672618
336,0.34569734
337,0.34467456
338,0.34365782
339,0.34264708
340,0.34164223
341,0.3406433
342,0.33965015
343,0.3386628
344,0.33768117
345,0.3367052
346,0.33573487
347,0.33477014
348,0.33381087
349,0.33285713
350,0.33190882
351,0.3309659
352,0.33002833
353,0.32909602
354,0.32816902
355,0.3272472
356,0.3277311
357,0.3282123
358,0.32869083
359,0.32916665
360,0.3296399
361,0.3301105
362,0.3305785
363,0.33104396
364,0.33150685
365,0.33196723
366,0.33242506
367,0.33288044
368,0.33333334
369,0.3337838
370,0.3342318
371,0.3346774
372,0.33512062
373,0.3355615
374,0.33600003
375,0.33643615
376,0.33687
377,0.33730158
378,0.33773088
379,0.3381579
380,0.3385827
381,0.33900523
382,0.3394256
383,0.33984375
384,0.34025973
385,0.34067357
386,0.34108526
387,0.34149486
388,0.34190232
389,0.3423077
390,0.342711
391,0.34311223
392,0.34351146
393,0.34390864
394,0.3443038
395,0.34469697
396,0.34508815
397,0.3454774
398,0.34586465
399,0.34625
400,0.34663343
401,0.3470149
402,0.34739453
403,0.34777227
404,0.34814817
405,0.34852216
406,0.34889436
407,0.3492647
408,0.34963325
409,0.35000002
410,0.35036498
411,0.35072815
412,0.3510896
413,0.35144928
414,0.35180724
415,0.35216346
416,0.35251796
417,0.35287082
418,0.35322195
419,0.35357141
420,0.35391924
421,0.3542654
422,0.3546099
423,0.3549528
424,0.3552941
425,0.3556338
426,0.35480094
427,0.35397196
428,0.35314685
429,0.35232556
430,0.35150814
431,0.35069445
432,0.34988454
433,0.34907833
434,0.34827584
435,0.34747708
436,0.34668192
437,0.3458904
438,0.3451025
439,0.34431818
440,0.34353742
441,0.3427602
442,0.34198645
443,0.3412162
444,0.34044945
445,0.3396861
446,0.33892617
447,0.33816963
448,0.33741647
449,0.33666664
450,0.33592016
451,0.335177
452,0.33443707
453,0.33370042
454,0.33296704
455,0.33223683
456,0.33150986
457,0.33078602
458,0.33006537
459,0.32934785
460,0.3286334
461,0.3279221
462,0.32721382
463,0.32650864
464,0.32580644
465,0.32510728
466,0.32441115
467,0.32371795
468,0.32409382
469,0.32446808
470,0.32484078
471,0.32521188
472,0.3255814
473,0.32594937
474,0.3263158
475,0.32668066
476,0.327044
477,0.32740587
478,0.32776618
479,0.328125
480,0.32848233
481,0.32883817
482,0.32919255
483,0.32954547
484,0.32989693
485,0.33024693
486,0.3305955
487,0.33094263
488,0.33128834
489,0.33163264
490,0.33197555
491,0.33231705
492,0.33265722
493,0.33299595
494,0.33333334
495,0.33366936
496,0.33400404
497,0.33433735
498,0.33466935
499,0.33499998
500,0.33532935
501,0.33565736
502,0.3359841
503,0.33630952
504,0.33663368
505,0.3369565
506,0.33727813
507,0.33759844
508,0.33791748
509,0.33823532
510,0.33855188
511,0.3388672
512,0.3391813
513,0.33949417
514,0.33980584
515,0.34011626
516,0.34042555
517,0.3407336
518,0.34104046
519,0.34134614
520,0.34165066
521,0.34195402
522,0.34225622
523,0.34255725
524,0.34285712
525,0.3431559
526,0.34345353
527,0.34375
528,0.3431002
529,0.34245282
530,0.3418079
531,0.34116542
532,0.34052533
533,0.33988765
534,0.33925235
535,0.3386194
536,0.33798882
537,0.3373606
538,0.3367347
539,0.33611113
540,0.3354898
541,0.33487085
542,0.33425415
543,0.3336397
544,0.3330275
545,0.3324176
546,0.33180988
547,0.33120438
548,0.3306011
549,0.32999998
550,0.32940108
551,0.32880437
552,0.32820976
553,0.32761735
554,0.32702702
555,0.32643884
556,0.3258528
557,0.3252688
558,0.32468694
559,0.32410714
560,0.32352942
561,0.32295373
562,0.32238013
563,0.32180852
564,0.32123893
565,0.32067138
566,0.32010582
567,0.31954226
568,0.3189807
569,0.31842107
570,0.31873906
571,0.31905594
572,0.3193717
573,0.3196864
574,0.32
575,0.3203125
576,0.32062393
577,0.32093424
578,0.32124352
579,0.32155174
580,0.32185888
581,0.32216495
582,0.32246998
583,0.32277396
584,0.32307693
585,0.32337886
586,0.32367975
587,0.3239796
588,0.32427844
589,0.32457626
590,0.3248731
591,0.3251689
592,0.32546374
593,0.32575756
594,0.32605043
595,0.32634228
596,0.32663316
597,0.32692307
598,0.32721204
599,0.3275
600,0.327787
601,0.32807308
602,0.3283582
603,0.32864237
604,0.3289256
605,0.32920793
606,0.3294893
607,0.32976973
608,0.33004928
609,0.33032787
610,0.33060557
611,0.33088237
612,0.33115822
613,0.33143324
614,0.3317073
615,0.33198053
616,0.33225283
617,0.33252427
618,0.33279485
619,0.3330645
620,0.3333333
621,0.3336013
622,0.33386838
623,0.3341346
624,0.3344
625,0.33466452
626,0.3349282
627,0.33519107
628,0.3354531
629,0.33571428
630,0.33597463
631,0.33623418
632,0.3364929
633,0.3367508
634,0.33700788
635,0.33726415
636,0.33751965
637,0.33777428
638,0.33802816
639,0.33828124
640,0.33853355
641,0.33878505
642,0.33903578
643,0.33928573
644,0.33953488
645,0.33978328
646,0.3400309
647,0.3402778
648,0.3405239
649,0.34076923
650,0.34101385
651,0.34125766
652,0.34150076
653,0.3417431
654,0.3412214
655,0.34070122
656,0.34018266
657,0.33966565
658,0.33915022
659,0.33863634
660,0.33812404
661,0.33761328
662,0.33710408
663,0.33659637
664,0.3360902
665,0.3355856
666,0.33508247
667,0.33458084
668,0.33408073
669,0.3335821
670,0.33308494
671,0.33258927
672,0.3320951
673,0.3316024
674,0.33111113
675,0.3306213
676,0.33013293
677,0.32964602
678,0.32916054
679,0.32867646
680,0.32819384
681,0.3277126
682,0.3272328
683,0.3267544
684,0.32627738
685,0.32580176
686,0.32532752
687,0.32485467
688,0.32438314
689,0.32391304
690,0.3234443
691,0.3229769
692,0.32251084
693,0.3220461
694,0.32158273
695,0.32112068
696,0.32066
697,0.32020056
698,0.3197425
699,0.3192857
700,0.31883025
701,0.31837606
702,0.31863442
703,0.31889206
704,0.31914896
705,0.3194051
706,0.31966054
707,0.31991524
708,0.32016924
709,0.32042253
710,0.3206751
711,0.32092696
712,0.32117814
713,0.3214286
714,0.32167834
715,0.32192737
716,0.32217574
717,0.3224234
718,0.32267037
719,0.3229167
720,0.32316226
721,0.3234072
722,0.32365146
723,0.32389504
724,0.32413793
725,0.32438016
726,0.32462174
727,0.32486263
728,0.32510287
729,0.32534248
730,0.3255814
731,0.32581967
732,0.3260573
733,0.32629427
734,0.3265306
735,0.3267663
736,0.32700133
737,0.32723576
738,0.32746953
739,0.3277027
740,0.32793522
741,0.32816714
742,0.32839838
743,0.32862902
744,0.32885906
745,0.32908845
746,0.32931727
747,0.32954544
748,0.32977304
749,0.32999998
750,0.33022636
751,0.33045214
752,0.3306773
753,0.33090186
754,0.33112586
755,0.3313492
756,0.331572
757,0.3317942
758,0.3320158
759,0.33157897
760,0.33114323
761,0.33070865
762,0.33027524
763,0.32984293
764,0.32941177
765,0.32898173
766,0.3285528
767,0.328125
768,0.32769832
769,0.3272727
770,0.32684827
771,0.32642487
772,0.3260026
773,0.3255814
774,0.32516128
775,0.32474226
776,0.3243243
777,0.32390746
778,0.32349163
779,0.3230769
780,0.32266325
781,0.32225063
782,0.3218391
783,0.32142857
784,0.3210191
785,0.3206107
786,0.3202033
787,0.31979695
788,0.31939164
789,0.31898737
790,0.31858408
791,0.3181818
792,0.31778058
793,0.31738037
794,0.31761009
795,0.3178392
796,0.31806773
797,0.31829572
798,0.31852317
799,0.31875002
800,0.31897628
801,0.319202
802,0.31942713
803,0.31965172
804,0.31987578
805,0.32009923
806,0.32032216
807,0.32054454
808,0.3207664
809,0.32098764
810,0.3212084
811,0.32142857
812,0.32164824
813,0.32186732
814,0.3220859
815,0.32230392
816,0.32252142
817,0.32273838
818,0.32295483
819,0.32317072
820,0.32338613
821,0.32360098
822,0.32381532
823,0.32402912
824,0.3242424
825,0.3244552
826,0.32466745
827,0.32487923
828,0.32509047
829,0.32530123
830,0.32551143
831,0.32572114
832,0.32593036
833,0.3261391
834,0.3263473
835,0.326555
836,0.32676226
837,0.32696897
838,0.3271752
839,0.32738096
840,0.3275862
841,0.32779098
842,0.32799524
843,0.32819903
844,0.32840237
845,0.3286052
846,0.32880753
847,0.3290094
848,0.32921082
849,0.32941175
850,0.32961223
851,0.32981223
852,0.33001173
853,0.33021078
854,0.33040935
855,0.33060747
856,0.33080512
857,0.33100235
858,0.33119908
859,0.33139536
860,0.3315912
861,0.33178654
862,0.33198145
863,0.3321759
864,0.33236992
865,0.33256352
866,0.33275664
867,0.3329493
868,0.33314154
869,0.3333333
870,0.3335247
871,0.3337156
872,0.33390605
873,0.3340961
874,0.3337143
875,0.3333333
876,0.33295327
877,0.332574
878,0.3321957
879,0.33181816
880,0.33144155
881,0.33106577
882,0.33069083
883,0.33031675
884,0.3299435
885,0.3295711
886,0.32919955
887,0.3288288
888,0.32845896
889,0.3280899
890,0.32772166
891,0.32735425
892,0.32698768
893,0.32662192
894,0.326257
895,0.32589287
896,0.32552955
897,0.32516703
898,0.32480532
899,0.32444444
900,0.32408434
901,0.32372504
902,0.32336658
903,0.32300884
904,0.32265192
905,0.32229578
906,0.32194048
907,0.3215859
908,0.3212321
909,0.32087913
910,0.3205269
911,0.32017544
912,0.31982476
913,0.31947485
914,0.31912568
915,0.3187773
916,0.3189749
917,0.3191721
918,0.3193689
919,0.3195652
920,0.31976113
921,0.3199566
922,0.3201517
923,0.3203463
924,0.32054055
925,0.32073432
926,0.32092774
927,0.32112068
928,0.32131326
929,0.32150537
930,0.32169712
931,0.32188842
932,0.3220793
933,0.3222698
934,0.32245988
935,0.32264957
936,0.32283884
937,0.32302773
938,0.3232162
939,0.32340425
940,0.32359195
941,0.3237792
942,0.32396606
943,0.32415253
944,0.32433861
945,0.3245243
946,0.3247096
947,0.3248945
948,0.32507902
949,0.32526314
950,0.3254469
951,0.32563025
952,0.32581323
953,0.3259958
954,0.326178
955,0.32635984
956,0.32654127
957,0.32672232
958,0.32690302
959,0.32708335
960,0.32726327
961,0.32744282
962,0.327622
963,0.3278008
964,0.32797927
965,0.32815737
966,0.32833505
967,0.32851237
968,0.32868937
969,0.32886598
970,0.32904223
971,0.3292181
972,0.32939363
973,0.3295688
974,0.32974356
975,0.32991803
976,0.33009213
977,0.33026585
978,0.3304392
979,0.33061224
980,0.33078492
981,0.33095723
982,0.3311292
983,0.33079267
984,0.33045685
985,0.3301217
986,0.32978725
987,0.32945347
988,0.32912034
989,0.32878786
990,0.3284561
991,0.328125
992,0.32779455
993,0.3274648
994,0.32713568
995,0.32680723
996,0.32647943
997,0.32615232
998,0.3258258
999,0.3255
1000,0.3251748
1001,0.32485032
1002,0.32452643
1003,0.3242032
1004,0.3238806
1005,0.32355866
1006,0.32323733
1007,0.3229167
1008,0.32259664
1009,0.32227722
1010,0.32195845
1011,0.3216403
1012,0.3213228
1013,0.32100594
1014,0.32068965
1015,0.320374
1016,0.320059
1017,0.3197446
1018,0.31943083
1019,0.31911767
1020,0.3188051
1021,0.31849313
1022,0.3181818
1023,0.3178711
1024,0.31756097
1025,0.31773877
1026,0.31791627
1027,0.3180934
1028,0.31827015
1029,0.3184466
1030,0.3186227
1031,0.31879845
1032,0.31897387
1033,0.31914893
1034,0.31932366
1035,0.31949806
1036,0.31967214
1037,0.31984586
1038,0.32001925
1039,0.3201923
1040,0.32036504
1041,0.32053745
1042,0.32070947
1043,0.32088125
1044,0.3210526
1045,0.32122374
1046,0.32139444
1047,0.32156488
1048,0.321735
1049,0.32190478
1050,0.3220742
1051,0.32224333
1052,0.32241213
1053,0.32258064
1054,0.32274884
1055,0.3229167
1056,0.3230842
1057,0.32325143
1058,0.32341832
1059,0.3235849
1060,0.32375118
1061,0.32391715
1062,0.3240828
1063,0.32424814
1064,0.32441312
1065,0.32457787
1066,0.32474226
1067,0.32490635
1068,0.32507014
1069,0.32523364
1070,0.32539684
1071,0.32555968
1072,0.32572228
1073,0.32588452
1074,0.32604653
1075,0.32620817
1076,0.32636955
1077,0.32653064
1078,0.3266914
1079,0.32685184
1080,0.32701203
1081,0.3267098
1082,0.32640815
1083,0.32610703
1084,0.32580644
1085,0.32550645
1086,0.325207
1087,0.32490808
1088,0.32460973
1089,0.3243119
1090,0.32401466
1091,0.32371795
1092,0.32342178
1093,0.32312614
1094,0.32283103
1095,0.3225365
1096,0.3222425
1097,0.321949
1098,0.32165605
1099,0.32136363
1100,0.32107174
1101,0.3207804
1102,0.3204896
1103,0.32019925
1104,0.3199095
1105,0.31962025
1106,0.31933153
1107,0.31904334
1108,0.31875563
1109,0.31846845
1110,0.3181818
1111,0.31789568
1112,0.31761009
1113,0.31732494
1114,0.31704035
1115,0.31675628
1116,0.3164727
1117,0.31618965
1118,0.31590706
1119,0.315625
1120,0.31534344
1121,0.3150624
1122,0.31478184
1123,0.3145018
1124,0.31422222
1125,0.31394315
1126,0.31366462
1127,0.31338653
1128,0.3135518
1129,0.31371683
1130,0.31388152
1131,0.31404594
1132,0.31421006
1133,0.3143739
1134,0.31453747
1135,0.31470072
1136,0.31486368
1137,0.31502634
1138,0.31518877
1139,0.3153509
1140,0.31551272
1141,0.31567425
1142,0.31583554
1143,0.3159965
1144,0.3161572
1145,0.31631762
1146,0.31647778
1147,0.31663764
1148,0.3167972
1149,0.31695652
1150,0.31711555
1151,0.3172743
1152,0.31743276
1153,0.31759098
1154,0.3177489
1155,0.31790656
1156,0.31806397
1157,0.31822106
1158,0.3183779
1159,0.3185345
1160,0.31869078
1161,0.31884682
1162,0.31900257
1163,0.31915808
1164,0.3193133
1165,0.31946826
1166,0.31962296
1167,0.31977737
1168,0.31993157
1169,0.32008547
1170,0.32023913
1171,0.3203925
1172,0.3205456
1173,0.32069847
1174,0.32085106
1175,0.3210034
1176,0.3211555
1177,0.3213073
1178,0.32145888
1179,0.32161015
1180,0.32176122
1181,0.32191202
1182,0.32206255
1183,0.32221282
1184,0.32236287
1185,0.32251263
1186,0.32266217
1187,0.32281142
1188,0.32296047
1189,0.32310927
1190,0.32325774
1191,0.32340604
1192,0.32355407
1193,0.32370186
1194,0.32384938
1195,0.32399666
1196,0.3241437
1197,0.32429048
1198,0.32443702
1199,0.32458335
1200,0.32472938
1201,0.3248752
1202,0.32460517
1203,0.32433555
1204,0.3240664
1205,0.32379767
1206,0.32352942
1207,0.3232616
1208,0.32299423
1209,0.32272726
1210,0.32246077
1211,0.3221947
1212,0.3219291
1213,0.32166392
1214,0.32139918
1215,0.32113487
1216,0.320871
1217,0.32060754
1218,0.32034457
1219,0.32008195
1220,0.3198198
1221,0.31955808
1222,0.3192968
1223,0.31903595
1224,0.3187755
1225,0.31851548
1226,0.3182559
1227,0.31799674
1228,0.317738
1229,0.31747967
1230,0.31722176
1231,0.31696427
1232,0.31670722
1233,0.31645057
1234,0.31619433
1235,0.31593853
1236,0.3156831
1237,0.3154281
1238,0.3151735
1239,0.31491935
1240,0.31466562
1241,0.31441224
1242,0.31415927
1243,0.31390676
1244,0.3136546
1245,0.3134029
1246,0.31315154
1247,0.31290063
1248,0.31265014
1249,0.3128
1250,0.31294966
1251,0.31309903
1252,0.31324822
1253,0.31339714
1254,0.31354582
1255,0.31369427
1256,0.31384248
1257,0.31399047
1258,0.3141382
1259,0.31428573
1260,0.31443298
1261,0.31458002
1262,0.31472683
1263,0.3148734
1264,0.3150198
1265,0.31516588
1266,0.31531176
1267,0.3154574
1268,0.31560284
1269,0.31574804
1270,0.315893
1271,0.3160377
1272,0.31618226
1273,0.31632653
1274,0.3164706
1275,0.31661442
1276,0.31675804
1277,0.31690142
1278,0.31704456
1279,0.3171875
1280,0.3173302
1281,0.3174727
1282,0.31761497
1283,0.317757
1284,0.31789884
1285,0.31804043
1286,0.3181818
1287,0.318323
1288,0.31846392
1289,0.31860465
1290,0.31874514
1291,0.31888545
1292,0.31902552
1293,0.31916538
1294,0.319305
1295,0.31944445
1296,0.31958365
1297,0.31972265
1298,0.3198614
1299,0.32
1300,0.32013834
1301,0.3202765
1302,0.32041442
1303,0.32055217
1304,0.32068965
1305,0.32082695
1306,0.32096404
1307,0.32110092
1308,0.3212376
1309,0.32137406
1310,0.32151031
1311,0.32164633
1312,0.32178217
1313,0.3219178
1314,0.32205325
1315,0.32218844
1316,0.32194382
1317,0.32169956
1318,0.32145566
1319,0.3212121
1320,0.32096896
1321,0.32072616
1322,0.32048374
1323,0.3202417
1324,0.32
1325,0.31975868
1326,0.3195177
1327,0.3192771
1328,0.31903687
1329,0.318797
1330,0.31855747
1331,0.3183183
1332,0.31807953
1333,0.31784108
1334,0.317603
1335,0.31736526
1336,0.31712788
1337,0.3168909
1338,0.3166542
1339,0.3164179
1340,0.31618196
1341,0.31594634
1342,0.31571108
1343,0.31547618
