trace_file,getpid,getegid,getxattr,setuid,rename,kill,epoll_ctl,fdatasync,fsetxattr,capset,sysinfo,capget,write,faccessat2,connect,dup,arch_prctl,pwrite64,statx,wait4,getrusage,utimensat,getpeername,linkat,getppid,getpgrp,sendto,recvfrom,fstat,socketpair,madvise,fchmodat,gettid,clock_nanosleep,clone3,copy_file_range,fchmod,times,recvmsg,openat,umask,getrandom,getuid,poll,socket,statfs,io_uring_enter,epoll_create1,ftruncate,timerfd_settime,access,eventfd2,fgetxattr,fadvise64,getcwd,prctl,setsockopt,getresuid,getsockname,getgroups,creat,read,newfstatat,getgid,fchown,sigaltstack,symlinkat,epoll_pwait,sendmsg,futex,dup2,epoll_pwait2,llistxattr,set_robust_list,sched_getaffinity,fcntl,setxattr,rt_sigaction,rmdir,geteuid,sched_getscheduler,rt_sigprocmask,mmap,chmod,bind,fstatfs,setitimer,lseek,pread64,ppoll,execve,getresgid,pipe2,brk,io_uring_setup,chdir,rseq,pselect6,ioctl,prlimit64,membarrier,set_tid_address,unlinkat,syscall_-1,renameat2,mprotect,getdents64,mkdir,unlink,open,clone,close,munmap,sync,uname,epoll_wait,fchdir,flock,readlink,getsockopt,fsync,timerfd_create,userspace_ms,total_ms,wall_time_s
cpu_intensive_1.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.479,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.246,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.011,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5138.322,5233.287,5.233439
cpu_intensive_10.csv,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.001,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.090,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.000,0.001,0.000,0.002,0.000,0.000,0.152,0.000,0.000,0.000,0.000,0.002,0.016,0.000,0.225,0.000,0.000,0.013,0.000,0.000,0.001,0.000,0.006,0.001,0.000,0.001,0.000,0.000,0.000,0.048,0.000,0.000,0.055,0.000,0.000,0.023,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.855,35.030,0.035366
cpu_intensive_11.csv,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.107,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.001,0.000,0.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.004,0.000,0.000,0.001,0.000,0.000,0.000,0.038,0.020,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.009,0.000,0.001,0.000,0.003,0.286,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.227,0.001,0.000,4.707,0.000,0.000,0.013,0.000,0.005,0.003,0.000,0.011,0.000,0.000,0.000,0.031,0.025,0.000,0.000,0.000,0.000,0.024,0.150,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2747.207,2755.096,2.755200
cpu_intensive_12.csv,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.055,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.184,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.005,0.000,0.040,0.000,0.001,0.000,0.004,0.230,0.000,0.000,0.000,0.000,0.019,0.003,0.000,0.215,0.000,0.000,0.067,0.000,0.000,0.001,0.000,0.101,0.001,0.000,0.001,0.000,0.000,0.000,0.030,0.167,0.000,0.000,0.013,0.000,0.062,0.058,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,143.450,145.128,0.145279
cpu_intensive_13.csv,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.814,0.000,0.000,0.000,0.088,0.000,0.000,2403.218,0.000,0.000,0.001,0.000,0.003,0.001,0.000,0.000,2.947,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.986,0.000,0.160,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.637,0.000,0.000,0.131,0.003,0.000,0.000,0.002,0.000,0.000,0.000,4.658,0.026,0.001,0.000,0.000,0.000,0.000,0.000,0.291,0.166,0.000,0.000,0.118,0.000,0.357,0.000,0.011,0.000,0.002,0.000,0.340,14.823,0.000,0.000,0.003,0.000,0.000,0.275,0.000,24.627,0.001,0.000,1.274,0.000,0.000,0.099,0.000,0.012,0.132,0.000,0.095,0.000,0.000,0.000,1.953,2.279,0.000,0.000,0.000,13.983,2.842,3.193,0.000,0.004,0.000,0.190,0.000,0.000,0.000,0.000,0.000,2557.032,5055.782,2.746832
cpu_intensive_14.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.006,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.183,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.002,0.000,0.000,0.001,0.000,0.003,0.000,0.003,0.000,0.001,0.000,0.003,0.187,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.154,0.000,0.020,0.014,0.000,0.000,0.003,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.039,0.020,0.000,0.000,0.000,0.234,0.040,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.503,34.702,0.032964
cpu_intensive_15.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.134,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,4607.918,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.173,0.000,0.000,0.025,0.000,0.000,0.001,0.000,0.004,0.001,0.000,0.001,0.000,0.000,0.000,0.039,0.015,0.000,0.000,0.000,0.000,0.022,0.014,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,421.804,5030.498,5.030602
cpu_intensive_16.csv,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.001,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.187,0.000,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.005,0.000,0.000,0.002,0.000,0.000,0.000,0.044,0.022,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.009,0.000,0.001,0.000,0.002,0.245,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.163,0.001,0.000,0.579,0.000,0.000,0.001,0.000,0.006,0.003,0.000,0.001,0.000,0.000,0.000,0.036,0.038,0.000,0.000,0.000,0.000,0.041,0.105,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,309.518,311.119,0.311221
cpu_intensive_17.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.134,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.504,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.213,0.000,0.000,0.052,0.000,0.000,0.005,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.021,0.020,0.000,0.000,0.000,0.000,0.037,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58.933,99.275,0.099417
cpu_intensive_18.csv,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.135,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.699,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.197,0.000,0.000,0.011,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.017,0.017,0.000,0.000,0.000,0.000,0.037,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.125,71.549,0.071837
