timestamp,relative_time,pid,comm,uid,syscall,duration_us
7294.665823877,2.427739701,26107,chrt,0,execve,4.055
7294.666145624,2.428061448,26107,chrt,0,execve,2.729
7294.666216445,2.428132269,26107,dd,0,execve,127.198
7294.666447930,2.428363754,26107,dd,0,brk,0.446
7294.667589674,2.429505498,26107,dd,0,access,2.962
7294.667664658,2.429580482,26107,dd,0,openat,3.330
7294.667736050,2.429651874,26107,dd,0,fstat,1.009
7294.667803109,2.429718933,26107,dd,0,mmap,3.623
7294.667874135,2.429789959,26107,dd,0,close,0.610
7294.667942961,2.429858785,26107,dd,0,openat,2.393
7294.668147088,2.430062912,26107,dd,0,read,1.551
7294.668216586,2.430132410,26107,dd,0,pread64,1.039
7294.668283856,2.430199680,26107,dd,0,fstat,0.696
7294.668350191,2.430266015,26107,dd,0,mmap,2.822
7294.668421120,2.430336944,26107,dd,0,pread64,0.689
7294.668488878,2.430404702,26107,dd,0,mmap,3.632
7294.668557941,2.430473765,26107,dd,0,mmap,7.128
7294.668630344,2.430546168,26107,dd,0,mmap,6.618
7294.668702390,2.430618214,26107,dd,0,mmap,6.203
7294.668778894,2.430694718,26107,dd,0,mmap,2.138
7294.668853425,2.430769249,26107,dd,0,close,0.589
7294.668925601,2.430841425,26107,dd,0,mmap,2.018
7294.669007464,2.430923288,26107,dd,0,arch_prctl,0.491
7294.669164761,2.431080585,26107,dd,0,set_tid_address,0.580
7294.669230550,2.431146374,26107,dd,0,set_robust_list,0.370
7294.669295260,2.431211084,26107,dd,0,rseq,0.532
7294.669398504,2.431314328,26107,dd,0,mprotect,4.512
7294.669481805,2.431397629,26107,dd,0,mprotect,3.013
7294.669552590,2.431468414,26107,dd,0,mprotect,3.832
7294.669628311,2.431544135,26107,dd,0,prlimit64,0.649
7294.669703322,2.431619146,26107,dd,0,getrandom,0.908
7294.669771086,2.431686910,26107,dd,0,munmap,5.424
7294.669852237,2.431768061,26107,dd,0,rt_sigaction,0.898
7294.669918728,2.431834552,26107,dd,0,rt_sigaction,0.498
7294.669993592,2.431909416,26107,dd,0,rt_sigaction,0.335
7294.670154639,2.432070463,26107,dd,0,brk,0.377
7294.670221051,2.432136875,26107,dd,0,brk,2.130
7294.670292664,2.432208488,26107,dd,0,openat,3.043
7294.670364314,2.432280138,26107,dd,0,openat,2.961
7294.670434751,2.432350575,26107,dd,0,fstat,0.809
7294.670502653,2.432418477,26107,dd,0,read,1.439
7294.670576541,2.432492365,26107,dd,0,read,0.589
7294.670643850,2.432559674,26107,dd,0,close,1.069
7294.670714474,2.432630298,26107,dd,0,openat,1.702
