bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,0,500,66,434,13.200000000000001,86.8
1,500,1000,86,414,17.2,82.8
2,1000,1500,96,404,19.2,80.8
3,1500,2000,0,500,0.0,100.0
4,2000,2500,0,500,0.0,100.0
5,2500,3000,0,500,0.0,100.0
6,3000,3500,0,500,0.0,100.0
7,3500,4000,11,489,2.1999999999999997,97.8
8,4000,4500,12,488,2.4,97.6
9,4500,5000,8,492,1.6,98.4
10,5000,5500,11,489,2.1999999999999997,97.8
11,5500,6000,6,494,1.2,98.8
12,6000,6500,39,461,7.8,92.2
13,6500,7000,7,493,1.4000000000000001,98.6
14,7000,7500,8,492,1.6,98.4
15,7500,8000,1,499,0.2,99.8
16,8000,8500,23,477,4.6,95.4
17,8500,9000,4,496,0.8,99.2
18,9000,9500,11,489,2.1999999999999997,97.8
19,9500,10000,10,490,2.0,98.0
20,10000,10500,37,463,7.3999999999999995,92.6
21,10500,11000,7,493,1.4000000000000001,98.6
22,11000,11500,0,500,0.0,100.0
23,11500,12000,0,500,0.0,100.0
24,12000,12500,0,500,0.0,100.0
25,12500,13000,11,489,2.1999999999999997,97.8
26,13000,13500,0,500,0.0,100.0
27,13500,14000,0,500,0.0,100.0
28,14000,14500,9,491,1.7999999999999998,98.2
29,14500,15000,0,500,0.0,100.0
30,15000,15500,0,500,0.0,100.0
31,15500,16000,8,492,1.6,98.4
32,16000,16500,0,500,0.0,100.0
33,16500,17000,0,500,0.0,100.0
34,17000,17500,8,492,1.6,98.4
35,17500,18000,0,500,0.0,100.0
36,18000,18500,0,500,0.0,100.0
37,18500,19000,8,492,1.6,98.4
38,19000,19500,0,500,0.0,100.0
39,19500,20000,0,500,0.0,100.0
40,20000,20500,8,492,1.6,98.4
41,20500,21000,0,500,0.0,100.0
42,21000,21500,0,500,0.0,100.0
43,21500,22000,8,492,1.6,98.4
44,22000,22500,115,385,23.0,77.0
45,22500,23000,0,500,0.0,100.0
46,23000,23500,0,500,0.0,100.0
47,23500,24000,10,490,2.0,98.0
48,24000,24500,0,500,0.0,100.0
49,24500,25000,0,500,0.0,100.0
50,25000,25500,10,490,2.0,98.0
51,25500,26000,0,500,0.0,100.0
52,26000,26500,0,500,0.0,100.0
53,26500,27000,0,500,0.0,100.0
54,27000,27500,20,480,4.0,96.0
55,27500,28000,0,500,0.0,100.0
56,28000,28500,0,500,0.0,100.0
57,28500,29000,0,500,0.0,100.0
58,29000,29500,11,489,2.1999999999999997,97.8
59,29500,30000,0,500,0.0,100.0
60,30000,30500,0,500,0.0,100.0
61,30500,31000,7,493,1.4000000000000001,98.6
62,31000,31500,0,500,0.0,100.0
63,31500,32000,8,492,1.6,98.4
64,32000,32500,0,500,0.0,100.0
65,32500,33000,0,500,0.0,100.0
66,33000,33500,7,493,1.4000000000000001,98.6
67,33500,34000,0,500,0.0,100.0
68,34000,34500,0,500,0.0,100.0
69,34500,35000,18,482,3.5999999999999996,96.4
70,35000,35500,0,500,0.0,100.0
71,35500,36000,142,358,28.4,71.6
