bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,12402682,12407682,319,4681,6.38,93.62
1,12407682,12412682,221,4779,4.42,95.58
2,12412682,12417682,120,4880,2.4,97.6
3,12417682,12422682,223,4777,4.46,95.54
4,12422682,12427682,232,4768,4.64,95.36
5,12427682,12432682,243,4757,4.859999999999999,95.14
6,12432682,12437682,75,4925,1.5,98.5
7,12437682,12442682,225,4775,4.5,95.5
8,12442682,12447682,400,4600,8.0,92.0
9,12447682,12452682,105,4895,2.1,97.9
10,12452682,12457682,125,4875,2.5,97.5
11,12457682,12462682,316,4684,6.32,93.68
12,12462682,12467682,89,4911,1.78,98.22
13,12467682,12472682,363,4637,7.26,92.74
14,12472682,12477682,428,4572,8.559999999999999,91.44
15,12477682,12482682,271,4729,5.42,94.58
16,12482682,12487682,2205,2795,44.1,55.9
17,12487682,12492682,4249,751,84.98,15.019999999999996
18,12492682,12497682,5000,0,100.0,0.0
19,12497682,12502682,5000,0,100.0,0.0
20,12502682,12507682,3727,1273,74.53999999999999,25.460000000000008
21,12507682,12512682,3752,1248,75.03999999999999,24.960000000000008
22,12512682,12517682,5000,0,100.0,0.0
23,12517682,12522682,5000,0,100.0,0.0
24,12522682,12527682,2717,2283,54.339999999999996,45.660000000000004
25,12527682,12532682,5000,0,100.0,0.0
26,12532682,12537682,5000,0,100.0,0.0
27,12537682,12542682,2303,2697,46.06,53.94
28,12542682,12547682,5000,0,100.0,0.0
29,12547682,12552682,5000,0,100.0,0.0
30,12552682,12557682,4542,458,90.84,9.159999999999997
31,12557682,12562682,2644,2356,52.88,47.12
32,12562682,12567658,4976,0,100.0,0.0
