bin_index,start_time_us,end_time_us,waiting_time_us,running_time_us,waiting_pct,running_pct
0,133915501,133916001,105,395,21.0,79.0
1,133916001,133916501,0,500,0.0,100.0
2,133916501,133917001,6,494,1.2,98.8
3,133917001,133917501,22,478,4.3999999999999995,95.6
4,133917501,133918001,22,478,4.3999999999999995,95.6
5,133918001,133918501,28,472,5.6000000000000005,94.4
6,133918501,133919001,20,480,4.0,96.0
7,133919001,133919501,14,486,2.8000000000000003,97.2
8,133919501,133920001,13,487,2.6,97.4
9,133920001,133920501,31,469,6.2,93.8
10,133920501,133921001,19,481,3.8,96.2
11,133921001,133921501,12,488,2.4,97.6
12,133921501,133922001,14,486,2.8000000000000003,97.2
13,133922001,133922501,5,495,1.0,99.0
14,133922501,133923001,7,493,1.4000000000000001,98.6
15,133923001,133923501,7,493,1.4000000000000001,98.6
16,133923501,133924001,17,483,3.4000000000000004,96.6
17,133924001,133924501,13,487,2.6,97.4
18,133924501,133925001,13,487,2.6,97.4
19,133925001,133925501,15,485,3.0,97.0
20,133925501,133926001,15,485,3.0,97.0
21,133926001,133926501,15,485,3.0,97.0
22,133926501,133927001,14,486,2.8000000000000003,97.2
23,133927001,133927501,9,491,1.7999999999999998,98.2
24,133927501,133928001,7,493,1.4000000000000001,98.6
25,133928001,133928501,9,491,1.7999999999999998,98.2
26,133928501,133929001,15,485,3.0,97.0
27,133929001,133929501,11,489,2.1999999999999997,97.8
28,133929501,133930001,9,491,1.7999999999999998,98.2
29,133930001,133930501,9,491,1.7999999999999998,98.2
30,133930501,133931001,12,488,2.4,97.6
31,133931001,133931501,12,488,2.4,97.6
32,133931501,133932001,69,431,13.8,86.2
33,133932001,133932501,313,187,62.6,37.4
34,133932501,133933001,500,0,100.0,0.0
35,133933001,133933501,500,0,100.0,0.0
36,133933501,133934001,500,0,100.0,0.0
37,133934001,133934501,500,0,100.0,0.0
38,133934501,133935001,500,0,100.0,0.0
39,133935001,133935501,500,0,100.0,0.0
40,133935501,133936001,500,0,100.0,0.0
41,133936001,133936501,500,0,100.0,0.0
42,133936501,133937001,500,0,100.0,0.0
43,133937001,133937501,500,0,100.0,0.0
44,133937501,133938001,500,0,100.0,0.0
45,133938001,133938501,500,0,100.0,0.0
46,133938501,133939001,500,0,100.0,0.0
47,133939001,133939501,500,0,100.0,0.0
48,133939501,133940001,500,0,100.0,0.0
49,133940001,133940501,500,0,100.0,0.0
50,133940501,133941001,500,0,100.0,0.0
51,133941001,133941501,500,0,100.0,0.0
52,133941501,133942001,500,0,100.0,0.0
53,133942001,133942501,500,0,100.0,0.0
54,133942501,133943001,500,0,100.0,0.0
55,133943001,133943501,500,0,100.0,0.0
56,133943501,133944001,500,0,100.0,0.0
57,133944001,133944501,500,0,100.0,0.0
58,133944501,133945001,500,0,100.0,0.0
59,133945001,133945501,500,0,100.0,0.0
60,133945501,133946001,500,0,100.0,0.0
61,133946001,133946501,500,0,100.0,0.0
62,133946501,133947001,500,0,100.0,0.0
63,133947001,133947501,500,0,100.0,0.0
64,133947501,133948001,500,0,100.0,0.0
65,133948001,133948501,500,0,100.0,0.0
66,133948501,133949001,500,0,100.0,0.0
67,133949001,133949501,500,0,100.0,0.0
68,133949501,133950001,198,302,39.6,60.4
69,133950001,133950501,58,442,11.600000000000001,88.4
70,133950501,133951001,114,386,22.8,77.2
71,133951001,133951501,500,0,100.0,0.0
72,133951501,133952001,500,0,100.0,0.0
73,133952001,133952501,500,0,100.0,0.0
74,133952501,133953001,500,0,100.0,0.0
75,133953001,133953501,500,0,100.0,0.0
76,133953501,133954001,500,0,100.0,0.0
77,133954001,133954501,500,0,100.0,0.0
78,133954501,133955001,500,0,100.0,0.0
79,133955001,133955501,500,0,100.0,0.0
80,133955501,133956001,500,0,100.0,0.0
81,133956001,133956501,500,0,100.0,0.0
82,133956501,133957001,500,0,100.0,0.0
83,133957001,133957501,500,0,100.0,0.0
84,133957501,133958001,500,0,100.0,0.0
85,133958001,133958501,500,0,100.0,0.0
86,133958501,133959001,500,0,100.0,0.0
87,133959001,133959501,500,0,100.0,0.0
88,133959501,133960001,500,0,100.0,0.0
89,133960001,133960501,500,0,100.0,0.0
90,133960501,133961001,500,0,100.0,0.0
91,133961001,133961501,500,0,100.0,0.0
92,133961501,133962001,500,0,100.0,0.0
93,133962001,133962501,500,0,100.0,0.0
94,133962501,133963001,500,0,100.0,0.0
95,133963001,133963501,500,0,100.0,0.0
96,133963501,133964001,500,0,100.0,0.0
97,133964001,133964501,500,0,100.0,0.0
98,133964501,133965001,500,0,100.0,0.0
99,133965001,133965501,500,0,100.0,0.0
100,133965501,133966001,500,0,100.0,0.0
101,133966001,133966501,500,0,100.0,0.0
102,133966501,133967001,500,0,100.0,0.0
103,133967001,133967501,500,0,100.0,0.0
104,133967501,133968001,347,153,69.39999999999999,30.60000000000001
105,133968001,133968501,9,491,1.7999999999999998,98.2
106,133968501,133969001,48,452,9.6,90.4
107,133969001,133969501,364,136,72.8,27.200000000000003
108,133969501,133970001,500,0,100.0,0.0
109,133970001,133970501,500,0,100.0,0.0
110,133970501,133971001,500,0,100.0,0.0
111,133971001,133971501,500,0,100.0,0.0
112,133971501,133972001,500,0,100.0,0.0
113,133972001,133972501,500,0,100.0,0.0
114,133972501,133973001,500,0,100.0,0.0
115,133973001,133973501,500,0,100.0,0.0
116,133973501,133974001,500,0,100.0,0.0
